"","date","CBAY"
"1","2014-02-03",9
"2","2014-02-04",9
"3","2014-02-05",9
"4","2014-02-06",9
"5","2014-02-07",9
"6","2014-02-10",9
"7","2014-02-11",9
"8","2014-02-12",9
"9","2014-02-13",9
"10","2014-02-14",9
"11","2014-02-18",9
"12","2014-02-19",9
"13","2014-02-20",9
"14","2014-02-21",9
"15","2014-02-24",9
"16","2014-02-25",9
"17","2014-02-26",9
"18","2014-02-27",9
"19","2014-02-28",9
"20","2014-03-03",9
"21","2014-03-04",9
"22","2014-03-05",8
"23","2014-03-06",8
"24","2014-03-07",8
"25","2014-03-10",8
"26","2014-03-11",8
"27","2014-03-12",8
"28","2014-03-13",8
"29","2014-03-14",8
"30","2014-03-17",7.515
"31","2014-03-18",7.99
"32","2014-03-19",7.99
"33","2014-03-20",7.5
"34","2014-03-21",7.5
"35","2014-03-24",7.5
"36","2014-03-25",8
"37","2014-03-26",8
"38","2014-03-27",8
"39","2014-03-28",8
"40","2014-03-31",8
"41","2014-04-01",8
"42","2014-04-02",8
"43","2014-04-03",8
"44","2014-04-04",6
"45","2014-04-07",7
"46","2014-04-08",7
"47","2014-04-09",7
"48","2014-04-10",7
"49","2014-04-11",7
"50","2014-04-14",7
"51","2014-04-15",7
"52","2014-04-16",7
"53","2014-04-17",7
"54","2014-04-21",7
"55","2014-04-22",5.5
"56","2014-04-23",6.35
"57","2014-04-24",6.35
"58","2014-04-25",6.35
"59","2014-04-28",7.95
"60","2014-04-29",7.95
"61","2014-04-30",7.99
"62","2014-05-01",7.99
"63","2014-05-02",7.99
"64","2014-05-05",7.99
"65","2014-05-06",7.99
"66","2014-05-07",7.99
"67","2014-05-08",7.99
"68","2014-05-09",7.99
"69","2014-05-12",7.99
"70","2014-05-13",7.99
"71","2014-05-14",7.99
"72","2014-05-15",7.99
"73","2014-05-16",7.99
"74","2014-05-19",7.99
"75","2014-05-20",7.99
"76","2014-05-21",7.99
"77","2014-05-22",7.99
"78","2014-05-23",7.99
"79","2014-05-27",7.99
"80","2014-05-28",7.99
"81","2014-05-29",7.99
"82","2014-05-30",7.99
"83","2014-06-02",7.99
"84","2014-06-03",6.5
"85","2014-06-04",7.99
"86","2014-06-05",7.99
"87","2014-06-06",7.99
"88","2014-06-09",7.99
"89","2014-06-10",7.99
"90","2014-06-11",7.99
"91","2014-06-12",7.99
"92","2014-06-13",7.99
"93","2014-06-16",6.5
"94","2014-06-17",6.45
"95","2014-06-18",6.45
"96","2014-06-19",6.45
"97","2014-06-20",6.39
"98","2014-06-23",6.5
"99","2014-06-24",6.5
"100","2014-06-25",6.5
"101","2014-06-26",6.5
"102","2014-06-27",6.5
"103","2014-06-30",6.5
"104","2014-07-01",6.5
"105","2014-07-02",6.5
"106","2014-07-03",6.5
"107","2014-07-07",6.5
"108","2014-07-08",6.45
"109","2014-07-09",7.78
"110","2014-07-10",7.3
"111","2014-07-11",7.15
"112","2014-07-14",7.1
"113","2014-07-15",6.52
"114","2014-07-16",6.03
"115","2014-07-17",5.82
"116","2014-07-18",5.69
"117","2014-07-21",5.97
"118","2014-07-22",5.54
"119","2014-07-23",5.5
"120","2014-07-24",5.97
"121","2014-07-25",6.03
"122","2014-07-28",5.74
"123","2014-07-29",5.79
"124","2014-07-30",5.555
"125","2014-07-31",5.68
"126","2014-08-01",5.4
"127","2014-08-04",5.5
"128","2014-08-05",5.4
"129","2014-08-06",5.48
"130","2014-08-07",5.45
"131","2014-08-08",5.41
"132","2014-08-11",5.39
"133","2014-08-12",5.38
"134","2014-08-13",5.55
"135","2014-08-14",5.5
"136","2014-08-15",5.24
"137","2014-08-18",5.1
"138","2014-08-19",5.34
"139","2014-08-20",5.15
"140","2014-08-21",5
"141","2014-08-22",5.02
"142","2014-08-25",5.04
"143","2014-08-26",5.23
"144","2014-08-27",5.25
"145","2014-08-28",5.47
"146","2014-08-29",5.46
"147","2014-09-02",5.59
"148","2014-09-03",5.84
"149","2014-09-04",6.02
"150","2014-09-05",6.6
"151","2014-09-08",7.1
