"","date","ANIK"
"1","2007-01-03",13.17
"2","2007-01-04",13.33
"3","2007-01-05",13.29
"4","2007-01-08",13.18
"5","2007-01-09",13.09
"6","2007-01-10",12.89
"7","2007-01-11",12.55
"8","2007-01-12",12.63
"9","2007-01-16",13.06
"10","2007-01-17",13.18
"11","2007-01-18",12.85
"12","2007-01-19",13.14
"13","2007-01-22",13.17
"14","2007-01-23",13.09
"15","2007-01-24",13.02
"16","2007-01-25",12.83
"17","2007-01-26",12.83
"18","2007-01-29",13.06
"19","2007-01-30",13.28
"20","2007-01-31",13.56
"21","2007-02-01",13.36
"22","2007-02-02",13.35
"23","2007-02-05",13.28
"24","2007-02-06",13.19
"25","2007-02-07",13.21
"26","2007-02-08",13.09
"27","2007-02-09",12.86
"28","2007-02-12",13.98
"29","2007-02-13",13.99
"30","2007-02-14",14.14
"31","2007-02-15",13.78
"32","2007-02-16",13.91
"33","2007-02-20",14.15
"34","2007-02-21",14.24
"35","2007-02-22",13.8
"36","2007-02-23",14.14
"37","2007-02-26",14.09
"38","2007-02-27",13.36
"39","2007-02-28",13.48
"40","2007-03-01",12.98
"41","2007-03-02",12.66
"42","2007-03-05",12.41
"43","2007-03-06",12.64
"44","2007-03-07",12.47
"45","2007-03-08",12.31
"46","2007-03-09",12.54
"47","2007-03-12",13.01
"48","2007-03-13",12.57
"49","2007-03-14",12.48
"50","2007-03-15",12.54
"51","2007-03-16",12.7
"52","2007-03-19",12.68
"53","2007-03-20",12.55
"54","2007-03-21",12.73
"55","2007-03-22",12.82
"56","2007-03-23",12.7
"57","2007-03-26",12.6
"58","2007-03-27",12.68
"59","2007-03-28",12.5
"60","2007-03-29",12.43
"61","2007-03-30",12.37
"62","2007-04-02",12.53
"63","2007-04-03",13.13
"64","2007-04-04",13.46
"65","2007-04-05",13.51
"66","2007-04-09",13.38
"67","2007-04-10",13.08
"68","2007-04-11",13.12
"69","2007-04-12",13.12
"70","2007-04-13",13.9
"71","2007-04-16",14
"72","2007-04-17",14.1
"73","2007-04-18",13.86
"74","2007-04-19",13.59
"75","2007-04-20",13.66
"76","2007-04-23",13.45
"77","2007-04-24",13.38
"78","2007-04-25",13.17
"79","2007-04-26",13.11
"80","2007-04-27",13.83
"81","2007-04-30",12.94
"82","2007-05-01",13.21
"83","2007-05-02",13.5
"84","2007-05-03",13.55
"85","2007-05-04",13.41
"86","2007-05-07",13.24
