"","date","NWHM"
"1","2014-01-31",12.2
"2","2014-02-03",12.12
"3","2014-02-04",12.21
"4","2014-02-05",12.17
"5","2014-02-06",12.75
"6","2014-02-07",12.75
"7","2014-02-10",12.85
"8","2014-02-11",12.32
"9","2014-02-12",11.99
"10","2014-02-13",12.39
"11","2014-02-14",12.66
"12","2014-02-18",12.67
"13","2014-02-19",12.59
"14","2014-02-20",12.7
"15","2014-02-21",12.61
"16","2014-02-24",12.65
"17","2014-02-25",13.59
"18","2014-02-26",13.9
"19","2014-02-27",14
"20","2014-02-28",13.63
"21","2014-03-03",14.17
"22","2014-03-04",14.41
"23","2014-03-05",14.6
"24","2014-03-06",15.1
"25","2014-03-07",15.84
"26","2014-03-10",14.9
"27","2014-03-11",14.77
"28","2014-03-12",15.47
"29","2014-03-13",15
"30","2014-03-14",15.09
"31","2014-03-17",15.1
"32","2014-03-18",15
"33","2014-03-19",15.18
"34","2014-03-20",15
"35","2014-03-21",14.61
"36","2014-03-24",14.52
"37","2014-03-25",14.45
"38","2014-03-26",14.52
"39","2014-03-27",14.27
"40","2014-03-28",14.16
"41","2014-03-31",14.24
"42","2014-04-01",14.6
"43","2014-04-02",15
"44","2014-04-03",14.98
"45","2014-04-04",15
"46","2014-04-07",14.5
"47","2014-04-08",14.22
"48","2014-04-09",14.4
"49","2014-04-10",14.42
"50","2014-04-11",14.15
"51","2014-04-14",14.21
"52","2014-04-15",14.12
"53","2014-04-16",14.06
"54","2014-04-17",13.87
"55","2014-04-21",14.35
"56","2014-04-22",14.11
"57","2014-04-23",13.99
"58","2014-04-24",14.24
"59","2014-04-25",13.69
"60","2014-04-28",13.48
"61","2014-04-29",13.7
"62","2014-04-30",13.75
"63","2014-05-01",14.2
"64","2014-05-02",14
"65","2014-05-05",13.72
"66","2014-05-06",13.35
"67","2014-05-07",12.6
"68","2014-05-08",12.8
"69","2014-05-09",13.18
"70","2014-05-12",13.51
"71","2014-05-13",13.4
"72","2014-05-14",12.98
"73","2014-05-15",12.63
"74","2014-05-16",12.48
"75","2014-05-19",12.49
"76","2014-05-20",11.92
"77","2014-05-21",12.23
"78","2014-05-22",12.5
"79","2014-05-23",12.54
"80","2014-05-27",13.05
"81","2014-05-28",12.72
"82","2014-05-29",12.39
"83","2014-05-30",12.3
"84","2014-06-02",12
"85","2014-06-03",11.75
"86","2014-06-04",12.01
"87","2014-06-05",12.75
"88","2014-06-06",12.99
"89","2014-06-09",13.03
"90","2014-06-10",12.78
"91","2014-06-11",12.38
"92","2014-06-12",12.33
"93","2014-06-13",12.27
"94","2014-06-16",12.37
"95","2014-06-17",12.44
"96","2014-06-18",12.41
"97","2014-06-19",12.66
"98","2014-06-20",12.72
"99","2014-06-23",12.71
"100","2014-06-24",12.66
"101","2014-06-25",12.85
"102","2014-06-26",12.8
"103","2014-06-27",13.94
"104","2014-06-30",14.13
"105","2014-07-01",14.19
"106","2014-07-02",14.17
"107","2014-07-03",14.83
"108","2014-07-07",14.61
"109","2014-07-08",14.21
"110","2014-07-09",14.05
"111","2014-07-10",13.47
"112","2014-07-11",13.36
"113","2014-07-14",13.49
"114","2014-07-15",13.4
"115","2014-07-16",13.3
"116","2014-07-17",13.18
"117","2014-07-18",13.14
"118","2014-07-21",12.99
"119","2014-07-22",13.1
"120","2014-07-23",12.92
"121","2014-07-24",13.03
"122","2014-07-25",12.97
"123","2014-07-28",13.02
"124","2014-07-29",12.99
"125","2014-07-30",13.07
"126","2014-07-31",13.01
"127","2014-08-01",13.05
"128","2014-08-04",13.07
"129","2014-08-05",13.06
"130","2014-08-06",13.07
"131","2014-08-07",13.06
"132","2014-08-08",13.84
"133","2014-08-11",14.12
"134","2014-08-12",13.31
"135","2014-08-13",13.57
"136","2014-08-14",13.2
"137","2014-08-15",13.5
"138","2014-08-18",13.7
"139","2014-08-19",14.17
"140","2014-08-20",13.78
"141","2014-08-21",14.37
"142","2014-08-22",14.46
"143","2014-08-25",14.36
"144","2014-08-26",14.04
"145","2014-08-27",14.19
"146","2014-08-28",14.44
"147","2014-08-29",14.21
"148","2014-09-02",14.11
"149","2014-09-03",14.14
"150","2014-09-04",13.79
"151","2014-09-05",13.68
"152","2014-09-08",13.71
"153","2014-09-09",13.68
"154","2014-09-10",14.04
"155","2014-09-11",13.73
"156","2014-09-12",13.67
"157","2014-09-15",13.55
"158","2014-09-16",13.63
"159","2014-09-17",13.78
"160","2014-09-18",13.72
"161","2014-09-19",13.96
"162","2014-09-22",13.51
"163","2014-09-23",13.42
"164","2014-09-24",13.46
"165","2014-09-25",13.3
"166","2014-09-26",13.59
"167","2014-09-29",13.69
"168","2014-09-30",13.5
"169","2014-10-01",13.25
"170","2014-10-02",13.32
"171","2014-10-03",13.22
"172","2014-10-06",13.33
"173","2014-10-07",13.04
"174","2014-10-08",13.17
"175","2014-10-09",13.01
"176","2014-10-10",12.8
"177","2014-10-13",13.02
"178","2014-10-14",13.34
"179","2014-10-15",13.41
"180","2014-10-16",13.52
"181","2014-10-17",13.69
"182","2014-10-20",13.77
"183","2014-10-21",14.3
"184","2014-10-22",14.6
"185","2014-10-23",15.15
"186","2014-10-24",15.29
"187","2014-10-27",15.29
"188","2014-10-28",15.63
"189","2014-10-29",15.71
"190","2014-10-30",15.36
"191","2014-10-31",15.17
"192","2014-11-03",15.15
"193","2014-11-04",14.85
"194","2014-11-05",14.83
"195","2014-11-06",15.02
"196","2014-11-07",14.06
"197","2014-11-10",14.58
"198","2014-11-11",14.56
"199","2014-11-12",14.35
"200","2014-11-13",14.1
"201","2014-11-14",14.45
"202","2014-11-17",14
"203","2014-11-18",14.01
"204","2014-11-19",14.07
"205","2014-11-20",14.06
"206","2014-11-21",14.46
"207","2014-11-24",14.61
"208","2014-11-25",14.28
"209","2014-11-26",14.26
"210","2014-11-28",14.25
"211","2014-12-01",14.46
"212","2014-12-02",14.55
"213","2014-12-03",14.29
"214","2014-12-04",13.95
"215","2014-12-05",14.24
"216","2014-12-08",14.24
"217","2014-12-09",14.41
"218","2014-12-10",14.23
"219","2014-12-11",14.12
"220","2014-12-12",13.92
"221","2014-12-15",13.9
"222","2014-12-16",13.76
"223","2014-12-17",14.24
"224","2014-12-18",14.16
"225","2014-12-19",14.25
"226","2014-12-22",14.07
"227","2014-12-23",14.01
"228","2014-12-24",14
"229","2014-12-26",14.29
"230","2014-12-29",14.66
"231","2014-12-30",14.66
"232","2014-12-31",14.48
"233","2015-01-02",14.38
"234","2015-01-05",14.54
"235","2015-01-06",14.19
"236","2015-01-07",14.46
"237","2015-01-08",14.68
"238","2015-01-09",14.59
"239","2015-01-12",14.53
"240","2015-01-13",14.46
"241","2015-01-14",14.01
"242","2015-01-15",13.23
"243","2015-01-16",13.24
"244","2015-01-20",13.06
"245","2015-01-21",13.15
"246","2015-01-22",13.58
"247","2015-01-23",13.64
"248","2015-01-26",13.92
"249","2015-01-27",13.74
"250","2015-01-28",13.23
"251","2015-01-29",13.91
"252","2015-01-30",14.09
"253","2015-02-02",14
"254","2015-02-03",14.24
"255","2015-02-04",14.03
"256","2015-02-05",14.13
"257","2015-02-06",14.4
"258","2015-02-09",14.31
"259","2015-02-10",14.45
"260","2015-02-11",14.6
"261","2015-02-12",14.51
"262","2015-02-13",14.43
"263","2015-02-17",14.4
"264","2015-02-18",14.58
"265","2015-02-19",14.73
"266","2015-02-20",14.35
"267","2015-02-23",14.36
"268","2015-02-24",14.18
"269","2015-02-25",14.38
"270","2015-02-26",14.77
"271","2015-02-27",14.52
"272","2015-03-02",14.57
"273","2015-03-03",14.22
"274","2015-03-04",14.18
"275","2015-03-05",14.06
"276","2015-03-06",14.52
"277","2015-03-09",14.09
"278","2015-03-10",13.9
"279","2015-03-11",14.06
"280","2015-03-12",14.41
"281","2015-03-13",14.57
"282","2015-03-16",14.37
"283","2015-03-17",14.51
"284","2015-03-18",14.39
"285","2015-03-19",14.65
"286","2015-03-20",14.9
"287","2015-03-23",15.15
"288","2015-03-24",15.39
"289","2015-03-25",15.21
"290","2015-03-26",15.03
"291","2015-03-27",15.18
"292","2015-03-30",15.82
"293","2015-03-31",15.95
"294","2015-04-01",16.51
"295","2015-04-02",16.65
"296","2015-04-06",16.709999
"297","2015-04-07",16.629999
"298","2015-04-08",16.719999
"299","2015-04-09",16.65
"300","2015-04-10",16.040001
"301","2015-04-13",16.57
"302","2015-04-14",16.59
"303","2015-04-15",16.549999
"304","2015-04-16",16.280001
"305","2015-04-17",15.83
"306","2015-04-20",15.87
"307","2015-04-21",15.69
"308","2015-04-22",15.54
"309","2015-04-23",15.43
"310","2015-04-24",15.57
"311","2015-04-27",15.06
"312","2015-04-28",15.2
"313","2015-04-29",14.9
"314","2015-04-30",14.84
"315","2015-05-01",14.93
"316","2015-05-04",14.96
"317","2015-05-05",14.36
"318","2015-05-06",14.2
"319","2015-05-07",14.28
"320","2015-05-08",15.25
"321","2015-05-11",15.45
"322","2015-05-12",15.14
"323","2015-05-13",15.16
"324","2015-05-14",15.26
"325","2015-05-15",15.15
"326","2015-05-18",15.3
"327","2015-05-19",15.24
"328","2015-05-20",15.28
"329","2015-05-21",15.16
"330","2015-05-22",15.3
"331","2015-05-26",15.25
"332","2015-05-27",15.4
"333","2015-05-28",15.52
"334","2015-05-29",15.66
"335","2015-06-01",15.52
"336","2015-06-02",15.59
"337","2015-06-03",15.64
"338","2015-06-04",15.35
"339","2015-06-05",15.47
"340","2015-06-08",15.26
"341","2015-06-09",15.25
"342","2015-06-10",15.47
"343","2015-06-11",15.62
"344","2015-06-12",15.91
"345","2015-06-15",15.86
"346","2015-06-16",15.97
"347","2015-06-17",15.98
"348","2015-06-18",16.32
"349","2015-06-19",16.77
"350","2015-06-22",16.76
"351","2015-06-23",16.84
"352","2015-06-24",17.309999
"353","2015-06-25",17.290001
"354","2015-06-26",17.459999
"355","2015-06-29",16.84
"356","2015-06-30",17.23
"357","2015-07-01",17.52
