"","date","NRZ"
"1","2013-05-02",13.52
"2","2013-05-03",13.5
"3","2013-05-06",13.82
"4","2013-05-07",14.2
"5","2013-05-08",14.12
"6","2013-05-09",13.96
"7","2013-05-10",13.94
"8","2013-05-13",13.7
"9","2013-05-14",13.66
"10","2013-05-15",13.1
"11","2013-05-16",14
"12","2013-05-17",13.84
"13","2013-05-20",13.78
"14","2013-05-21",13.8
"15","2013-05-22",13.52
"16","2013-05-23",13.88
"17","2013-05-24",13.86
"18","2013-05-28",13.1
"19","2013-05-29",13.48
"20","2013-05-30",13.66
"21","2013-05-31",13.68
"22","2013-06-03",13.58
"23","2013-06-04",13.48
"24","2013-06-05",13.44
"25","2013-06-06",13.48
"26","2013-06-07",13.1
"27","2013-06-10",13.18
"28","2013-06-11",12.84
"29","2013-06-12",12.52
"30","2013-06-13",12.98
"31","2013-06-14",13.18
"32","2013-06-17",13.4
"33","2013-06-18",13.36
"34","2013-06-19",13.14
"35","2013-06-20",12.92
"36","2013-06-21",12.96
"37","2013-06-24",12.58
"38","2013-06-25",12.94
"39","2013-06-26",12.9
"40","2013-06-27",13.1
"41","2013-06-28",13.48
"42","2013-07-01",13
"43","2013-07-02",12.9
"44","2013-07-03",12.92
"45","2013-07-05",13.56
"46","2013-07-08",13.46
"47","2013-07-09",13.14
"48","2013-07-10",13.26
"49","2013-07-11",13.34
"50","2013-07-12",13.76
"51","2013-07-15",13.6
"52","2013-07-16",13.48
"53","2013-07-17",13.48
"54","2013-07-18",13.58
"55","2013-07-19",13.26
"56","2013-07-22",13.28
"57","2013-07-23",13.26
"58","2013-07-24",13.04
"59","2013-07-25",13.1
"60","2013-07-26",12.84
"61","2013-07-29",12.82
"62","2013-07-30",13.28
"63","2013-07-31",13.26
"64","2013-08-01",13.56
"65","2013-08-02",13.5
"66","2013-08-05",13.32
"67","2013-08-06",13.62
"68","2013-08-07",13.7
"69","2013-08-08",13.78
"70","2013-08-09",13.58
"71","2013-08-12",13.4
"72","2013-08-13",13.3
"73","2013-08-14",13.06
"74","2013-08-15",12.64
"75","2013-08-16",12.42
"76","2013-08-19",12.2
"77","2013-08-20",12.2
"78","2013-08-21",12.56
"79","2013-08-22",12.52
"80","2013-08-23",12.96
"81","2013-08-26",12.84
"82","2013-08-27",12.56
"83","2013-08-28",12.4
"84","2013-08-29",12.76
"85","2013-08-30",12.7
"86","2013-09-03",12.9
"87","2013-09-04",12.84
"88","2013-09-05",12.82
"89","2013-09-06",12.76
"90","2013-09-09",12.82
"91","2013-09-10",12.6
"92","2013-09-11",12.52
"93","2013-09-12",12.68
"94","2013-09-13",12.78
"95","2013-09-16",12.8
"96","2013-09-17",12.78
"97","2013-09-18",13.5
"98","2013-09-19",13.58
"99","2013-09-20",13.4
"100","2013-09-23",13.56
"101","2013-09-24",13.64
"102","2013-09-25",13.04
"103","2013-09-26",13.34
"104","2013-09-27",13.42
"105","2013-09-30",13.24
"106","2013-10-01",13.16
"107","2013-10-02",13.02
"108","2013-10-03",12.9
"109","2013-10-04",12.92
"110","2013-10-07",12.86
"111","2013-10-08",12.78
"112","2013-10-09",12.88
"113","2013-10-10",13.22
"114","2013-10-11",13.2
"115","2013-10-14",13.3
"116","2013-10-15",13.18
"117","2013-10-16",13.28
"118","2013-10-17",13.38
"119","2013-10-18",13.76
"120","2013-10-21",13.7
"121","2013-10-22",13.98
"122","2013-10-23",13.84
"123","2013-10-24",13.8
"124","2013-10-25",13.7
"125","2013-10-28",13.66
"126","2013-10-29",13.68
"127","2013-10-30",13.38
"128","2013-10-31",13.22
"129","2013-11-01",13.2
"130","2013-11-04",13.08
"131","2013-11-05",13.4
"132","2013-11-06",13.2
"133","2013-11-07",12.44
"134","2013-11-08",12.26
"135","2013-11-11",11.8
"136","2013-11-12",12.22
"137","2013-11-13",12.46
"138","2013-11-14",12.18
"139","2013-11-15",12.14
"140","2013-11-18",11.88
"141","2013-11-19",11.8
"142","2013-11-20",11.74
"143","2013-11-21",11.7
"144","2013-11-22",12.08
"145","2013-11-25",11.9
"146","2013-11-26",11.88
"147","2013-11-27",12
"148","2013-11-29",12.08
"149","2013-12-02",11.9
"150","2013-12-03",12.06
"151","2013-12-04",12.62
"152","2013-12-05",12.54
"153","2013-12-06",12.38
"154","2013-12-09",12.68
"155","2013-12-10",12.9
"156","2013-12-11",12.6
"157","2013-12-12",12.7
"158","2013-12-13",12.68
"159","2013-12-16",12.86
"160","2013-12-17",12.9
"161","2013-12-18",13.5
"162","2013-12-19",13.58
"163","2013-12-20",13.88
"164","2013-12-23",13.9
"165","2013-12-24",13.92
"166","2013-12-26",13.38
"167","2013-12-27",13.46
"168","2013-12-30",13.3
"169","2013-12-31",13.36
"170","2014-01-02",13.32
"171","2014-01-03",13.32
"172","2014-01-06",13.26
"173","2014-01-07",13.06
"174","2014-01-08",13.04
"175","2014-01-09",12.86
"176","2014-01-10",13.06
"177","2014-01-13",13.1
"178","2014-01-14",13.08
"179","2014-01-15",12.9
"180","2014-01-16",12.84
"181","2014-01-17",12.82
