"","date","ELP"
"1","2007-01-03",11.81
"2","2007-01-04",12.03
"3","2007-01-05",11.41
"4","2007-01-08",11.61
"5","2007-01-09",11.41
"6","2007-01-10",11.53
"7","2007-01-11",11.48
"8","2007-01-12",11.66
"9","2007-01-16",11.42
"10","2007-01-17",11.61
"11","2007-01-18",11.71
"12","2007-01-19",11.86
"13","2007-01-22",11.75
"14","2007-01-23",11.88
"15","2007-01-24",11.92
"16","2007-01-25",11.5
"17","2007-01-26",11.99
"18","2007-01-29",11.71
"19","2007-01-30",12.03
"20","2007-01-31",12.15
"21","2007-02-01",12.35
"22","2007-02-02",12.39
"23","2007-02-05",12.52
"24","2007-02-06",12.43
"25","2007-02-07",12.17
"26","2007-02-08",11.99
"27","2007-02-09",11.78
"28","2007-02-12",11.81
"29","2007-02-13",12.04
"30","2007-02-14",12.22
"31","2007-02-15",12.24
"32","2007-02-16",12.26
"33","2007-02-20",12.38
"34","2007-02-21",12.44
"35","2007-02-22",12.36
"36","2007-02-23",12.18
"37","2007-02-26",12.28
"38","2007-02-27",11.6
"39","2007-02-28",11.77
"40","2007-03-01",11.64
"41","2007-03-02",11.31
"42","2007-03-05",11.04
"43","2007-03-06",11.58
"44","2007-03-07",11.43
"45","2007-03-08",11.76
"46","2007-03-09",11.94
"47","2007-03-12",11.78
"48","2007-03-13",11.2
"49","2007-03-14",11.51
"50","2007-03-15",11.44
"51","2007-03-16",11.27
"52","2007-03-19",11.45
"53","2007-03-20",11.94
"54","2007-03-21",12.07
"55","2007-03-22",12.03
"56","2007-03-23",12.05
"57","2007-03-26",12.15
"58","2007-03-27",12.09
"59","2007-03-28",11.96
"60","2007-03-29",12.02
"61","2007-03-30",11.62
"62","2007-04-02",11.83
"63","2007-04-03",12.03
"64","2007-04-04",12.02
"65","2007-04-05",11.95
"66","2007-04-09",12
"67","2007-04-10",12.1
"68","2007-04-11",12.05
"69","2007-04-12",12.12
"70","2007-04-13",12.46
"71","2007-04-16",12.65
"72","2007-04-17",12.88
"73","2007-04-18",12.92
"74","2007-04-19",12.96
"75","2007-04-20",12.95
"76","2007-04-23",12.96
"77","2007-04-24",12.92
"78","2007-04-25",13.19
"79","2007-04-26",12.96
"80","2007-04-27",12.91
"81","2007-04-30",12.3
"82","2007-05-01",12.41
"83","2007-05-02",12.55
"84","2007-05-03",13.01
"85","2007-05-04",13.26
"86","2007-05-07",13.36
"87","2007-05-08",13.28
"88","2007-05-09",13.44
"89","2007-05-10",13.28
"90","2007-05-11",13.49
"91","2007-05-14",13.48
"92","2007-05-15",13.56
"93","2007-05-16",14.1
"94","2007-05-17",13.91
"95","2007-05-18",13.93
"96","2007-05-21",13.95
"97","2007-05-22",13.97
"98","2007-05-23",13.71
"99","2007-05-24",13.3
"100","2007-05-25",13.91
"101","2007-05-29",14.59
"102","2007-05-30",14.81
"103","2007-05-31",14.76
"104","2007-06-01",15.6
"105","2007-06-04",15.79
"106","2007-06-05",15.44
"107","2007-06-06",14.9
"108","2007-06-07",14.38
"109","2007-06-08",15.11
"110","2007-06-11",15.47
"111","2007-06-12",15.25
"112","2007-06-13",16.049999
"113","2007-06-14",16.34
"114","2007-06-15",16.940001
"115","2007-06-18",17.200001
"116","2007-06-19",17.26
"117","2007-06-20",17.15
"118","2007-06-21",17.459999
"119","2007-06-22",16.68
"120","2007-06-25",16.459999
"121","2007-06-26",16.440001
"122","2007-06-27",16.639999
"123","2007-06-28",17.15
"124","2007-06-29",17.129999
"125","2007-07-02",17.85
"126","2007-07-03",17.52
"127","2007-07-05",17.57
"128","2007-07-06",18.01
"129","2007-07-09",18.34
"130","2007-07-10",17.540001
"131","2007-07-11",18.219999
"132","2007-07-12",18.48
"133","2007-07-13",19.059999
"134","2007-07-16",18.5
"135","2007-07-17",18.790001
"136","2007-07-18",18.57
"137","2007-07-19",18.57
"138","2007-07-20",17.959999
"139","2007-07-23",18.43
"140","2007-07-24",17.24
"141","2007-07-25",17.16
"142","2007-07-26",16.24
"143","2007-07-27",16.219999
"144","2007-07-30",16.58
"145","2007-07-31",16.4
"146","2007-08-01",16.719999
"147","2007-08-02",16.75
"148","2007-08-03",15.79
"149","2007-08-06",16.25
"150","2007-08-07",16.129999
"151","2007-08-08",17
"152","2007-08-09",15.56
"153","2007-08-10",15.17
"154","2007-08-13",15.19
"155","2007-08-14",14.69
"156","2007-08-15",13.87
"157","2007-08-16",13.56
"158","2007-08-17",14.2
"159","2007-08-20",14.45
"160","2007-08-21",14.85
"161","2007-08-22",15.54
"162","2007-08-23",15.59
"163","2007-08-24",15.79
"164","2007-08-27",15.83
"165","2007-08-28",14.98
"166","2007-08-29",15.69
"167","2007-08-30",15.4
"168","2007-08-31",16.219999
"169","2007-09-04",15.94
"170","2007-09-05",15.84
"171","2007-09-06",16.18
"172","2007-09-07",15.93
"173","2007-09-10",15.64
"174","2007-09-11",15.79
"175","2007-09-12",15.8
"176","2007-09-13",16.549999
"177","2007-09-14",16.23
"178","2007-09-17",15.15
"179","2007-09-18",16.1
"180","2007-09-19",15.72
"181","2007-09-20",15.04
"182","2007-09-21",15.14
"183","2007-09-24",15.47
"184","2007-09-25",15.56
"185","2007-09-26",15.89
"186","2007-09-27",16.42
"187","2007-09-28",15.95
"188","2007-10-01",16.299999
"189","2007-10-02",15.96
"190","2007-10-03",15.58
"191","2007-10-04",16.02
"192","2007-10-05",16.34
"193","2007-10-08",16.4
"194","2007-10-09",17.450001
"195","2007-10-10",17.280001
"196","2007-10-11",16.83
"197","2007-10-12",17.1
"198","2007-10-15",16.52
"199","2007-10-16",15.96
"200","2007-10-17",15.91
"201","2007-10-18",16.110001
"202","2007-10-19",15.39
"203","2007-10-22",15.76
"204","2007-10-23",15.99
"205","2007-10-24",15.8
"206","2007-10-25",15.8
"207","2007-10-26",16.08
"208","2007-10-29",16.280001
"209","2007-10-30",16.129999
"210","2007-10-31",16.5
"211","2007-11-01",16.1
