"","date","AXDX"
"1","2007-01-03",1.96
"2","2007-01-04",1.96
"3","2007-01-05",1.98
"4","2007-01-08",1.95
"5","2007-01-09",1.95
"6","2007-01-10",1.85
"7","2007-01-11",1.81
"8","2007-01-12",1.81
"9","2007-01-16",1.76
"10","2007-01-17",1.95
"11","2007-01-18",1.78
"12","2007-01-19",1.79
"13","2007-01-22",1.84
"14","2007-01-23",1.79
"15","2007-01-24",1.76
"16","2007-01-25",1.98
"17","2007-01-26",1.85
"18","2007-01-29",1.95
"19","2007-01-30",1.9
"20","2007-01-31",1.89
"21","2007-02-01",1.89
"22","2007-02-02",1.89
"23","2007-02-05",1.9
"24","2007-02-06",1.95
"25","2007-02-07",1.97
"26","2007-02-08",1.9
"27","2007-02-09",2.09
"28","2007-02-12",2
"29","2007-02-13",2
"30","2007-02-14",2.04
"31","2007-02-15",1.95
"32","2007-02-16",1.9
"33","2007-02-20",1.95
"34","2007-02-21",2.09
"35","2007-02-22",2.05
"36","2007-02-23",2.15
"37","2007-02-26",2.17
"38","2007-02-27",2.08
"39","2007-02-28",2.01
"40","2007-03-01",1.98
"41","2007-03-02",1.98
"42","2007-03-05",1.9
"43","2007-03-06",1.9
"44","2007-03-07",1.96
"45","2007-03-08",1.96
"46","2007-03-09",1.96
"47","2007-03-12",1.99
"48","2007-03-13",2.2
"49","2007-03-14",1.95
"50","2007-03-15",1.91
"51","2007-03-16",1.76
"52","2007-03-19",1.82
"53","2007-03-20",1.8
"54","2007-03-21",1.97
"55","2007-03-22",1.97
"56","2007-03-23",1.84
"57","2007-03-26",1.79
"58","2007-03-27",1.85
"59","2007-03-28",1.94
"60","2007-03-29",1.76
"61","2007-03-30",1.77
"62","2007-04-02",1.84
"63","2007-04-03",1.69
"64","2007-04-04",1.8
"65","2007-04-05",1.85
"66","2007-04-09",1.89
"67","2007-04-10",1.79
"68","2007-04-11",1.83
"69","2007-04-12",1.75
"70","2007-04-13",1.79
"71","2007-04-16",1.88
"72","2007-04-17",1.88
"73","2007-04-18",1.89
"74","2007-04-19",1.89
"75","2007-04-20",1.89
"76","2007-04-23",1.94
"77","2007-04-24",1.79
"78","2007-04-25",1.77
"79","2007-04-26",1.75
"80","2007-04-27",1.72
"81","2007-04-30",1.69
"82","2007-05-01",1.76
"83","2007-05-02",1.76
"84","2007-05-03",1.8
"85","2007-05-04",1.77
"86","2007-05-07",1.75
"87","2007-05-08",1.7
"88","2007-05-09",1.7
"89","2007-05-10",1.7
"90","2007-05-11",1.7
"91","2007-05-14",1.75
"92","2007-05-15",1.75
"93","2007-05-16",1.75
"94","2007-05-17",1.73
"95","2007-05-18",1.8
"96","2007-05-21",1.8
"97","2007-05-22",1.76
"98","2007-05-23",1.76
"99","2007-05-24",1.76
"100","2007-05-25",1.81
"101","2007-05-29",1.72
"102","2007-05-30",1.81
"103","2007-05-31",1.85
"104","2007-06-01",1.9
"105","2007-06-04",1.84
"106","2007-06-05",1.81
"107","2007-06-06",1.73
"108","2007-06-07",1.75
"109","2007-06-08",1.65
"110","2007-06-11",1.65
"111","2007-06-12",1.65
"112","2007-06-13",1.75
"113","2007-06-14",2
"114","2007-06-15",2.2
"115","2007-06-18",2.4
"116","2007-06-19",2.45
"117","2007-06-20",2.35
"118","2007-06-21",2.25
"119","2007-06-22",2.4
"120","2007-06-25",2.2
"121","2007-06-26",2.1
"122","2007-06-27",2.1
"123","2007-06-28",2.1
"124","2007-06-29",2
"125","2007-07-02",2.35
"126","2007-07-03",2.33
"127","2007-07-05",2.33
"128","2007-07-06",2.33
"129","2007-07-09",2.39
"130","2007-07-10",2.3
"131","2007-07-11",2.3
"132","2007-07-12",2.3
"133","2007-07-13",2.15
"134","2007-07-16",2.3
"135","2007-07-17",2.39
"136","2007-07-18",2.45
"137","2007-07-19",2.42
"138","2007-07-20",2.4
"139","2007-07-23",2.4
"140","2007-07-24",2.2
"141","2007-07-25",2.15
"142","2007-07-26",2.25
"143","2007-07-27",2.23
"144","2007-07-30",2.36
"145","2007-07-31",2.35
"146","2007-08-01",2.35
"147","2007-08-02",2.4
"148","2007-08-03",2.35
"149","2007-08-06",2.35
"150","2007-08-07",2.25
"151","2007-08-08",2.2
"152","2007-08-09",2.1
"153","2007-08-10",2
"154","2007-08-13",2.1
"155","2007-08-14",2.05
"156","2007-08-15",2.1
"157","2007-08-16",1.9
"158","2007-08-17",2
"159","2007-08-20",2.12
"160","2007-08-21",2.11
"161","2007-08-22",2.11
"162","2007-08-23",2.13
"163","2007-08-24",2.13
"164","2007-08-27",2.22
"165","2007-08-28",2.13
"166","2007-08-29",2.15
"167","2007-08-30",2.11
"168","2007-08-31",2.15
"169","2007-09-04",2.2
"170","2007-09-05",2.4
"171","2007-09-06",2.37
"172","2007-09-07",2.35
"173","2007-09-10",2.39
"174","2007-09-11",2.21
"175","2007-09-12",2.25
"176","2007-09-13",2.2
"177","2007-09-14",2.12
"178","2007-09-17",2.11
"179","2007-09-18",2.15
"180","2007-09-19",2.15
"181","2007-09-20",2.25
"182","2007-09-21",2.18
"183","2007-09-24",2.25
"184","2007-09-25",2.25
"185","2007-09-26",2.15
