"","date","ENR"
"1","2015-06-12",35
"2","2015-06-15",33.959999
"3","2015-06-16",33.82
"4","2015-06-17",33.040001
"5","2015-06-18",33
"6","2015-06-19",33.099998
"7","2015-06-22",33.5
"8","2015-06-23",33.52
"9","2015-06-24",34.330002
"10","2015-06-25",34.200001
"11","2015-06-26",34.5
"12","2015-06-29",34.07
"13","2015-06-30",34
"14","2015-07-01",34
"15","2015-07-02",36.650002
"16","2015-07-06",36.389999
"17","2015-07-07",35.310001
"18","2015-07-08",34.919998
"19","2015-07-09",35.889999
"20","2015-07-10",37
"21","2015-07-13",38.5
"22","2015-07-14",37.610001
"23","2015-07-15",37.880001
"24","2015-07-16",39.860001
"25","2015-07-17",41.459999
"26","2015-07-20",42
"27","2015-07-21",42.029999
"28","2015-07-22",42
"29","2015-07-23",42.080002
"30","2015-07-24",41.950001
"31","2015-07-27",41.360001
"32","2015-07-28",40.59
"33","2015-07-29",39.34
"34","2015-07-30",38.950001
"35","2015-07-31",38.509998
"36","2015-08-03",39.25
"37","2015-08-04",38.599998
"38","2015-08-05",39.450001
"39","2015-08-06",41.139999
"40","2015-08-07",40.549999
"41","2015-08-10",41.16
"42","2015-08-11",41.32
"43","2015-08-12",41.02
"44","2015-08-13",40.799999
"45","2015-08-14",40.540001
"46","2015-08-17",40.540001
"47","2015-08-18",40.459999
"48","2015-08-19",39.75
"49","2015-08-20",38.889999
"50","2015-08-21",39.580002
"51","2015-08-24",39.5
"52","2015-08-25",39.779999
"53","2015-08-26",40.099998
"54","2015-08-27",41.57
"55","2015-08-28",41.619999
"56","2015-08-31",41.759998
"57","2015-09-01",41.459999
"58","2015-09-02",41.139999
"59","2015-09-03",41.130001
"60","2015-09-04",41.25
"61","2015-09-08",42
"62","2015-09-09",41.799999
"63","2015-09-10",40.470001
"64","2015-09-11",40.529999
"65","2015-09-14",40.34
"66","2015-09-15",40.490002
"67","2015-09-16",41.759998
"68","2015-09-17",42
"69","2015-09-18",41.82
"70","2015-09-21",42.310001
"71","2015-09-22",42.009998
"72","2015-09-23",42.009998
"73","2015-09-24",40.080002
"74","2015-09-25",40.25
"75","2015-09-28",39.810001
"76","2015-09-29",39.279999
"77","2015-09-30",38.709999
"78","2015-10-01",40.18
"79","2015-10-02",40.66
"80","2015-10-05",41.810001
"81","2015-10-06",41.119999
"82","2015-10-07",41.139999
"83","2015-10-08",42
"84","2015-10-09",42.259998
"85","2015-10-12",42.740002
"86","2015-10-13",43
"87","2015-10-14",42.360001
"88","2015-10-15",42.650002
"89","2015-10-16",42.700001
"90","2015-10-19",42.5
"91","2015-10-20",43
"92","2015-10-21",43.110001
"93","2015-10-22",43.220001
"94","2015-10-23",43.09
"95","2015-10-26",42.419998
"96","2015-10-27",42.490002
"97","2015-10-28",43.200001
"98","2015-10-29",43.02
"99","2015-10-30",42.830002
"100","2015-11-02",43.25
"101","2015-11-03",42.84
"102","2015-11-04",42.439999
"103","2015-11-05",41.330002
"104","2015-11-06",40.799999
"105","2015-11-09",40.919998
"106","2015-11-10",40.540001
"107","2015-11-11",39.669998
"108","2015-11-12",36.080002
"109","2015-11-13",35.84
"110","2015-11-16",37.34
"111","2015-11-17",36.009998
"112","2015-11-18",35.669998
"113","2015-11-19",35.619999
"114","2015-11-20",35.27
"115","2015-11-23",35.009998
"116","2015-11-24",34.639999
"117","2015-11-25",34.669998
"118","2015-11-27",34.32
"119","2015-11-30",33.82
"120","2015-12-01",34.049999
"121","2015-12-02",33.919998
"122","2015-12-03",33.200001
"123","2015-12-04",34.200001
