"","date","GLOG"
"1","2012-03-30",12.41
"2","2012-04-02",12.49
"3","2012-04-03",11.8
"4","2012-04-04",11.16
"5","2012-04-05",11.27
"6","2012-04-09",11.45
"7","2012-04-10",11.02
"8","2012-04-11",10.8
"9","2012-04-12",11.28
"10","2012-04-13",11.29
"11","2012-04-16",11.21
"12","2012-04-17",11.74
"13","2012-04-18",11.5
"14","2012-04-19",11.12
"15","2012-04-20",11.48
"16","2012-04-23",11.36
"17","2012-04-24",11.27
"18","2012-04-25",11.58
"19","2012-04-26",11.8
"20","2012-04-27",11.74
"21","2012-04-30",11.68
"22","2012-05-01",11.8
"23","2012-05-02",11.77
"24","2012-05-03",11.71
"25","2012-05-04",11.66
"26","2012-05-07",11.9
"27","2012-05-08",11.99
"28","2012-05-09",11.76
"29","2012-05-10",11.82
"30","2012-05-11",11.72
"31","2012-05-14",11.6
"32","2012-05-15",11.25
"33","2012-05-16",11.02
"34","2012-05-17",10.54
"35","2012-05-18",9.89
"36","2012-05-21",9.68
"37","2012-05-22",9.47
"38","2012-05-23",9.2
"39","2012-05-24",9.13
"40","2012-05-25",9.18
"41","2012-05-29",9.43
"42","2012-05-30",9.46
"43","2012-05-31",9.25
"44","2012-06-01",9.01
"45","2012-06-04",8.99
"46","2012-06-05",8.95
"47","2012-06-06",9
"48","2012-06-07",9.17
"49","2012-06-08",9.42
"50","2012-06-11",9.24
"51","2012-06-12",9.63
"52","2012-06-13",9.9
"53","2012-06-14",10.35
"54","2012-06-15",10.17
"55","2012-06-18",10.11
"56","2012-06-19",10.46
"57","2012-06-20",10.46
"58","2012-06-21",10.3
"59","2012-06-22",10.19
"60","2012-06-25",9.86
"61","2012-06-26",9.81
"62","2012-06-27",10.03
"63","2012-06-28",9.77
"64","2012-06-29",10.15
"65","2012-07-02",10.23
"66","2012-07-03",10.14
"67","2012-07-05",10.31
"68","2012-07-06",10.28
"69","2012-07-09",10.05
"70","2012-07-10",9.81
"71","2012-07-11",9.77
"72","2012-07-12",9.77
"73","2012-07-13",10.21
"74","2012-07-16",10.16
"75","2012-07-17",10.24
"76","2012-07-18",10.03
"77","2012-07-19",10
"78","2012-07-20",9.91
"79","2012-07-23",9.81
"80","2012-07-24",9.81
"81","2012-07-25",9.88
"82","2012-07-26",9.71
"83","2012-07-27",9.82
"84","2012-07-30",9.82
"85","2012-07-31",9.91
"86","2012-08-01",9.57
"87","2012-08-02",9.54
"88","2012-08-03",9.62
"89","2012-08-06",9.74
"90","2012-08-07",9.75
"91","2012-08-08",9.76
"92","2012-08-09",9.78
"93","2012-08-10",9.76
"94","2012-08-13",9.77
"95","2012-08-14",9.78
"96","2012-08-15",10
"97","2012-08-16",10.19
"98","2012-08-17",10.22
"99","2012-08-20",10.54
"100","2012-08-21",10.7
"101","2012-08-22",10.7
"102","2012-08-23",10.71
"103","2012-08-24",10.85
"104","2012-08-27",11.21
"105","2012-08-28",11.22
"106","2012-08-29",11.3
"107","2012-08-30",11.23
"108","2012-08-31",11.12
"109","2012-09-04",11.18
"110","2012-09-05",10.9
"111","2012-09-06",10.9
"112","2012-09-07",10.8
