"","date","JYNT"
"1","2014-11-11",6.58
"2","2014-11-12",6.5
"3","2014-11-13",6.62
"4","2014-11-14",6.75
"5","2014-11-17",6.76
"6","2014-11-18",6.84
"7","2014-11-19",6.5
"8","2014-11-20",6.61
"9","2014-11-21",6.5
"10","2014-11-24",6.17
"11","2014-11-25",6.32
"12","2014-11-26",6.32
"13","2014-11-28",6.18
"14","2014-12-01",6.44
"15","2014-12-02",6.39
"16","2014-12-03",6.39
"17","2014-12-04",6.39
"18","2014-12-05",6.45
"19","2014-12-08",6.37
"20","2014-12-09",6.34
"21","2014-12-10",6.49
"22","2014-12-11",6.49
"23","2014-12-12",6.2
"24","2014-12-15",6.46
"25","2014-12-16",6.25
"26","2014-12-17",6.2
"27","2014-12-18",6.4
"28","2014-12-19",6.25
"29","2014-12-22",6.29
"30","2014-12-23",6.15
"31","2014-12-24",6.05
"32","2014-12-26",6.07
"33","2014-12-29",6.05
"34","2014-12-30",6.07
"35","2014-12-31",6.38
"36","2015-01-02",6.31
"37","2015-01-05",6.31
"38","2015-01-06",6.39
"39","2015-01-07",6.5
"40","2015-01-08",6.58
"41","2015-01-09",6.53
"42","2015-01-12",6.68
"43","2015-01-13",6.75
"44","2015-01-14",6.46
"45","2015-01-15",6.48
"46","2015-01-16",6.5
"47","2015-01-20",6.412
"48","2015-01-21",6.695
"49","2015-01-22",6.57
"50","2015-01-23",6.57
"51","2015-01-26",6.67
"52","2015-01-27",6.54
"53","2015-01-28",6.43
"54","2015-01-29",6.44
"55","2015-01-30",6.44
"56","2015-02-02",6.82
"57","2015-02-03",6.51
"58","2015-02-04",6.75
"59","2015-02-05",6.78
"60","2015-02-06",6.97
"61","2015-02-09",6.97
"62","2015-02-10",6.66
"63","2015-02-11",6.9
"64","2015-02-12",6.99
"65","2015-02-13",7.03
"66","2015-02-17",6.95
"67","2015-02-18",6.98
"68","2015-02-19",7.25
"69","2015-02-20",7.19
"70","2015-02-23",7.27
"71","2015-02-24",7.74
"72","2015-02-25",7.95
"73","2015-02-26",7.88
"74","2015-02-27",7.97
"75","2015-03-02",8.16
"76","2015-03-03",8.66
"77","2015-03-04",8.43
"78","2015-03-05",8.32
"79","2015-03-06",8.65
"80","2015-03-09",8.96
"81","2015-03-10",8.75
