"","date","RCII"
"1","2007-01-03",29.33
"2","2007-01-04",29.67
"3","2007-01-05",28.889999
"4","2007-01-08",28.719999
"5","2007-01-09",29.17
"6","2007-01-10",28.879999
"7","2007-01-11",29.41
"8","2007-01-12",29.25
"9","2007-01-16",29.07
"10","2007-01-17",28.860001
"11","2007-01-18",29.040001
"12","2007-01-19",29.34
"13","2007-01-22",28.67
"14","2007-01-23",29.01
"15","2007-01-24",29.280001
"16","2007-01-25",28.469999
"17","2007-01-26",28.15
"18","2007-01-29",28.790001
"19","2007-01-30",28.809999
"20","2007-01-31",29.459999
"21","2007-02-01",30.75
"22","2007-02-02",30.76
"23","2007-02-05",30.34
"24","2007-02-06",30.469999
"25","2007-02-07",30.629999
"26","2007-02-08",31.09
"27","2007-02-09",30.34
"28","2007-02-12",30.209999
"29","2007-02-13",30.42
"30","2007-02-14",30.629999
"31","2007-02-15",30.950001
"32","2007-02-16",30.6
"33","2007-02-20",30.6
"34","2007-02-21",30.16
"35","2007-02-22",30.01
"36","2007-02-23",30.35
"37","2007-02-26",30.15
"38","2007-02-27",28.379999
"39","2007-02-28",28.32
"40","2007-03-01",28.92
"41","2007-03-02",28.030001
"42","2007-03-05",27.450001
"43","2007-03-06",28
"44","2007-03-07",27.549999
"45","2007-03-08",27.68
"46","2007-03-09",27.9
"47","2007-03-12",28.059999
"48","2007-03-13",26.610001
"49","2007-03-14",26.32
"50","2007-03-15",26.860001
"51","2007-03-16",27.02
"52","2007-03-19",27.67
"53","2007-03-20",28.139999
"54","2007-03-21",28.309999
"55","2007-03-22",28.129999
"56","2007-03-23",28.32
"57","2007-03-26",28.09
"58","2007-03-27",27.9
"59","2007-03-28",27.440001
"60","2007-03-29",27.26
"61","2007-03-30",27.98
"62","2007-04-02",27.98
"63","2007-04-03",27.940001
"64","2007-04-04",27.719999
"65","2007-04-05",27.700001
"66","2007-04-09",27.41
"67","2007-04-10",28.440001
"68","2007-04-11",28.33
"69","2007-04-12",28.15
"70","2007-04-13",27.67
"71","2007-04-16",28.27
"72","2007-04-17",28.200001
"73","2007-04-18",28.389999
"74","2007-04-19",28.200001
"75","2007-04-20",28.799999
"76","2007-04-23",28.49
"77","2007-04-24",28.219999
"78","2007-04-25",28.74
"79","2007-04-26",29.01
"80","2007-04-27",28.57
"81","2007-04-30",27.84
"82","2007-05-01",27.209999
"83","2007-05-02",27.02
"84","2007-05-03",27.66
"85","2007-05-04",28.02
"86","2007-05-07",28.309999
"87","2007-05-08",27.99
"88","2007-05-09",28.219999
"89","2007-05-10",27.52
"90","2007-05-11",28.08
"91","2007-05-14",27.059999
"92","2007-05-15",26.969999
"93","2007-05-16",27
"94","2007-05-17",27.129999
"95","2007-05-18",27.57
"96","2007-05-21",27.610001
"97","2007-05-22",27.15
"98","2007-05-23",26.93
"99","2007-05-24",26.879999
"100","2007-05-25",26.799999
"101","2007-05-29",26.709999
"102","2007-05-30",27.07
"103","2007-05-31",27.1
"104","2007-06-01",27.35
"105","2007-06-04",27.360001
"106","2007-06-05",27
"107","2007-06-06",26.719999
"108","2007-06-07",25.9
"109","2007-06-08",26.530001
"110","2007-06-11",26.18
"111","2007-06-12",26.049999
"112","2007-06-13",26.73
"113","2007-06-14",26.700001
"114","2007-06-15",26.940001
"115","2007-06-18",26.940001
"116","2007-06-19",27.129999
"117","2007-06-20",27.07
"118","2007-06-21",26.790001
"119","2007-06-22",26.33
"120","2007-06-25",25.969999
"121","2007-06-26",26.02
"122","2007-06-27",26.440001
"123","2007-06-28",26.200001
"124","2007-06-29",26.23
"125","2007-07-02",26.799999
"126","2007-07-03",26.9
"127","2007-07-05",26.870001
"128","2007-07-06",26.809999
"129","2007-07-09",26.559999
"130","2007-07-10",26
"131","2007-07-11",26.309999
"132","2007-07-12",27.040001
"133","2007-07-13",27.059999
"134","2007-07-16",26.889999
"135","2007-07-17",26.889999
"136","2007-07-18",26.07
"137","2007-07-19",26.200001
"138","2007-07-20",25.889999
"139","2007-07-23",25.58
"140","2007-07-24",24.65
"141","2007-07-25",25.09
"142","2007-07-26",24.42
"143","2007-07-27",23.99
"144","2007-07-30",24.120001
"145","2007-07-31",19.41
"146","2007-08-01",18.620001
"147","2007-08-02",18.209999
"148","2007-08-03",17.23
"149","2007-08-06",17.610001
"150","2007-08-07",19.1
"151","2007-08-08",20.24
"152","2007-08-09",21.209999
"153","2007-08-10",20
"154","2007-08-13",19.370001
"155","2007-08-14",18.85
"156","2007-08-15",18.74
"157","2007-08-16",18.530001
"158","2007-08-17",18.969999
"159","2007-08-20",19.190001
"160","2007-08-21",19.360001
"161","2007-08-22",19.969999
"162","2007-08-23",19.440001
