"","date","SC"
"1","2014-01-23",25.200001
"2","2014-01-24",24.209999
"3","2014-01-27",24.799999
"4","2014-01-28",25.690001
"5","2014-01-29",25.620001
"6","2014-01-30",25.77
"7","2014-01-31",25.629999
"8","2014-02-03",25.25
"9","2014-02-04",25.18
"10","2014-02-05",25.280001
"11","2014-02-06",24.719999
"12","2014-02-07",25.08
"13","2014-02-10",25.219999
"14","2014-02-11",25.379999
"15","2014-02-12",25.26
"16","2014-02-13",25.49
"17","2014-02-14",25.41
"18","2014-02-18",25.5
"19","2014-02-19",25.360001
"20","2014-02-20",25.43
"21","2014-02-21",25.35
"22","2014-02-24",25.280001
"23","2014-02-25",25.059999
"24","2014-02-26",24.860001
"25","2014-02-27",24.879999
"26","2014-02-28",25.33
"27","2014-03-03",25.9
"28","2014-03-04",25.51
"29","2014-03-05",25
"30","2014-03-06",24.73
"31","2014-03-07",24.440001
"32","2014-03-10",24.379999
"33","2014-03-11",23.940001
"34","2014-03-12",23.860001
"35","2014-03-13",22.860001
"36","2014-03-14",23.18
"37","2014-03-17",24.059999
"38","2014-03-18",24.76
"39","2014-03-19",24.709999
"40","2014-03-20",24.370001
"41","2014-03-21",24.030001
"42","2014-03-24",23.24
"43","2014-03-25",23.16
"44","2014-03-26",23.139999
"45","2014-03-27",23.110001
"46","2014-03-28",23.5
"47","2014-03-31",24.08
"48","2014-04-01",24
"49","2014-04-02",24.110001
"50","2014-04-03",23.780001
"51","2014-04-04",22.99
"52","2014-04-07",22.48
"53","2014-04-08",22.59
"54","2014-04-09",22.799999
"55","2014-04-10",22.709999
"56","2014-04-11",22.290001
"57","2014-04-14",22.23
"58","2014-04-15",22.700001
"59","2014-04-16",23.02
"60","2014-04-17",22.93
"61","2014-04-21",22.870001
"62","2014-04-22",23.059999
"63","2014-04-23",22.92
"64","2014-04-24",22.870001
"65","2014-04-25",22.77
"66","2014-04-28",22.440001
"67","2014-04-29",22.84
"68","2014-04-30",22.74
"69","2014-05-01",22.540001
"70","2014-05-02",22.5
"71","2014-05-05",22.73
"72","2014-05-06",22.530001
"73","2014-05-07",22.040001
"74","2014-05-08",22.110001
"75","2014-05-09",21.83
"76","2014-05-12",21.82
"77","2014-05-13",21.67
"78","2014-05-14",21.549999
"79","2014-05-15",21.23
"80","2014-05-16",21.08
"81","2014-05-19",21.209999
"82","2014-05-20",21.25
"83","2014-05-21",21.620001
"84","2014-05-22",21.5
"85","2014-05-23",21.219999
"86","2014-05-27",21.209999
"87","2014-05-28",20.719999
"88","2014-05-29",19.76
"89","2014-05-30",19.65
"90","2014-06-02",19.66
"91","2014-06-03",20.1
"92","2014-06-04",20.27
"93","2014-06-05",20.309999
"94","2014-06-06",20.52
"95","2014-06-09",20.620001
"96","2014-06-10",21.049999
"97","2014-06-11",19.25
"98","2014-06-12",18.99
"99","2014-06-13",18.76
"100","2014-06-16",18.92
"101","2014-06-17",18.860001
"102","2014-06-18",19.129999
"103","2014-06-19",19.360001
"104","2014-06-20",19.549999
"105","2014-06-23",19.370001
"106","2014-06-24",19.09
"107","2014-06-25",19.299999
"108","2014-06-26",19.440001
"109","2014-06-27",19.6
"110","2014-06-30",19.440001
"111","2014-07-01",19.76
"112","2014-07-02",19.700001
