"","date","HZN"
"1","2015-06-23",16.25
"2","2015-06-24",16.25
"3","2015-06-25",16.25
"4","2015-06-26",16.25
"5","2015-06-29",16.25
"6","2015-06-30",15.05
"7","2015-07-01",13.75
"8","2015-07-02",12.21
"9","2015-07-06",12.9
"10","2015-07-07",13.36
"11","2015-07-08",12.79
"12","2015-07-09",12.59
"13","2015-07-10",12.73
"14","2015-07-13",13.09
"15","2015-07-14",13.94
"16","2015-07-15",13.95
"17","2015-07-16",14.11
"18","2015-07-17",13.94
"19","2015-07-20",13.24
"20","2015-07-21",12.93
"21","2015-07-22",12.95
"22","2015-07-23",12.9
"23","2015-07-24",12.86
"24","2015-07-27",12.74
"25","2015-07-28",12.77
"26","2015-07-29",12.35
"27","2015-07-30",12.41
"28","2015-07-31",12.52
"29","2015-08-03",12.46
"30","2015-08-04",12.55
"31","2015-08-05",10.83
"32","2015-08-06",10
"33","2015-08-07",10.07
"34","2015-08-10",11.08
"35","2015-08-11",11.27
"36","2015-08-12",10.75
"37","2015-08-13",10.81
"38","2015-08-14",11.02
"39","2015-08-17",11.47
"40","2015-08-18",11.42
"41","2015-08-19",11.32
"42","2015-08-20",11
"43","2015-08-21",11
"44","2015-08-24",10.61
"45","2015-08-25",10.52
"46","2015-08-26",10.22
"47","2015-08-27",10.3
"48","2015-08-28",10.72
"49","2015-08-31",10.46
"50","2015-09-01",10.01
"51","2015-09-02",9.54
"52","2015-09-03",9.75
"53","2015-09-04",9.55
"54","2015-09-08",9.73
"55","2015-09-09",9.72
"56","2015-09-10",9.72
"57","2015-09-11",9.64
"58","2015-09-14",9.41
"59","2015-09-15",9.26
"60","2015-09-16",9.3
"61","2015-09-17",8.83
"62","2015-09-18",9.4
"63","2015-09-21",9.67
"64","2015-09-22",9.36
"65","2015-09-23",9.49
"66","2015-09-24",9.62
"67","2015-09-25",9.43
"68","2015-09-28",9.3
"69","2015-09-29",8.74
"70","2015-09-30",8.82
"71","2015-10-01",8.81
"72","2015-10-02",8.59
"73","2015-10-05",9.06
"74","2015-10-06",9.06
"75","2015-10-07",9.2
"76","2015-10-08",9.21
"77","2015-10-09",9.21
"78","2015-10-12",9.18
"79","2015-10-13",9.1
"80","2015-10-14",8.8
"81","2015-10-15",9.16
"82","2015-10-16",9.23
"83","2015-10-19",9.1
"84","2015-10-20",9.24
"85","2015-10-21",9.28
"86","2015-10-22",9
"87","2015-10-23",9.2
"88","2015-10-26",9.14
"89","2015-10-27",8.59
"90","2015-10-28",8.7
"91","2015-10-29",8.76
"92","2015-10-30",8.79
"93","2015-11-02",9.02
"94","2015-11-03",9.06
"95","2015-11-04",8.95
"96","2015-11-05",9.22
"97","2015-11-06",9.4
"98","2015-11-09",9.07
"99","2015-11-10",9.22
"100","2015-11-11",9.05
"101","2015-11-12",8.79
"102","2015-11-13",8.38
"103","2015-11-16",8.34
"104","2015-11-17",8.19
"105","2015-11-18",8.56
"106","2015-11-19",8.64
"107","2015-11-20",8.73
"108","2015-11-23",8.72
"109","2015-11-24",8.99
"110","2015-11-25",8.95
"111","2015-11-27",8.95
"112","2015-11-30",8.69
"113","2015-12-01",8.6
"114","2015-12-02",8.76
"115","2015-12-03",8.72
"116","2015-12-04",8.72
"117","2015-12-07",8.56
"118","2015-12-08",8.74
"119","2015-12-09",8.81
"120","2015-12-10",8.8
"121","2015-12-11",8.8
"122","2015-12-14",8.78
"123","2015-12-15",8.82
"124","2015-12-16",8.85
"125","2015-12-17",8.87
"126","2015-12-18",9.5
"127","2015-12-21",10.9
"128","2015-12-22",10.38
"129","2015-12-23",10.53
"130","2015-12-24",10.66
"131","2015-12-28",10.37
"132","2015-12-29",10.51
"133","2015-12-30",10.34
"134","2015-12-31",10.37
"135","2016-01-04",10.25
"136","2016-01-05",10.01
"137","2016-01-06",9.86
"138","2016-01-07",9.53
"139","2016-01-08",9.14
"140","2016-01-11",8.96
"141","2016-01-12",8.86
"142","2016-01-13",8.4
"143","2016-01-14",8.48
"144","2016-01-15",8.6
"145","2016-01-19",8.52
"146","2016-01-20",8.97
"147","2016-01-21",8.91
"148","2016-01-22",9.17
"149","2016-01-25",9.08
"150","2016-01-26",9.39
"151","2016-01-27",9.32
"152","2016-01-28",9.51
"153","2016-01-29",9.55
"154","2016-02-01",9.38
"155","2016-02-02",9.1
"156","2016-02-03",8.99
"157","2016-02-04",8.97
