"","date","NVAX"
"1","2007-01-03",77.400002
"2","2007-01-04",81.400002
"3","2007-01-05",81.400002
"4","2007-01-08",78.599998
"5","2007-01-09",76.400002
"6","2007-01-10",79.800003
"7","2007-01-11",79.800003
"8","2007-01-12",79.400002
"9","2007-01-16",90
"10","2007-01-17",84.199997
"11","2007-01-18",79.400002
"12","2007-01-19",81.400002
"13","2007-01-22",81.800003
"14","2007-01-23",84.199997
"15","2007-01-24",84.400002
"16","2007-01-25",81.800003
"17","2007-01-26",81.599998
"18","2007-01-29",81.400002
"19","2007-01-30",84.199997
"20","2007-01-31",82
"21","2007-02-01",82.800003
"22","2007-02-02",81.800003
"23","2007-02-05",83.800003
"24","2007-02-06",81.800003
"25","2007-02-07",82.400002
"26","2007-02-08",82.599998
"27","2007-02-09",82
"28","2007-02-12",80.800003
"29","2007-02-13",78.400002
"30","2007-02-14",77.400002
"31","2007-02-15",76.800003
"32","2007-02-16",75.800003
"33","2007-02-20",79.199997
"34","2007-02-21",78.400002
"35","2007-02-22",77
"36","2007-02-23",76.599998
"37","2007-02-26",75
"38","2007-02-27",68.599998
"39","2007-02-28",66.400002
"40","2007-03-01",64.599998
"41","2007-03-02",62.200001
"42","2007-03-05",55.599998
"43","2007-03-06",59
"44","2007-03-07",55.400002
"45","2007-03-08",62.400002
"46","2007-03-09",62.200001
"47","2007-03-12",61.200001
"48","2007-03-13",58.599998
"49","2007-03-14",56.599998
"50","2007-03-15",56.200001
"51","2007-03-16",55.200001
"52","2007-03-19",53.799999
"53","2007-03-20",54.200001
"54","2007-03-21",54.799999
"55","2007-03-22",54.799999
"56","2007-03-23",54.200001
"57","2007-03-26",53.599998
"58","2007-03-27",54.799999
"59","2007-03-28",53.400002
"60","2007-03-29",52.400002
"61","2007-03-30",51.799999
"62","2007-04-02",61
"63","2007-04-03",60.799999
"64","2007-04-04",58.200001
"65","2007-04-05",58.599998
"66","2007-04-09",54.599998
"67","2007-04-10",55.200001
"68","2007-04-11",54.200001
"69","2007-04-12",55.799999
"70","2007-04-13",60.400002
"71","2007-04-16",61.400002
"72","2007-04-17",61.200001
"73","2007-04-18",59
"74","2007-04-19",64.599998
"75","2007-04-20",67
"76","2007-04-23",69.199997
"77","2007-04-24",68
"78","2007-04-25",65.599998
"79","2007-04-26",64.199997
"80","2007-04-27",63.200001
"81","2007-04-30",59.200001
