"","date","AQB"
"1","2017-01-09",0.007
"2","2017-01-10",0.166
"3","2017-01-11",26.49
"4","2017-01-12",17.209999
"5","2017-01-13",15.6
"6","2017-01-17",17.030001
"7","2017-01-18",16.059999
"8","2017-01-19",24.200001
"9","2017-01-20",23.290001
"10","2017-01-23",20.34
"11","2017-01-24",15.18
"12","2017-01-25",15.12
"13","2017-01-26",14.66
"14","2017-01-27",11.95
"15","2017-01-30",13.07
"16","2017-01-31",13.8
"17","2017-02-01",12.61
"18","2017-02-02",12.65
"19","2017-02-03",13.15
"20","2017-02-06",15.76
"21","2017-02-07",16.91
"22","2017-02-08",18.01
"23","2017-02-09",17.549999
"24","2017-02-10",15.21
"25","2017-02-13",15.01
"26","2017-02-14",14.1
"27","2017-02-15",16.75
"28","2017-02-16",15.49
"29","2017-02-17",15.3
"30","2017-02-21",15.26
"31","2017-02-22",15.12
"32","2017-02-23",14.75
"33","2017-02-24",13.9
"34","2017-02-27",14.2
"35","2017-02-28",14.22
"36","2017-03-01",14.65
"37","2017-03-02",14.58
"38","2017-03-03",14.52
"39","2017-03-06",13.98
"40","2017-03-07",13.51
"41","2017-03-08",13.78
"42","2017-03-09",13.6
"43","2017-03-10",13.31
"44","2017-03-13",12.9
"45","2017-03-14",12.26
"46","2017-03-15",12.18
"47","2017-03-16",12.02
"48","2017-03-17",10.75
"49","2017-03-20",10.73
"50","2017-03-21",10.73
"51","2017-03-22",10.44
"52","2017-03-23",10.25
"53","2017-03-24",10.39
"54","2017-03-27",10.58
"55","2017-03-28",10.66
"56","2017-03-29",10.41
"57","2017-03-30",10.72
"58","2017-03-31",11.08
"59","2017-04-03",11.33
"60","2017-04-04",10.87
"61","2017-04-05",10.61
"62","2017-04-06",10.95
"63","2017-04-07",10.84
"64","2017-04-10",10.39
"65","2017-04-11",10.37
"66","2017-04-12",10.1
"67","2017-04-13",9.8
"68","2017-04-17",9.25
"69","2017-04-18",8.9
"70","2017-04-19",8.6
"71","2017-04-20",8.55
"72","2017-04-21",8.53
"73","2017-04-24",8.21
"74","2017-04-25",8.32
"75","2017-04-26",8.51
"76","2017-04-27",8.51
"77","2017-04-28",7.77
"78","2017-05-01",7.9
"79","2017-05-02",8.21
"80","2017-05-03",8.25
"81","2017-05-04",8.1
"82","2017-05-05",8.27
"83","2017-05-08",8.34
"84","2017-05-09",7.99
"85","2017-05-10",8
"86","2017-05-11",8.06
"87","2017-05-12",8.29
"88","2017-05-15",8.74
"89","2017-05-16",8.68
"90","2017-05-17",8.46
"91","2017-05-18",8.52
"92","2017-05-19",8.4
"93","2017-05-22",8.33
"94","2017-05-23",7.93
"95","2017-05-24",8.1
"96","2017-05-25",8.23
"97","2017-05-26",8.03
"98","2017-05-30",8.21
"99","2017-05-31",8.22
"100","2017-06-01",8.4
"101","2017-06-02",8.38
"102","2017-06-05",8.43
"103","2017-06-06",8.44
"104","2017-06-07",8.43
"105","2017-06-08",8.43
"106","2017-06-09",8.49
"107","2017-06-12",8.23
"108","2017-06-13",8.33
"109","2017-06-14",8.32
"110","2017-06-15",8.29
"111","2017-06-16",7.86
"112","2017-06-19",8
"113","2017-06-20",8.13
"114","2017-06-21",8.14
"115","2017-06-22",8.13
"116","2017-06-23",7.32
"117","2017-06-26",7.27
"118","2017-06-27",6.9
"119","2017-06-28",7.49
"120","2017-06-29",7.36
"121","2017-06-30",8.01
"122","2017-07-03",7.9
"123","2017-07-05",7.93
"124","2017-07-06",7.47
"125","2017-07-07",7.25
"126","2017-07-10",7.17
"127","2017-07-11",7.45
"128","2017-07-12",7.16
"129","2017-07-13",7.39
"130","2017-07-14",7.26
"131","2017-07-17",7.57
"132","2017-07-18",7.26
"133","2017-07-19",7.59
"134","2017-07-20",7.17
"135","2017-07-21",7.23
"136","2017-07-24",7.27
"137","2017-07-25",7.07
"138","2017-07-26",7.07
"139","2017-07-27",6.87
"140","2017-07-28",7.02
"141","2017-07-31",6.89
"142","2017-08-01",6.87
"143","2017-08-02",6.5
"144","2017-08-03",6.68
"145","2017-08-04",7.58
"146","2017-08-07",7.66
"147","2017-08-08",7.82
"148","2017-08-09",7.52
"149","2017-08-10",7.67
"150","2017-08-11",7.68
"151","2017-08-14",7.64
"152","2017-08-15",6.98
"153","2017-08-16",7.3
"154","2017-08-17",7.27
"155","2017-08-18",7.09
"156","2017-08-21",7
"157","2017-08-22",7.25
"158","2017-08-23",7.32
"159","2017-08-24",7.24
"160","2017-08-25",7.11
"161","2017-08-28",7.19
"162","2017-08-29",7.24
"163","2017-08-30",7.3
"164","2017-08-31",7.22
"165","2017-09-01",8.02
"166","2017-09-05",7.64
"167","2017-09-06",7.43
"168","2017-09-07",7.44
"169","2017-09-08",7.54
"170","2017-09-11",7.61
"171","2017-09-12",7.62
"172","2017-09-13",7.47
"173","2017-09-14",7.52
"174","2017-09-15",7.33
"175","2017-09-18",7.21
"176","2017-09-19",7.13
"177","2017-09-20",6.97
"178","2017-09-21",6.8
"179","2017-09-22",6.76
"180","2017-09-25",6.63
"181","2017-09-26",6.54
"182","2017-09-27",6.609
"183","2017-09-28",6.586
"184","2017-09-29",7.11
"185","2017-10-02",7.35
"186","2017-10-03",7.34
"187","2017-10-04",7.35
"188","2017-10-05",7.26
"189","2017-10-06",7.25
"190","2017-10-09",7.25
"191","2017-10-10",7.11
"192","2017-10-11",6.84
"193","2017-10-12",6.75
"194","2017-10-13",6.715
"195","2017-10-16",6.73
"196","2017-10-17",6.7
"197","2017-10-18",6.64
"198","2017-10-19",6.65
"199","2017-10-20",6.583
"200","2017-10-23",6.46
"201","2017-10-24",6.48
"202","2017-10-25",6.39
"203","2017-10-26",6.4
"204","2017-10-27",6.44
"205","2017-10-30",6.35
"206","2017-10-31",6.3
"207","2017-11-01",6.1
"208","2017-11-02",5.6
"209","2017-11-03",5.18
"210","2017-11-06",5.297
"211","2017-11-07",5.14
"212","2017-11-08",5.03
"213","2017-11-09",4.77
"214","2017-11-10",4.81
"215","2017-11-13",4.9
"216","2017-11-14",4.77
"217","2017-11-15",4.46
"218","2017-11-16",4.1
"219","2017-11-17",4.32
"220","2017-11-20",4.43
"221","2017-11-21",4.39
"222","2017-11-22",4.1
"223","2017-11-24",4.09
"224","2017-11-27",3.9
"225","2017-11-28",3.82
"226","2017-11-29",3.82
"227","2017-11-30",3.85
"228","2017-12-01",4.03
"229","2017-12-04",3.86
"230","2017-12-05",3.778
"231","2017-12-06",3.52
"232","2017-12-07",3.46
"233","2017-12-08",3.43
"234","2017-12-11",3.22
"235","2017-12-12",3.16
"236","2017-12-13",3.39
"237","2017-12-14",3.257
"238","2017-12-15",3.16
"239","2017-12-18",3.2
"240","2017-12-19",3.23
"241","2017-12-20",3.3
"242","2017-12-21",3.12
"243","2017-12-22",3.2
"244","2017-12-26",3.14
"245","2017-12-27",3.12
"246","2017-12-28",3.153
"247","2017-12-29",3.52
"248","2018-01-02",8.89
"249","2018-01-03",6.82
"250","2018-01-04",6.35
"251","2018-01-05",7.43
"252","2018-01-08",7.04
"253","2018-01-09",6.29
"254","2018-01-10",5.62
"255","2018-01-11",4.86
"256","2018-01-12",3.02
"257","2018-01-16",3.02
"258","2018-01-17",3.02
"259","2018-01-18",3.01
"260","2018-01-19",2.79
"261","2018-01-22",2.95
"262","2018-01-23",3.05
"263","2018-01-24",2.93
"264","2018-01-25",2.91
"265","2018-01-26",2.81
"266","2018-01-29",2.7
"267","2018-01-30",2.71
"268","2018-01-31",2.75
"269","2018-02-01",2.68
"270","2018-02-02",2.61
"271","2018-02-05",2.482
"272","2018-02-06",2.574
"273","2018-02-07",2.57
"274","2018-02-08",2.55
"275","2018-02-09",2.59
"276","2018-02-12",2.69
"277","2018-02-13",2.55
"278","2018-02-14",2.63
"279","2018-02-15",2.639
"280","2018-02-16",2.65
"281","2018-02-20",2.55
"282","2018-02-21",2.54
"283","2018-02-22",2.49
"284","2018-02-23",2.51
"285","2018-02-26",2.51
"286","2018-02-27",2.5
"287","2018-02-28",2.44
"288","2018-03-01",2.37
"289","2018-03-02",2.5
"290","2018-03-05",2.4
"291","2018-03-06",2.31
"292","2018-03-07",2.35
"293","2018-03-08",2.59
"294","2018-03-09",2.77
"295","2018-03-12",2.56
"296","2018-03-13",2.5
"297","2018-03-14",2.9
"298","2018-03-15",3.07
"299","2018-03-16",3.45
"300","2018-03-19",3.36
"301","2018-03-20",3.42
"302","2018-03-21",3.72
"303","2018-03-22",3.4
"304","2018-03-23",3.1
"305","2018-03-26",3.02
"306","2018-03-27",2.85
"307","2018-03-28",2.8
"308","2018-03-29",2.95
"309","2018-04-02",2.89
"310","2018-04-03",2.87
"311","2018-04-04",2.96
"312","2018-04-05",3.12
"313","2018-04-06",3.15
"314","2018-04-09",2.99
"315","2018-04-10",3.25
"316","2018-04-11",3.49
"317","2018-04-12",3.35
"318","2018-04-13",3.393
"319","2018-04-16",3.22
"320","2018-04-17",3.14
"321","2018-04-18",3.1
"322","2018-04-19",3.25
"323","2018-04-20",3.156
"324","2018-04-23",3.09
"325","2018-04-24",3.1
"326","2018-04-25",3.08
"327","2018-04-26",3.01
"328","2018-04-27",3.36
"329","2018-04-30",3.1
"330","2018-05-01",3.02
"331","2018-05-02",3.074
"332","2018-05-03",3.3
"333","2018-05-04",3.23
"334","2018-05-07",3.16
"335","2018-05-08",3.11
"336","2018-05-09",3.17
"337","2018-05-10",3.18
"338","2018-05-11",3.1
"339","2018-05-14",3.01
"340","2018-05-15",3.03
"341","2018-05-16",3
"342","2018-05-17",3.01
