"","date","CMCO"
"1","2007-01-03",21.370001
"2","2007-01-04",22.459999
"3","2007-01-05",22.440001
"4","2007-01-08",23.379999
"5","2007-01-09",23.790001
"6","2007-01-10",23.280001
"7","2007-01-11",24.4
"8","2007-01-12",24.48
"9","2007-01-16",24.639999
"10","2007-01-17",24.17
"11","2007-01-18",24.190001
"12","2007-01-19",24.870001
"13","2007-01-22",24.77
"14","2007-01-23",25.25
"15","2007-01-24",24.370001
"16","2007-01-25",23.32
"17","2007-01-26",23.91
"18","2007-01-29",23.49
"19","2007-01-30",23.65
"20","2007-01-31",22.98
"21","2007-02-01",23.129999
"22","2007-02-02",24
"23","2007-02-05",23.959999
"24","2007-02-06",24.200001
"25","2007-02-07",24.32
"26","2007-02-08",24.33
"27","2007-02-09",23.74
"28","2007-02-12",23.76
"29","2007-02-13",24.950001
"30","2007-02-14",24.450001
"31","2007-02-15",25
"32","2007-02-16",24.879999
"33","2007-02-20",24.959999
"34","2007-02-21",25.42
"35","2007-02-22",25.68
"36","2007-02-23",25.1
"37","2007-02-26",25.24
"38","2007-02-27",23.809999
"39","2007-02-28",23.200001
"40","2007-03-01",23
"41","2007-03-02",22.190001
"42","2007-03-05",21.440001
"43","2007-03-06",22.34
"44","2007-03-07",22.389999
"45","2007-03-08",22.83
"46","2007-03-09",22.6
"47","2007-03-12",22.27
"48","2007-03-13",21.110001
"49","2007-03-14",21.530001
"50","2007-03-15",21.129999
"51","2007-03-16",20.870001
"52","2007-03-19",21.34
"53","2007-03-20",21.27
"54","2007-03-21",21.790001
"55","2007-03-22",22.1
"56","2007-03-23",22
"57","2007-03-26",21.959999
"58","2007-03-27",22.08
"59","2007-03-28",21.799999
"60","2007-03-29",22.620001
"61","2007-03-30",22.389999
"62","2007-04-02",22.42
"63","2007-04-03",22.290001
"64","2007-04-04",22.799999
"65","2007-04-05",22.27
"66","2007-04-09",22.92
"67","2007-04-10",22.76
"68","2007-04-11",22.049999
"69","2007-04-12",23.59
"70","2007-04-13",23.700001
"71","2007-04-16",24.58
"72","2007-04-17",24.32
"73","2007-04-18",23.809999
"74","2007-04-19",23.969999
"75","2007-04-20",25.139999
"76","2007-04-23",24.809999
"77","2007-04-24",24.799999
"78","2007-04-25",25.040001
"79","2007-04-26",25.59
"80","2007-04-27",24.82
"81","2007-04-30",24.76
"82","2007-05-01",24.799999
"83","2007-05-02",24.940001
"84","2007-05-03",25.299999
"85","2007-05-04",25.67
"86","2007-05-07",25.25
"87","2007-05-08",25.08
"88","2007-05-09",25.48
"89","2007-05-10",24.76
"90","2007-05-11",24.91
"91","2007-05-14",24.860001
"92","2007-05-15",24.66
"93","2007-05-16",24.549999
"94","2007-05-17",24.129999
"95","2007-05-18",24.280001
"96","2007-05-21",25.49
"97","2007-05-22",26.540001
"98","2007-05-23",26.799999
"99","2007-05-24",26.040001
"100","2007-05-25",27.15
"101","2007-05-29",29.65
"102","2007-05-30",30
"103","2007-05-31",30
"104","2007-06-01",29.709999
"105","2007-06-04",30.190001
"106","2007-06-05",30.83
"107","2007-06-06",29.77
"108","2007-06-07",29.049999
"109","2007-06-08",30.139999
"110","2007-06-11",29.66
"111","2007-06-12",28.700001
"112","2007-06-13",28.99
"113","2007-06-14",28.84
"114","2007-06-15",29.969999
"115","2007-06-18",29.91
"116","2007-06-19",30.6
"117","2007-06-20",30.17
"118","2007-06-21",29.93
