"","date","ONCR"
"1","2020-10-02",16
"2","2020-10-05",15.68
"3","2020-10-06",15.52
"4","2020-10-07",15.23
"5","2020-10-08",15.4
"6","2020-10-09",15.66
"7","2020-10-12",15.5
"8","2020-10-13",15.01
"9","2020-10-14",18.549999
"10","2020-10-15",17.27
"11","2020-10-16",15.84
"12","2020-10-19",15.97
"13","2020-10-20",15.54
"14","2020-10-21",15
"15","2020-10-22",15.28
"16","2020-10-23",15.51
"17","2020-10-26",16.4
"18","2020-10-27",17.82
"19","2020-10-28",17.77
"20","2020-10-29",16.709999
"21","2020-10-30",16.610001
"22","2020-11-02",17.110001
"23","2020-11-03",17.780001
"24","2020-11-04",20
"25","2020-11-05",20.25
"26","2020-11-06",20.219999
"27","2020-11-09",20.34
"28","2020-11-10",20.549999
"29","2020-11-11",21.280001
"30","2020-11-12",22
"31","2020-11-13",24.49
"32","2020-11-16",23.83
"33","2020-11-17",24.52
"34","2020-11-18",25.280001
"35","2020-11-19",26
"36","2020-11-20",25.889999
"37","2020-11-23",26
"38","2020-11-24",25.77
"39","2020-11-25",25.17
"40","2020-11-27",25.129999
