"","date","LEVI"
"1","2019-03-21",22.41
"2","2019-03-22",22.120001
"3","2019-03-25",21.77
"4","2019-03-26",22.08
"5","2019-03-27",22.299999
"6","2019-03-28",22.690001
"7","2019-03-29",23.549999
"8","2019-04-01",22.709999
"9","2019-04-02",23
"10","2019-04-03",21.780001
"11","2019-04-04",21.690001
"12","2019-04-05",21.690001
"13","2019-04-08",21.299999
"14","2019-04-09",21.879999
"15","2019-04-10",22.75
"16","2019-04-11",23.030001
"17","2019-04-12",22.450001
"18","2019-04-15",23.969999
"19","2019-04-16",23.91
"20","2019-04-17",23.450001
"21","2019-04-18",23.790001
"22","2019-04-22",22.82
"23","2019-04-23",22.190001
"24","2019-04-24",22.4
"25","2019-04-25",22.33
"26","2019-04-26",22.790001
"27","2019-04-29",23.190001
"28","2019-04-30",22.41
"29","2019-05-01",22.629999
"30","2019-05-02",22.92
"31","2019-05-03",22.610001
"32","2019-05-06",22.690001
"33","2019-05-07",22.83
"34","2019-05-08",22.6
"35","2019-05-09",22.48
"36","2019-05-10",22.379999
"37","2019-05-13",21.98
"38","2019-05-14",22.379999
"39","2019-05-15",22.1
"40","2019-05-16",21.969999
"41","2019-05-17",21.950001
"42","2019-05-20",22.02
"43","2019-05-21",22.25
"44","2019-05-22",22.4
"45","2019-05-23",22.139999
"46","2019-05-24",22.059999
"47","2019-05-28",21.99
"48","2019-05-29",21.280001
"49","2019-05-30",20.790001
"50","2019-05-31",19.42
"51","2019-06-03",20.629999
"52","2019-06-04",21.48
"53","2019-06-05",21.33
"54","2019-06-06",20.82
"55","2019-06-07",20.969999
"56","2019-06-10",21.65
"57","2019-06-11",20.91
"58","2019-06-12",20.629999
"59","2019-06-13",21.18
"60","2019-06-14",21.49
"61","2019-06-17",21.83
"62","2019-06-18",21.76
"63","2019-06-19",22.309999
"64","2019-06-20",21.780001
"65","2019-06-21",21.76
"66","2019-06-24",21.059999
"67","2019-06-25",20.75
"68","2019-06-26",20.709999
"69","2019-06-27",21.07
"70","2019-06-28",20.879999
"71","2019-07-01",21.25
"72","2019-07-02",21.360001
"73","2019-07-03",21.790001
"74","2019-07-05",22.27
"75","2019-07-08",23.190001
"76","2019-07-09",23.66
"77","2019-07-10",20.82
"78","2019-07-11",20.25
"79","2019-07-12",20.120001
"80","2019-07-15",20.120001
"81","2019-07-16",19.799999
"82","2019-07-17",18.889999
"83","2019-07-18",18.4
"84","2019-07-19",18.75
"85","2019-07-22",18.43
"86","2019-07-23",18.5
"87","2019-07-24",19.24
"88","2019-07-25",19.32
"89","2019-07-26",19.370001
"90","2019-07-29",19.290001
"91","2019-07-30",18.82
"92","2019-07-31",19.059999
"93","2019-08-01",18.309999
"94","2019-08-02",18.879999
"95","2019-08-05",18.639999
