"","date","LJPC"
"1","2012-02-22",10
"2","2012-02-23",9
"3","2012-02-24",15.5
"4","2012-02-27",31
"5","2012-02-28",6.5
"6","2012-02-29",2.5
"7","2012-03-01",2
"8","2012-03-02",2.5
"9","2012-03-05",2.5
"10","2012-03-06",2
"11","2012-03-07",2
"12","2012-03-08",2.5
"13","2012-03-09",2.5
"14","2012-03-12",2.5
"15","2012-03-13",2
"16","2012-03-14",3
"17","2012-03-15",3
"18","2012-03-16",3
"19","2012-03-19",3
"20","2012-03-20",3
"21","2012-03-21",2.5
"22","2012-03-22",3
"23","2012-03-23",3
"24","2012-03-26",2.5
"25","2012-03-27",2.5
"26","2012-03-28",2.5
"27","2012-03-29",2.5
"28","2012-03-30",2.5
"29","2012-04-02",2.5
"30","2012-04-03",2.5
"31","2012-04-04",2.5
"32","2012-04-05",3
"33","2012-04-09",3
"34","2012-04-10",3
"35","2012-04-11",3.5
"36","2012-04-12",4
"37","2012-04-13",4
"38","2012-04-16",4
"39","2012-04-17",4
"40","2012-04-18",4.5
"41","2012-04-19",4.5
"42","2012-04-20",4
"43","2012-04-23",3.5
"44","2012-04-24",3.5
"45","2012-04-25",3.5
"46","2012-04-26",3.5
"47","2012-04-27",3.5
"48","2012-04-30",3.5
"49","2012-05-01",3.5
"50","2012-05-02",3
"51","2012-05-03",3.5
"52","2012-05-04",3.5
"53","2012-05-07",3.5
"54","2012-05-08",3.5
"55","2012-05-09",3
"56","2012-05-10",3.5
"57","2012-05-11",3.5
"58","2012-05-14",3
"59","2012-05-15",3.5
"60","2012-05-16",3
"61","2012-05-17",2.5
"62","2012-05-18",3
"63","2012-05-21",3.5
"64","2012-05-22",3
"65","2012-05-23",3
"66","2012-05-24",3.5
"67","2012-05-25",3
"68","2012-05-29",2.5
"69","2012-05-30",3.5
"70","2012-05-31",3
"71","2012-06-01",2.5
"72","2012-06-04",3.5
"73","2012-06-05",3
"74","2012-06-06",3.5
"75","2012-06-07",3.5
"76","2012-06-08",3.5
"77","2012-06-11",3
"78","2012-06-12",3.5
"79","2012-06-13",3
"80","2012-06-14",3
"81","2012-06-15",3
"82","2012-06-18",3
"83","2012-06-19",3
"84","2012-06-20",3
"85","2012-06-21",3
"86","2012-06-22",3
"87","2012-06-25",2.5
"88","2012-06-26",3
"89","2012-06-27",2.5
"90","2012-06-28",3
"91","2012-06-29",3
"92","2012-07-02",3
"93","2012-07-03",2.5
"94","2012-07-05",2.5
"95","2012-07-06",2.5
"96","2012-07-09",3
"97","2012-07-10",3
"98","2012-07-11",3
"99","2012-07-12",3
"100","2012-07-13",3
"101","2012-07-16",3
"102","2012-07-17",3
"103","2012-07-18",3
"104","2012-07-19",3
"105","2012-07-20",3.5
"106","2012-07-23",3.5
"107","2012-07-24",4.5
"108","2012-07-25",4
"109","2012-07-26",3.5
"110","2012-07-27",4.5
"111","2012-07-30",4.5
"112","2012-07-31",4.5
"113","2012-08-01",5
"114","2012-08-02",5
"115","2012-08-03",5
"116","2012-08-06",5
"117","2012-08-07",5
"118","2012-08-08",5
"119","2012-08-09",4.5
"120","2012-08-10",4.5
"121","2012-08-13",4.5
"122","2012-08-14",4.5
"123","2012-08-15",3
"124","2012-08-16",3.5
"125","2012-08-17",3.5
"126","2012-08-20",3.5
"127","2012-08-21",3
"128","2012-08-22",3
"129","2012-08-23",2.5
"130","2012-08-24",2.5
"131","2012-08-27",3
"132","2012-08-28",3.5
"133","2012-08-29",3.5
"134","2012-08-30",4
"135","2012-08-31",3
"136","2012-09-04",3.5
"137","2012-09-05",3.5
"138","2012-09-06",3.5
"139","2012-09-07",3.5
"140","2012-09-10",3.5
"141","2012-09-11",3.5
"142","2012-09-12",3
"143","2012-09-13",3
"144","2012-09-14",4
"145","2012-09-17",3.5
"146","2012-09-18",3
"147","2012-09-19",4
"148","2012-09-20",3.5
"149","2012-09-21",3.5
"150","2012-09-24",3.5
"151","2012-09-25",3
"152","2012-09-26",3
"153","2012-09-27",3
"154","2012-09-28",3
"155","2012-10-01",3
"156","2012-10-02",3
"157","2012-10-03",3
"158","2012-10-04",3
"159","2012-10-05",3
"160","2012-10-08",3
"161","2012-10-09",3
"162","2012-10-10",3
"163","2012-10-11",3
"164","2012-10-12",3
"165","2012-10-15",3
"166","2012-10-16",3
"167","2012-10-17",3.5
"168","2012-10-18",3
"169","2012-10-19",3
"170","2012-10-22",3
"171","2012-10-23",3
"172","2012-10-24",3
"173","2012-10-25",3
"174","2012-10-26",3
"175","2012-10-31",3
"176","2012-11-01",3.5
"177","2012-11-02",3.5
"178","2012-11-05",3
"179","2012-11-06",2.5
"180","2012-11-07",3
"181","2012-11-08",3
"182","2012-11-09",3
"183","2012-11-12",3
"184","2012-11-13",3
"185","2012-11-14",2.5
"186","2012-11-15",2.5
"187","2012-11-16",3
"188","2012-11-19",2.5
"189","2012-11-20",2.5
"190","2012-11-21",2.5
"191","2012-11-23",2.5
"192","2012-11-26",3
"193","2012-11-27",2.5
"194","2012-11-28",2.5
"195","2012-11-29",2.5
"196","2012-11-30",3
"197","2012-12-03",3
"198","2012-12-04",3
"199","2012-12-05",3.5
"200","2012-12-06",3.5
"201","2012-12-07",3.5
"202","2012-12-10",2.5
"203","2012-12-11",2.5
"204","2012-12-12",3
"205","2012-12-13",3
"206","2012-12-14",3
"207","2012-12-17",2.5
"208","2012-12-18",3
"209","2012-12-19",3
"210","2012-12-20",3
"211","2012-12-21",3
"212","2012-12-24",3
"213","2012-12-26",3
"214","2012-12-27",3.5
"215","2012-12-28",3
"216","2012-12-31",3.5
"217","2013-01-02",3.5
"218","2013-01-03",3
"219","2013-01-04",3
"220","2013-01-07",3
"221","2013-01-08",4
"222","2013-01-09",4
"223","2013-01-10",3.5
"224","2013-01-11",3.5
"225","2013-01-14",4.5
"226","2013-01-15",4.5
"227","2013-01-16",5
"228","2013-01-17",4.5
"229","2013-01-18",4
"230","2013-01-22",4.5
"231","2013-01-23",4.5
"232","2013-01-24",5
"233","2013-01-25",4.5
"234","2013-01-28",4.5
"235","2013-01-29",4.5
"236","2013-01-30",4.5
"237","2013-01-31",5
"238","2013-02-01",5
"239","2013-02-04",4.5
"240","2013-02-05",4.5
"241","2013-02-06",4.5
"242","2013-02-07",4.5
"243","2013-02-08",4.5
"244","2013-02-11",4.5
"245","2013-02-12",4.5
"246","2013-02-13",4
"247","2013-02-14",4
"248","2013-02-15",4.5
"249","2013-02-19",4.5
"250","2013-02-20",4.5
"251","2013-02-21",4.5
"252","2013-02-22",4
"253","2013-02-25",4
"254","2013-02-26",4.5
"255","2013-02-27",5
"256","2013-02-28",4.5
"257","2013-03-01",4.5
"258","2013-03-04",4.5
"259","2013-03-05",4.5
"260","2013-03-06",4
"261","2013-03-07",5
"262","2013-03-08",5
"263","2013-03-11",4.5
"264","2013-03-12",4.5
"265","2013-03-13",4.5
"266","2013-03-14",4.5
"267","2013-03-15",4.5
"268","2013-03-18",4.5
"269","2013-03-19",4.5
"270","2013-03-20",4.5
"271","2013-03-21",5
"272","2013-03-22",4
"273","2013-03-25",5
"274","2013-03-26",4.5
"275","2013-03-27",4.5
"276","2013-03-28",4.5
"277","2013-04-01",4.5
"278","2013-04-02",5
"279","2013-04-03",4.5
"280","2013-04-04",4.5
"281","2013-04-05",4.5
"282","2013-04-08",4.5
"283","2013-04-09",4.5
"284","2013-04-10",4.5
"285","2013-04-11",4.5
"286","2013-04-12",4
"287","2013-04-15",4.5
"288","2013-04-16",4.5
"289","2013-04-17",4.5
"290","2013-04-18",4
"291","2013-04-19",4
"292","2013-04-22",3.5
"293","2013-04-23",3.5
"294","2013-04-24",4
"295","2013-04-25",4
"296","2013-04-26",4
"297","2013-04-29",4
"298","2013-04-30",3.5
"299","2013-05-01",4
"300","2013-05-02",3.5
"301","2013-05-03",4
"302","2013-05-06",4
"303","2013-05-07",3.5
"304","2013-05-08",3.5
"305","2013-05-09",4
"306","2013-05-10",4
"307","2013-05-13",4
"308","2013-05-14",4
"309","2013-05-15",3.5
"310","2013-05-16",4
"311","2013-05-17",4
"312","2013-05-20",4
"313","2013-05-21",4
"314","2013-05-22",4
"315","2013-05-23",4
"316","2013-05-24",4.5
"317","2013-05-28",4
"318","2013-05-29",3.5
"319","2013-05-30",4
"320","2013-05-31",4
"321","2013-06-03",4
"322","2013-06-04",4
"323","2013-06-05",4
"324","2013-06-06",4.5
"325","2013-06-07",4.5
"326","2013-06-10",4
"327","2013-06-11",4
"328","2013-06-12",3.5
"329","2013-06-13",3.5
"330","2013-06-14",3.5
"331","2013-06-17",3.5
"332","2013-06-18",4
"333","2013-06-19",4
"334","2013-06-20",3.5
"335","2013-06-21",3.5
"336","2013-06-24",3.5
"337","2013-06-25",4
"338","2013-06-26",4
"339","2013-06-27",4
"340","2013-06-28",4
"341","2013-07-01",3.5
"342","2013-07-02",4
"343","2013-07-03",4
"344","2013-07-05",4
"345","2013-07-08",4
"346","2013-07-09",4
"347","2013-07-10",4
"348","2013-07-11",3.5
"349","2013-07-12",4
"350","2013-07-15",3.5
"351","2013-07-16",3.5
"352","2013-07-17",3
"353","2013-07-18",3.5
"354","2013-07-19",3
"355","2013-07-22",3
"356","2013-07-23",3
"357","2013-07-24",3.5
"358","2013-07-25",3
"359","2013-07-26",3
"360","2013-07-29",3
"361","2013-07-30",3
"362","2013-07-31",3
"363","2013-08-01",3
"364","2013-08-02",3.5
"365","2013-08-05",3.5
"366","2013-08-06",3.5
"367","2013-08-07",3.5
"368","2013-08-08",3
"369","2013-08-09",3
"370","2013-08-12",3
"371","2013-08-13",3.5
"372","2013-08-14",3.5
"373","2013-08-15",3.5
"374","2013-08-16",3.5
"375","2013-08-19",3.5
"376","2013-08-20",3
"377","2013-08-21",3.5
"378","2013-08-22",3.5
"379","2013-08-23",3
"380","2013-08-26",3.5
"381","2013-08-27",3.5
"382","2013-08-28",3.5
"383","2013-08-29",3.5
"384","2013-08-30",3.5
"385","2013-09-03",3.5
"386","2013-09-04",3.5
"387","2013-09-05",3.5
"388","2013-09-06",4
"389","2013-09-09",4
"390","2013-09-10",3.5
"391","2013-09-11",4
"392","2013-09-12",4.5
"393","2013-09-13",4
"394","2013-09-16",4.5
"395","2013-09-17",4.5
"396","2013-09-18",4.5
"397","2013-09-19",4.5
"398","2013-09-20",4.5
"399","2013-09-23",4.5
"400","2013-09-24",4.5
"401","2013-09-25",4
"402","2013-09-26",4.5
"403","2013-09-27",4
"404","2013-09-30",6
"405","2013-10-01",8
"406","2013-10-02",8
"407","2013-10-03",9.5
"408","2013-10-04",9
"409","2013-10-07",8.5
"410","2013-10-08",9.5
"411","2013-10-09",9.5
"412","2013-10-10",9.5
"413","2013-10-11",9.5
"414","2013-10-14",9
"415","2013-10-15",9.5
"416","2013-10-16",9.5
"417","2013-10-17",9.5
"418","2013-10-18",9.5
"419","2013-10-21",12
"420","2013-10-22",10.5
"421","2013-10-23",9.5
"422","2013-10-24",9
"423","2013-10-25",9.5
"424","2013-10-28",9.5
"425","2013-10-29",9
"426","2013-10-30",9
"427","2013-10-31",9
"428","2013-11-01",9
"429","2013-11-04",9
"430","2013-11-05",8.5
"431","2013-11-06",8
"432","2013-11-07",9
"433","2013-11-08",9
"434","2013-11-11",9
"435","2013-11-12",9.5
"436","2013-11-13",9
"437","2013-11-14",9.5
"438","2013-11-15",9
"439","2013-11-18",9
"440","2013-11-19",9
"441","2013-11-20",6.5
"442","2013-11-21",6
"443","2013-11-22",7
"444","2013-11-25",7.5
"445","2013-11-26",7.5
"446","2013-11-27",7
"447","2013-11-29",7
"448","2013-12-02",7
"449","2013-12-03",7.5
"450","2013-12-04",7.5
"451","2013-12-05",7
"452","2013-12-06",7.5
"453","2013-12-09",6.5
"454","2013-12-10",6.5
"455","2013-12-11",6.5
"456","2013-12-12",7
"457","2013-12-13",7
"458","2013-12-16",7
"459","2013-12-17",7
"460","2013-12-18",7
"461","2013-12-19",7
"462","2013-12-20",7.5
"463","2013-12-23",7.5
"464","2013-12-24",7.5
"465","2013-12-26",8
"466","2013-12-27",8
"467","2013-12-30",7.5
"468","2013-12-31",8
"469","2014-01-02",8
"470","2014-01-03",8
"471","2014-01-06",7.5
"472","2014-01-07",8
"473","2014-01-08",7.5
"474","2014-01-09",7.5
"475","2014-01-10",7.5
"476","2014-01-13",8
"477","2014-01-14",8.3
"478","2014-01-15",8.69
"479","2014-01-16",9
"480","2014-01-17",8.8
"481","2014-01-21",8.75
"482","2014-01-22",8.48
"483","2014-01-23",8.54
