"","date","SVRA"
"1","2017-04-28",8.76
"2","2017-05-01",8.02
"3","2017-05-02",7.841
"4","2017-05-03",6.47
"5","2017-05-04",5.77
"6","2017-05-05",5.6
"7","2017-05-08",5.96
"8","2017-05-09",5.93
"9","2017-05-10",5.58
"10","2017-05-11",5.44
"11","2017-05-12",5.52
"12","2017-05-15",5.62
"13","2017-05-16",5.56
"14","2017-05-17",5.27
"15","2017-05-18",5.18
"16","2017-05-19",5.3
"17","2017-05-22",5.35
"18","2017-05-23",5.26
"19","2017-05-24",5.28
"20","2017-05-25",5.13
"21","2017-05-26",5.14
"22","2017-05-30",5
"23","2017-05-31",4.71
"24","2017-06-01",5.16
"25","2017-06-02",4.87
"26","2017-06-05",4.94
"27","2017-06-06",4.82
"28","2017-06-07",5.05
"29","2017-06-08",5.49
"30","2017-06-09",6.16
"31","2017-06-12",6.16
"32","2017-06-13",6.06
"33","2017-06-14",6.1
"34","2017-06-15",5.98
"35","2017-06-16",6
"36","2017-06-19",6
"37","2017-06-20",6.05
"38","2017-06-21",6.11
"39","2017-06-22",6.41
"40","2017-06-23",6.82
"41","2017-06-26",6.81
"42","2017-06-27",6.64
"43","2017-06-28",6.57
"44","2017-06-29",6.24
"45","2017-06-30",5.88
"46","2017-07-03",5.95
"47","2017-07-05",5.85
"48","2017-07-06",5.68
"49","2017-07-07",5.68
"50","2017-07-10",5.51
"51","2017-07-11",6.04
"52","2017-07-12",6.31
"53","2017-07-13",6.18
"54","2017-07-14",6.2
"55","2017-07-17",5.9
"56","2017-07-18",5.84
"57","2017-07-19",5.9
"58","2017-07-20",6.01
"59","2017-07-21",5.95
"60","2017-07-24",5.95
"61","2017-07-25",5.92
"62","2017-07-26",5.92
"63","2017-07-27",5.85
"64","2017-07-28",5.78
"65","2017-07-31",5.73
"66","2017-08-01",5.76
"67","2017-08-02",5.81
"68","2017-08-03",5.85
"69","2017-08-04",6.1
"70","2017-08-07",6.2
"71","2017-08-08",6
"72","2017-08-09",5.86
"73","2017-08-10",5.78
"74","2017-08-11",5.67
"75","2017-08-14",5.75
"76","2017-08-15",5.7
"77","2017-08-16",5.68
"78","2017-08-17",5.57
"79","2017-08-18",5.5
"80","2017-08-21",5.49
"81","2017-08-22",5.33
"82","2017-08-23",5.1
"83","2017-08-24",5.13
"84","2017-08-25",5.3
"85","2017-08-28",5.39
"86","2017-08-29",5.41
"87","2017-08-30",5.36
"88","2017-08-31",5.25
"89","2017-09-01",5.24
"90","2017-09-05",5.63
"91","2017-09-06",6.05
"92","2017-09-07",6.45
"93","2017-09-08",6.8
"94","2017-09-11",7.16
"95","2017-09-12",7.58
"96","2017-09-13",8.03
"97","2017-09-14",9.4
"98","2017-09-15",8.55
"99","2017-09-18",8.49
"100","2017-09-19",8.71
"101","2017-09-20",8.84
"102","2017-09-21",9.47
"103","2017-09-22",9.55
"104","2017-09-25",9.24
"105","2017-09-26",9.24
"106","2017-09-27",9.22
"107","2017-09-28",9.21
"108","2017-09-29",9.35
"109","2017-10-02",9.36
"110","2017-10-03",9.45
"111","2017-10-04",9.45
"112","2017-10-05",9.5
"113","2017-10-06",9.49
"114","2017-10-09",9.08
"115","2017-10-10",9.24
"116","2017-10-11",9.32
"117","2017-10-12",9.32
"118","2017-10-13",9.38
"119","2017-10-16",9.37
"120","2017-10-17",9.32
"121","2017-10-18",8.99
"122","2017-10-19",8.69
"123","2017-10-20",8.49
"124","2017-10-23",9.02
"125","2017-10-24",9.21
"126","2017-10-25",8.26
"127","2017-10-26",8.7
"128","2017-10-27",8.6
"129","2017-10-30",9.28
"130","2017-10-31",9.31
"131","2017-11-01",9.23
"132","2017-11-02",9.25
"133","2017-11-03",9.42
"134","2017-11-06",9.32
"135","2017-11-07",9.46
"136","2017-11-08",9.35
"137","2017-11-09",9.05
"138","2017-11-10",9.53
"139","2017-11-13",9.88
"140","2017-11-14",10.66
"141","2017-11-15",11.18
"142","2017-11-16",11.66
"143","2017-11-17",11.22
"144","2017-11-20",11.44
"145","2017-11-21",11.79
"146","2017-11-22",11.87
"147","2017-11-24",11.91
"148","2017-11-27",11.98
"149","2017-11-28",12.2
"150","2017-11-29",12.72
"151","2017-11-30",12.95
"152","2017-12-01",13.49
"153","2017-12-04",13.05
"154","2017-12-05",12.78
"155","2017-12-06",13.14
"156","2017-12-07",13.5
"157","2017-12-08",14.12
"158","2017-12-11",14.49
"159","2017-12-12",14.53
"160","2017-12-13",15.32
"161","2017-12-14",15.01
"162","2017-12-15",15.21
"163","2017-12-18",15.88
"164","2017-12-19",16.76
"165","2017-12-20",16.389999
"166","2017-12-21",16.18
"167","2017-12-22",16.299999
"168","2017-12-26",15.23
"169","2017-12-27",14.57
"170","2017-12-28",14.93
"171","2017-12-29",14.84
"172","2018-01-02",14.87
"173","2018-01-03",14.95
"174","2018-01-04",14.92
"175","2018-01-05",14.49
"176","2018-01-08",14.01
"177","2018-01-09",13.8
"178","2018-01-10",13.33
"179","2018-01-11",13.05
"180","2018-01-12",13.05
"181","2018-01-16",12.21
"182","2018-01-17",11.94
"183","2018-01-18",12.68
"184","2018-01-19",13
"185","2018-01-22",13.04
"186","2018-01-23",12.94
"187","2018-01-24",12.7
"188","2018-01-25",12.63
"189","2018-01-26",11.87
"190","2018-01-29",11.59
"191","2018-01-30",11.69
"192","2018-01-31",11.86
"193","2018-02-01",11.86
"194","2018-02-02",11.45
"195","2018-02-05",11.31
"196","2018-02-06",11.77
"197","2018-02-07",11.81
"198","2018-02-08",11.6
"199","2018-02-09",11.7
"200","2018-02-12",11.85
"201","2018-02-13",12.5
"202","2018-02-14",13.41
"203","2018-02-15",12.7
"204","2018-02-16",12.39
"205","2018-02-20",11.93
"206","2018-02-21",11.39
"207","2018-02-22",11.34
"208","2018-02-23",11.51
"209","2018-02-26",11.57
"210","2018-02-27",11.13
"211","2018-02-28",11.12
"212","2018-03-01",11.05
"213","2018-03-02",11.28
"214","2018-03-05",11.46
"215","2018-03-06",11.23
"216","2018-03-07",11.33
"217","2018-03-08",11.26
"218","2018-03-09",10.98
"219","2018-03-12",10.55
"220","2018-03-13",10.53
"221","2018-03-14",10.52
"222","2018-03-15",10.06
"223","2018-03-16",10.17
"224","2018-03-19",10.42
"225","2018-03-20",10.4
"226","2018-03-21",10.16
"227","2018-03-22",10.06
"228","2018-03-23",10.12
"229","2018-03-26",9.94
"230","2018-03-27",9.25
"231","2018-03-28",8.99
"232","2018-03-29",9.2
"233","2018-04-02",8.93
"234","2018-04-03",8.82
"235","2018-04-04",8.87
"236","2018-04-05",8.81
"237","2018-04-06",8.61
"238","2018-04-09",8.67
"239","2018-04-10",9.08
"240","2018-04-11",9.26
"241","2018-04-12",9.42
"242","2018-04-13",9.22
"243","2018-04-16",9.19
"244","2018-04-17",9.51
"245","2018-04-18",9.39
"246","2018-04-19",9.13
"247","2018-04-20",9.17
"248","2018-04-23",9.27
"249","2018-04-24",8.95
"250","2018-04-25",8.63
"251","2018-04-26",8.99
"252","2018-04-27",9.02
"253","2018-04-30",9.26
"254","2018-05-01",9.48
"255","2018-05-02",9.61
"256","2018-05-03",9.42
"257","2018-05-04",9.63
"258","2018-05-07",9.76
"259","2018-05-08",9.93
"260","2018-05-09",9.79
"261","2018-05-10",9.35
"262","2018-05-11",9.66
"263","2018-05-14",9.46
"264","2018-05-15",9.5
"265","2018-05-16",9.41
"266","2018-05-17",9.35
"267","2018-05-18",9.13
"268","2018-05-21",8.93
"269","2018-05-22",8.8
"270","2018-05-23",8.56
"271","2018-05-24",8.55
"272","2018-05-25",8.88
