"","date","VRTS"
"1","2009-01-02",10.5
"2","2009-01-05",8.81
"3","2009-01-06",11.89
"4","2009-01-07",10.24
"5","2009-01-08",9.91
"6","2009-01-09",9.13
"7","2009-01-12",7.67
"8","2009-01-13",7.18
"9","2009-01-14",6.71
"10","2009-01-15",7.25
"11","2009-01-16",7.39
"12","2009-01-20",6.92
"13","2009-01-21",6.95
"14","2009-01-22",6.02
"15","2009-01-23",5.95
"16","2009-01-26",6
"17","2009-01-27",6
"18","2009-01-28",6.35
"19","2009-01-29",5.76
"20","2009-01-30",6.06
"21","2009-02-02",5.9
"22","2009-02-03",5.8
"23","2009-02-04",5.75
"24","2009-02-05",5.82
"25","2009-02-06",5.83
"26","2009-02-09",5.64
"27","2009-02-10",5.53
"28","2009-02-11",5.53
"29","2009-02-12",6.36
"30","2009-02-13",5.9
"31","2009-02-17",5.64
"32","2009-02-18",5.46
"33","2009-02-19",5.25
"34","2009-02-20",5.31
"35","2009-02-23",4.73
"36","2009-02-24",5.22
"37","2009-02-25",4.86
"38","2009-02-26",5
"39","2009-02-27",5
"40","2009-03-02",4.28
"41","2009-03-03",4.06
"42","2009-03-04",4.04
"43","2009-03-05",4.06
"44","2009-03-06",4.69
"45","2009-03-09",4.62
"46","2009-03-10",4.73
"47","2009-03-11",4.99
"48","2009-03-12",5.99
"49","2009-03-13",5.75
"50","2009-03-16",5.95
"51","2009-03-17",6.63
"52","2009-03-18",6.91
"53","2009-03-19",6.75
"54","2009-03-20",5.96
"55","2009-03-23",6.25
"56","2009-03-24",6.64
"57","2009-03-25",6.91
"58","2009-03-26",7.15
"59","2009-03-27",6.74
"60","2009-03-30",6.12
"61","2009-03-31",6.51
"62","2009-04-01",6.43
"63","2009-04-02",6.4
"64","2009-04-03",6.49
"65","2009-04-06",6.44
"66","2009-04-07",6.28
"67","2009-04-08",6.48
"68","2009-04-09",7.58
"69","2009-04-13",7.36
"70","2009-04-14",7
"71","2009-04-15",7.79
"72","2009-04-16",8.01
"73","2009-04-17",8.99
"74","2009-04-20",9.4
"75","2009-04-21",9.6
"76","2009-04-22",9.99
"77","2009-04-23",9.65
"78","2009-04-24",9.35
"79","2009-04-27",9.56
"80","2009-04-28",9.3
"81","2009-04-29",10.45
"82","2009-04-30",11.35
"83","2009-05-01",11.44
"84","2009-05-04",11.25
"85","2009-05-05",10.84
"86","2009-05-06",10.94
"87","2009-05-07",11.6
"88","2009-05-08",13.88
"89","2009-05-11",13.99
"90","2009-05-12",14.12
"91","2009-05-13",13.75
"92","2009-05-14",13.98
"93","2009-05-15",13.38
"94","2009-05-18",14.46
"95","2009-05-19",15.64
"96","2009-05-20",15.87
"97","2009-05-21",15.45
"98","2009-05-22",15.15
"99","2009-05-26",15.44
"100","2009-05-27",15.71
"101","2009-05-28",15.31
"102","2009-05-29",14.8
"103","2009-06-01",15.96
"104","2009-06-02",16.4
"105","2009-06-03",16.4
"106","2009-06-04",16.549999
"107","2009-06-05",16.43
"108","2009-06-08",16.200001
"109","2009-06-09",15.76
"110","2009-06-10",15.22
"111","2009-06-11",15.48
"112","2009-06-12",15.67
"113","2009-06-15",15.28
"114","2009-06-16",14.84
"115","2009-06-17",14.56
"116","2009-06-18",14.75
"117","2009-06-19",14.07
"118","2009-06-22",13.19
"119","2009-06-23",13.15
"120","2009-06-24",13.56
"121","2009-06-25",13.9
"122","2009-06-26",15.25
"123","2009-06-29",14.83
"124","2009-06-30",14.69
