"","date","PRO"
"1","2007-07-26",12.52
"2","2007-07-27",12.48
"3","2007-07-30",12.78
"4","2007-07-31",12.5
"5","2007-08-01",12.37
"6","2007-08-02",12.51
"7","2007-08-03",11.9
"8","2007-08-06",10.9
"9","2007-08-07",11.92
"10","2007-08-08",12.72
"11","2007-08-09",12.28
"12","2007-08-10",12.1
"13","2007-08-13",11.8
"14","2007-08-14",11.5
"15","2007-08-15",11.55
"16","2007-08-16",11.5
"17","2007-08-17",11.89
"18","2007-08-20",11.84
"19","2007-08-21",12
"20","2007-08-22",12.43
"21","2007-08-23",13.05
"22","2007-08-24",13.53
"23","2007-08-27",13.35
"24","2007-08-28",13.63
"25","2007-08-29",13.37
"26","2007-08-30",13.4
"27","2007-08-31",13.35
"28","2007-09-04",13.71
"29","2007-09-05",14.08
"30","2007-09-06",14.38
"31","2007-09-07",13.94
"32","2007-09-10",13.81
"33","2007-09-11",13.5
"34","2007-09-12",13.2
"35","2007-09-13",13.21
"36","2007-09-14",13.15
"37","2007-09-17",12.25
"38","2007-09-18",12.37
"39","2007-09-19",12.44
"40","2007-09-20",12.26
"41","2007-09-21",12.7
"42","2007-09-24",12.51
"43","2007-09-25",12.51
"44","2007-09-26",12.81
"45","2007-09-27",12.07
"46","2007-09-28",12.07
"47","2007-10-01",12.29
"48","2007-10-02",12.94
"49","2007-10-03",13.28
"50","2007-10-04",13.46
"51","2007-10-05",13.78
"52","2007-10-08",14.21
"53","2007-10-09",13.88
"54","2007-10-10",13.92
"55","2007-10-11",13.93
"56","2007-10-12",13.51
"57","2007-10-15",14.06
"58","2007-10-16",13.85
"59","2007-10-17",13.89
"60","2007-10-18",13.57
"61","2007-10-19",13.31
"62","2007-10-22",13.09
"63","2007-10-23",13.91
"64","2007-10-24",13.41
"65","2007-10-25",13.37
"66","2007-10-26",13.78
"67","2007-10-29",15.01
"68","2007-10-30",16.1
"69","2007-10-31",17.98
"70","2007-11-01",18
"71","2007-11-02",17.85
"72","2007-11-05",17.790001
"73","2007-11-06",18.780001
"74","2007-11-07",17.870001
"75","2007-11-08",18.290001
"76","2007-11-09",18.379999
"77","2007-11-12",18.27
"78","2007-11-13",18.07
"79","2007-11-14",18.200001
"80","2007-11-15",16.73
"81","2007-11-16",16.780001
"82","2007-11-19",17.290001
"83","2007-11-20",17.059999
"84","2007-11-21",16.370001
"85","2007-11-23",16.68
"86","2007-11-26",16.73
"87","2007-11-27",16.190001
"88","2007-11-28",16.98
"89","2007-11-29",16.93
"90","2007-11-30",17.200001
"91","2007-12-03",17.309999
"92","2007-12-04",17.219999
"93","2007-12-05",16.9
"94","2007-12-06",16
"95","2007-12-07",16.6
"96","2007-12-10",16.6
"97","2007-12-11",16.030001
"98","2007-12-12",16.08
"99","2007-12-13",16.030001
"100","2007-12-14",17.030001
"101","2007-12-17",17.1
"102","2007-12-18",17.190001
"103","2007-12-19",18.5
"104","2007-12-20",17.57
"105","2007-12-21",19.01
"106","2007-12-24",19.27
"107","2007-12-26",20
"108","2007-12-27",19.92
"109","2007-12-28",19.450001
"110","2007-12-31",19.620001
"111","2008-01-02",18.780001
"112","2008-01-03",17.549999
"113","2008-01-04",15.78
"114","2008-01-07",14.53
"115","2008-01-08",16.299999
"116","2008-01-09",17
"117","2008-01-10",16.99
"118","2008-01-11",16.85
"119","2008-01-14",16.700001
"120","2008-01-15",15.52
"121","2008-01-16",15.02
"122","2008-01-17",15.15
"123","2008-01-18",14.93
"124","2008-01-22",14.82
"125","2008-01-23",15.35
"126","2008-01-24",15.16
"127","2008-01-25",15.25
"128","2008-01-28",15.66
"129","2008-01-29",15.86
"130","2008-01-30",15.58
"131","2008-01-31",15.35
"132","2008-02-01",15.02
"133","2008-02-04",14.95
"134","2008-02-05",15.15
"135","2008-02-06",15.52
"136","2008-02-07",17.07
"137","2008-02-08",16.99
"138","2008-02-11",16.24
"139","2008-02-12",14.93
"140","2008-02-13",15
"141","2008-02-14",14.93
"142","2008-02-15",15.06
"143","2008-02-19",15.1
"144","2008-02-20",14.75
"145","2008-02-21",14.73
"146","2008-02-22",14.05
"147","2008-02-25",14.47
"148","2008-02-26",14.58
"149","2008-02-27",14.44
"150","2008-02-28",12.9
"151","2008-02-29",12.93
"152","2008-03-03",13.33
"153","2008-03-04",13.23
"154","2008-03-05",13.66
"155","2008-03-06",13.02
"156","2008-03-07",13.02
"157","2008-03-10",14
"158","2008-03-11",14.84
"159","2008-03-12",15.06
"160","2008-03-13",14.92
"161","2008-03-14",14.15
"162","2008-03-17",12.55
"163","2008-03-18",12.51
"164","2008-03-19",12
"165","2008-03-20",12.96
"166","2008-03-24",13.67
"167","2008-03-25",13.4
"168","2008-03-26",13.82
"169","2008-03-27",13.08
"170","2008-03-28",12.6
"171","2008-03-31",12.55
"172","2008-04-01",12.72
"173","2008-04-02",12.4
"174","2008-04-03",12.24
"175","2008-04-04",12.12
"176","2008-04-07",11.44
"177","2008-04-08",10.64
"178","2008-04-09",10.02
"179","2008-04-10",10.36
"180","2008-04-11",9.66
"181","2008-04-14",9.8
"182","2008-04-15",9.87
"183","2008-04-16",10.63
"184","2008-04-17",10.6
"185","2008-04-18",10.57
"186","2008-04-21",10.73
"187","2008-04-22",10.75
"188","2008-04-23",11.01
"189","2008-04-24",11.22
"190","2008-04-25",11.31
"191","2008-04-28",11.5
"192","2008-04-29",11.71
"193","2008-04-30",11.68
"194","2008-05-01",12.09
"195","2008-05-02",12.24
"196","2008-05-05",12.07
"197","2008-05-06",12.62
"198","2008-05-07",12.74
"199","2008-05-08",12.47
"200","2008-05-09",12.83
"201","2008-05-12",12.99
"202","2008-05-13",12.53
"203","2008-05-14",12.72
"204","2008-05-15",12.94
"205","2008-05-16",12.73
"206","2008-05-19",12.55
"207","2008-05-20",12.41
"208","2008-05-21",12.26
"209","2008-05-22",12.16
"210","2008-05-23",12.52
"211","2008-05-27",13
"212","2008-05-28",11.81
"213","2008-05-29",11.7
"214","2008-05-30",11.66
"215","2008-06-02",11.67
"216","2008-06-03",11.76
"217","2008-06-04",12
"218","2008-06-05",12.01
"219","2008-06-06",11.75
"220","2008-06-09",11.57
"221","2008-06-10",11.04
"222","2008-06-11",10.76
"223","2008-06-12",10.7
"224","2008-06-13",11.2
"225","2008-06-16",11.52
"226","2008-06-17",12
"227","2008-06-18",12.2
"228","2008-06-19",12.13
"229","2008-06-20",12.17
"230","2008-06-23",12.38
"231","2008-06-24",12.19
"232","2008-06-25",12.21
"233","2008-06-26",12.05
"234","2008-06-27",11.99
"235","2008-06-30",11.23
"236","2008-07-01",10.79
"237","2008-07-02",10.42
"238","2008-07-03",10.1
"239","2008-07-07",9.86
"240","2008-07-08",10.81
"241","2008-07-09",10.53
"242","2008-07-10",10.8
"243","2008-07-11",10.85
"244","2008-07-14",10.7
"245","2008-07-15",10.93
"246","2008-07-16",11.32
"247","2008-07-17",11.65
"248","2008-07-18",12.26
"249","2008-07-21",12.25
"250","2008-07-22",12
"251","2008-07-23",11.9
"252","2008-07-24",11.64
"253","2008-07-25",12
"254","2008-07-28",11.35
"255","2008-07-29",11.24
"256","2008-07-30",10.75
