"","date","NEXA"
"1","2017-10-27",17.4
"2","2017-10-30",18.049999
"3","2017-10-31",18.17
"4","2017-11-01",18.110001
"5","2017-11-02",18.110001
"6","2017-11-03",18.1
"7","2017-11-06",18.02
"8","2017-11-07",17.700001
"9","2017-11-08",17.57
"10","2017-11-09",17.17
"11","2017-11-10",17.08
"12","2017-11-13",16.57
"13","2017-11-14",16
"14","2017-11-15",15.8
"15","2017-11-16",15.64
"16","2017-11-17",15.84
"17","2017-11-20",16.01
"18","2017-11-21",16.200001
"19","2017-11-22",16.280001
"20","2017-11-24",16.629999
"21","2017-11-27",16.27
"22","2017-11-28",16.969999
"23","2017-11-29",16.620001
"24","2017-11-30",17.4
"25","2017-12-01",17.25
"26","2017-12-04",17.18
"27","2017-12-05",17
"28","2017-12-06",16.57
"29","2017-12-07",16.58
"30","2017-12-08",16.440001
"31","2017-12-11",16.799999
"32","2017-12-12",16.879999
"33","2017-12-13",16.67
"34","2017-12-14",16.709999
"35","2017-12-15",16.9
"36","2017-12-18",17.33
"37","2017-12-19",17.32
"38","2017-12-20",17.85
"39","2017-12-21",18.559999
"40","2017-12-22",19.01
"41","2017-12-26",19.41
"42","2017-12-27",19.110001
"43","2017-12-28",19.530001
"44","2017-12-29",19.610001
"45","2018-01-02",20.030001
"46","2018-01-03",20.1
"47","2018-01-04",20
"48","2018-01-05",19.9
"49","2018-01-08",20
"50","2018-01-09",19.950001
"51","2018-01-10",20.25
"52","2018-01-11",20
"53","2018-01-12",20.25
"54","2018-01-16",20.41
"55","2018-01-17",20.290001
"56","2018-01-18",20.25
"57","2018-01-19",20.110001
"58","2018-01-22",20.209999
"59","2018-01-23",20.1
"60","2018-01-24",20.700001
"61","2018-01-25",20.459999
"62","2018-01-26",20.74
"63","2018-01-29",21.059999
"64","2018-01-30",20.65
"65","2018-01-31",20.700001
"66","2018-02-01",20.85
"67","2018-02-02",19.65
"68","2018-02-05",19.42
"69","2018-02-06",19.67
"70","2018-02-07",19.030001
"71","2018-02-08",18.58
"72","2018-02-09",18.27
"73","2018-02-12",18.389999
"74","2018-02-13",18.549999
"75","2018-02-14",18.98
"76","2018-02-15",19.26
"77","2018-02-16",19.9
"78","2018-02-20",20.549999
"79","2018-02-21",19.99
"80","2018-02-22",19.950001
"81","2018-02-23",19.43
"82","2018-02-26",19.799999
"83","2018-02-27",19.91
"84","2018-02-28",20.5
"85","2018-03-01",20.67
"86","2018-03-02",20.469999
"87","2018-03-05",19.959999
"88","2018-03-06",20.209999
"89","2018-03-07",20.1
"90","2018-03-08",19.92
"91","2018-03-09",19.93
"92","2018-03-12",19.860001
"93","2018-03-13",19
"94","2018-03-14",19.370001
"95","2018-03-15",19.48
"96","2018-03-16",19.85
"97","2018-03-19",19.18
"98","2018-03-20",18.799999
"99","2018-03-21",18.98
"100","2018-03-22",18.280001
"101","2018-03-23",17.6
"102","2018-03-26",17.93
"103","2018-03-27",17.780001
"104","2018-03-28",17.110001
"105","2018-03-29",17.51
"106","2018-04-02",17.389999
"107","2018-04-03",17.370001
"108","2018-04-04",17.35
"109","2018-04-05",17.07
"110","2018-04-06",17.25
"111","2018-04-09",17.200001
"112","2018-04-10",17.4
"113","2018-04-11",17.01
"114","2018-04-12",16.67
"115","2018-04-13",17.299999
"116","2018-04-16",17.25
"117","2018-04-17",17.4
"118","2018-04-18",17.709999
"119","2018-04-19",17.98
"120","2018-04-20",17.879999
"121","2018-04-23",17.360001
"122","2018-04-24",17.24
"123","2018-04-25",17.17
"124","2018-04-26",17.700001
"125","2018-04-27",17.83
