"","date","EBON"
"1","2020-06-26",5
"2","2020-06-29",4.5
"3","2020-06-30",4.73
"4","2020-07-01",3.97
"5","2020-07-02",4.37
"6","2020-07-06",4.24
"7","2020-07-07",4.11
"8","2020-07-08",4.21
"9","2020-07-09",4.15
"10","2020-07-10",4.2
"11","2020-07-13",4.59
"12","2020-07-14",4.75
"13","2020-07-15",5.5
"14","2020-07-16",5.06
"15","2020-07-17",4.86
"16","2020-07-20",4.44
"17","2020-07-21",4.5
"18","2020-07-22",4.41
"19","2020-07-23",4.39
"20","2020-07-24",4.2
"21","2020-07-27",4.79
"22","2020-07-28",4.66
"23","2020-07-29",4.8
"24","2020-07-30",4.57
"25","2020-07-31",4.57
"26","2020-08-03",4.88
"27","2020-08-04",4.57
"28","2020-08-05",4.67
"29","2020-08-06",4.83
"30","2020-08-07",4.82
"31","2020-08-10",4.78
"32","2020-08-11",4.71
"33","2020-08-12",4.62
"34","2020-08-13",4.74
"35","2020-08-14",6.72
"36","2020-08-17",6.32
"37","2020-08-18",6.06
"38","2020-08-19",5.77
"39","2020-08-20",5.83
"40","2020-08-21",5.81
"41","2020-08-24",5.83
"42","2020-08-25",5.98
"43","2020-08-26",6.23
"44","2020-08-27",6.15
"45","2020-08-28",6.28
"46","2020-08-31",6.1
"47","2020-09-01",6
"48","2020-09-02",6.05
"49","2020-09-03",6.97
"50","2020-09-04",7.44
"51","2020-09-08",7.07
"52","2020-09-09",7.4
"53","2020-09-10",7.82
"54","2020-09-11",7.71
"55","2020-09-14",7.91
"56","2020-09-15",7.86
"57","2020-09-16",7.99
"58","2020-09-17",10.59
"59","2020-09-18",9.85
"60","2020-09-21",9.87
"61","2020-09-22",9.63
"62","2020-09-23",9.96
"63","2020-09-24",9.61
"64","2020-09-25",9.85
"65","2020-09-28",9.8
"66","2020-09-29",10.38
"67","2020-09-30",10.43
"68","2020-10-01",10.56
"69","2020-10-02",9.38
"70","2020-10-05",9.2
"71","2020-10-06",9.42
"72","2020-10-07",9.62
"73","2020-10-08",9.73
"74","2020-10-09",9.76
"75","2020-10-12",9.2
"76","2020-10-13",10.22
"77","2020-10-14",9.85
"78","2020-10-15",9.32
"79","2020-10-16",9.34
"80","2020-10-19",9.2
"81","2020-10-20",9.04
"82","2020-10-21",9.14
"83","2020-10-22",9.77
"84","2020-10-23",9.23
"85","2020-10-26",9.31
"86","2020-10-27",9.16
"87","2020-10-28",9.24
"88","2020-10-29",8.99
"89","2020-10-30",8.96
"90","2020-11-02",8.74
"91","2020-11-03",8.47
"92","2020-11-04",8.22
"93","2020-11-05",8.25
"94","2020-11-06",8.21
"95","2020-11-09",8.11
"96","2020-11-10",7.23
"97","2020-11-11",7.94
"98","2020-11-12",7.3
"99","2020-11-13",7.36
"100","2020-11-16",7.59
"101","2020-11-17",7.53
"102","2020-11-18",7.22
"103","2020-11-19",5.34
"104","2020-11-20",5.2
"105","2020-11-23",5.25
"106","2020-11-24",4.92
"107","2020-11-25",5.15
"108","2020-11-27",4.79
