"","date","FBNC"
"1","2007-01-03",22.5
"2","2007-01-04",22.42
"3","2007-01-05",21.629999
"4","2007-01-08",21.6
"5","2007-01-09",21.84
"6","2007-01-10",21.73
"7","2007-01-11",22.219999
"8","2007-01-12",22.16
"9","2007-01-16",22.01
"10","2007-01-17",21.84
"11","2007-01-18",21.799999
"12","2007-01-19",21.200001
"13","2007-01-22",21.84
"14","2007-01-23",22.280001
"15","2007-01-24",22.5
"16","2007-01-25",21.75
"17","2007-01-26",22.09
"18","2007-01-29",22.5
"19","2007-01-30",24.25
"20","2007-01-31",25.5
"21","2007-02-01",24.59
"22","2007-02-02",24.940001
"23","2007-02-05",24.02
"24","2007-02-06",23.950001
"25","2007-02-07",24.379999
"26","2007-02-08",24.6
"27","2007-02-09",24.290001
"28","2007-02-12",23.969999
"29","2007-02-13",24.27
"30","2007-02-14",23.84
"31","2007-02-15",23.5
"32","2007-02-16",23.219999
"33","2007-02-20",23.49
"34","2007-02-21",23.620001
"35","2007-02-22",23.93
"36","2007-02-23",23.799999
"37","2007-02-26",23.610001
"38","2007-02-27",22.17
"39","2007-02-28",22.209999
"40","2007-03-01",22.26
"41","2007-03-02",21.870001
"42","2007-03-05",21.360001
"43","2007-03-06",22.200001
"44","2007-03-07",21.549999
"45","2007-03-08",21.59
"46","2007-03-09",21.84
"47","2007-03-12",22.01
"48","2007-03-13",21.24
"49","2007-03-14",21.33
"50","2007-03-15",21.49
"51","2007-03-16",21.200001
"52","2007-03-19",21.700001
"53","2007-03-20",21.84
"54","2007-03-21",22.379999
"55","2007-03-22",22.65
"56","2007-03-23",22.66
"57","2007-03-26",22.18
"58","2007-03-27",21.889999
"59","2007-03-28",21.27
"60","2007-03-29",21.42
"61","2007-03-30",21.379999
"62","2007-04-02",20.98
"63","2007-04-03",21.41
"64","2007-04-04",21.4
"65","2007-04-05",21.42
"66","2007-04-09",20.77
"67","2007-04-10",21.01
"68","2007-04-11",20.799999
"69","2007-04-12",21.030001
