"","date","BBL"
"1","2007-01-03",36.16
"2","2007-01-04",34.900002
"3","2007-01-05",34.549999
"4","2007-01-08",34.709999
"5","2007-01-09",35.080002
"6","2007-01-10",35
"7","2007-01-11",36.400002
"8","2007-01-12",36.66
"9","2007-01-16",35.580002
"10","2007-01-17",35.34
"11","2007-01-18",35.529999
"12","2007-01-19",36.66
"13","2007-01-22",36.470001
"14","2007-01-23",37.700001
"15","2007-01-24",38.459999
"16","2007-01-25",37.509998
"17","2007-01-26",37.25
"18","2007-01-29",37
"19","2007-01-30",37.77
"20","2007-01-31",37.970001
"21","2007-02-01",38.709999
"22","2007-02-02",38.57
"23","2007-02-05",38.509998
"24","2007-02-06",39.18
"25","2007-02-07",41.119999
"26","2007-02-08",40.669998
"27","2007-02-09",40.52
"28","2007-02-12",41.18
"29","2007-02-13",42.240002
"30","2007-02-14",43.02
"31","2007-02-15",43.029999
"32","2007-02-16",42.91
"33","2007-02-20",43
"34","2007-02-21",42.669998
"35","2007-02-22",43.400002
"36","2007-02-23",43.720001
"37","2007-02-26",43.970001
"38","2007-02-27",41.049999
"39","2007-02-28",40.450001
"40","2007-03-01",39.84
"41","2007-03-02",38.77
"42","2007-03-05",37.82
"43","2007-03-06",39.43
"44","2007-03-07",39.639999
"45","2007-03-08",39.900002
"46","2007-03-09",40
"47","2007-03-12",40.639999
"48","2007-03-13",39.459999
"49","2007-03-14",39.259998
"50","2007-03-15",40.639999
"51","2007-03-16",40.779999
"52","2007-03-19",41.889999
"53","2007-03-20",42.650002
"54","2007-03-21",43.57
"55","2007-03-22",43.389999
"56","2007-03-23",44.150002
"57","2007-03-26",44.790001
"58","2007-03-27",44.48
"59","2007-03-28",43.75
"60","2007-03-29",44.82
"61","2007-03-30",44.650002
"62","2007-04-02",45
"63","2007-04-03",46.049999
"64","2007-04-04",46.060001
"65","2007-04-05",45.77
"66","2007-04-09",46.040001
"67","2007-04-10",47.029999
"68","2007-04-11",46.290001
"69","2007-04-12",46.650002
"70","2007-04-13",46.529999
"71","2007-04-16",47.540001
"72","2007-04-17",47.380001
"73","2007-04-18",46.380001
"74","2007-04-19",45.759998
"75","2007-04-20",46.669998
"76","2007-04-23",46.330002
"77","2007-04-24",45.599998
"78","2007-04-25",46.91
"79","2007-04-26",45.959999
"80","2007-04-27",45.68
"81","2007-04-30",45.48
"82","2007-05-01",45.099998
"83","2007-05-02",46.189999
"84","2007-05-03",46.740002
"85","2007-05-04",48.549999
"86","2007-05-07",49.470001
"87","2007-05-08",47.900002
"88","2007-05-09",50.330002
"89","2007-05-10",48.049999
"90","2007-05-11",48.830002
"91","2007-05-14",47.830002
