"","date","SAQN"
"1","2020-01-08",10
"2","2020-01-09",9.9
"3","2020-01-10",9.9
"4","2020-01-13",9.94
"5","2020-01-14",9.94
"6","2020-01-15",9.94
"7","2020-01-16",9.94
"8","2020-01-17",9.875
"9","2020-01-21",9.875
"10","2020-01-22",9.875
"11","2020-01-23",9.94
"12","2020-01-24",9.94
"13","2020-01-27",9.88
"14","2020-01-28",9.9
"15","2020-01-29",9.9
"16","2020-01-30",9.9
"17","2020-01-31",9.9
"18","2020-02-03",9.91
"19","2020-02-04",9.92
"20","2020-02-05",9.92
"21","2020-02-06",9.935
"22","2020-02-07",9.94
"23","2020-02-10",9.967
"24","2020-02-11",9.984
"25","2020-02-12",9.984
"26","2020-02-13",9.984
"27","2020-02-14",9.984
"28","2020-02-18",9.984
"29","2020-02-19",9.984
"30","2020-02-20",9.96
"31","2020-02-21",9.94
"32","2020-02-24",9.93
"33","2020-02-25",9.93
"34","2020-02-26",9.93
"35","2020-02-27",9.92
"36","2020-02-28",9.9
"37","2020-03-02",10
"38","2020-03-03",9.9
"39","2020-03-04",9.9
"40","2020-03-05",9.95
"41","2020-03-06",9.984
"42","2020-03-09",9.702
"43","2020-03-10",9.9
"44","2020-03-11",9.9
"45","2020-03-12",9.75
"46","2020-03-13",9.72
"47","2020-03-16",9.72
"48","2020-03-17",9.6
"49","2020-03-18",9.65
"50","2020-03-19",9.65
"51","2020-03-20",9.65
"52","2020-03-23",9.49
"53","2020-03-24",9.51
"54","2020-03-25",9.51
"55","2020-03-26",9.625
"56","2020-03-27",9.95
"57","2020-03-30",9.95
"58","2020-03-31",9.81
"59","2020-04-01",9.8
"60","2020-04-02",9.8
"61","2020-04-03",9.68
"62","2020-04-06",9.725
"63","2020-04-07",9.725
"64","2020-04-08",9.73
"65","2020-04-09",9.73
"66","2020-04-13",9.75
"67","2020-04-14",9.75
"68","2020-04-15",9.75
"69","2020-04-16",9.75
"70","2020-04-17",9.78
"71","2020-04-20",9.76
"72","2020-04-21",9.76
"73","2020-04-22",9.85
"74","2020-04-23",9.8
"75","2020-04-24",9.95
"76","2020-04-27",9.95
"77","2020-04-28",9.95
"78","2020-04-29",9.95
"79","2020-04-30",9.95
"80","2020-05-01",9.8
"81","2020-05-04",9.8
"82","2020-05-05",9.78
"83","2020-05-06",9.75
"84","2020-05-07",9.75
"85","2020-05-08",9.75
"86","2020-05-11",9.75
"87","2020-05-12",9.75
"88","2020-05-13",9.69
"89","2020-05-14",9.7
"90","2020-05-15",9.8
"91","2020-05-18",9.8
"92","2020-05-19",9.8
"93","2020-05-20",9.8
"94","2020-05-21",9.789
"95","2020-05-22",9.789
"96","2020-05-26",9.8
"97","2020-05-27",9.8
"98","2020-05-28",9.8
"99","2020-05-29",9.78
"100","2020-06-01",9.78
"101","2020-06-02",9.8
"102","2020-06-03",9.75
"103","2020-06-04",9.75
"104","2020-06-05",9.75
"105","2020-06-08",9.75
"106","2020-06-09",9.95
"107","2020-06-10",9.86
"108","2020-06-11",9.85
"109","2020-06-12",9.855
"110","2020-06-15",9.855
"111","2020-06-16",9.9
"112","2020-06-17",9.9
"113","2020-06-18",9.901
"114","2020-06-19",9.9
"115","2020-06-22",9.95
"116","2020-06-23",10
"117","2020-06-24",9.99
"118","2020-06-25",9.99
"119","2020-06-26",10
"120","2020-06-29",10.02
"121","2020-06-30",10.05
"122","2020-07-01",10.02
"123","2020-07-02",9.98
"124","2020-07-06",10.07
"125","2020-07-07",10.048
"126","2020-07-08",10.048
"127","2020-07-09",10.048
"128","2020-07-10",10.03
"129","2020-07-13",10.07
"130","2020-07-14",10.15
"131","2020-07-15",10.15
"132","2020-07-16",10.15
"133","2020-07-17",10.15
"134","2020-07-20",10.16
"135","2020-07-21",10.28
"136","2020-07-22",10.44
"137","2020-07-23",10.4
"138","2020-07-24",10.22
"139","2020-07-27",10.4
"140","2020-07-28",10.4
"141","2020-07-29",10.35
"142","2020-07-30",10.23
"143","2020-07-31",10.1
"144","2020-08-03",10.11
"145","2020-08-04",10.23
"146","2020-08-05",10.23
"147","2020-08-06",10.23
"148","2020-08-07",10.13
"149","2020-08-10",10.13
"150","2020-08-11",10.09
"151","2020-08-12",10.08
"152","2020-08-13",10.07
"153","2020-08-14",10.05
"154","2020-08-17",10.06
"155","2020-08-18",10.02
"156","2020-08-19",10
"157","2020-08-20",9.98
"158","2020-08-21",9.98
"159","2020-08-24",10.01
"160","2020-08-25",10.01
"161","2020-08-26",9.99
"162","2020-08-27",9.997
"163","2020-08-28",9.985
"164","2020-08-31",9.95
"165","2020-09-01",9.95
"166","2020-09-02",10
"167","2020-09-03",10.01
"168","2020-09-04",9.99
"169","2020-09-08",10.01
"170","2020-09-09",9.99
"171","2020-09-10",9.985
"172","2020-09-11",9.99
"173","2020-09-14",9.99
"174","2020-09-15",10
"175","2020-09-16",9.99
"176","2020-09-17",10
"177","2020-09-18",10
"178","2020-09-21",9.99
"179","2020-09-22",9.98
"180","2020-09-23",9.96
"181","2020-09-24",9.95
"182","2020-09-25",9.95
"183","2020-09-28",9.97
"184","2020-09-29",9.98
"185","2020-09-30",9.96
"186","2020-10-01",9.94
"187","2020-10-02",9.95
"188","2020-10-05",10
"189","2020-10-06",10.01
"190","2020-10-07",10.03
"191","2020-10-08",9.9
"192","2020-10-09",10.05
"193","2020-10-12",9.96
"194","2020-10-13",9.94
"195","2020-10-14",10.1
"196","2020-10-15",NA
"197","2020-10-16",10.76
"198","2020-10-19",11.02
"199","2020-10-20",10.52
"200","2020-10-21",10.67
"201","2020-10-22",9.69
"202","2020-10-23",9.05
"203","2020-10-26",8.51
"204","2020-10-27",8.6
"205","2020-10-28",8.38
"206","2020-10-29",8.44
"207","2020-10-30",8.63
"208","2020-11-02",8.77
"209","2020-11-03",9.13
"210","2020-11-04",8.9
"211","2020-11-05",9.21
"212","2020-11-06",9.24
"213","2020-11-09",9.22
"214","2020-11-10",8.95
"215","2020-11-11",9.44
"216","2020-11-12",9.8
"217","2020-11-13",9.23
"218","2020-11-16",9.22
"219","2020-11-17",10.5
"220","2020-11-18",10.05
"221","2020-11-19",9.9
"222","2020-11-20",10.05
"223","2020-11-23",9.91
"224","2020-11-24",10
"225","2020-11-25",9.94
"226","2020-11-27",9.92
