"","date","SIGI"
"1","2007-01-03",28.6
"2","2007-01-04",28.985001
"3","2007-01-05",28.35
"4","2007-01-08",28.110001
"5","2007-01-09",27.834999
"6","2007-01-10",27.65
"7","2007-01-11",27.645
"8","2007-01-12",27.895
"9","2007-01-16",27.385
"10","2007-01-17",27.24
"11","2007-01-18",27.215
"12","2007-01-19",27.215
"13","2007-01-22",26.91
"14","2007-01-23",27.094999
"15","2007-01-24",27.195
"16","2007-01-25",26.790001
"17","2007-01-26",26.74
"18","2007-01-29",26.975
"19","2007-01-30",27.440001
"20","2007-01-31",25.725
"21","2007-02-01",25.665001
"22","2007-02-02",25.77
"23","2007-02-05",25.82
"24","2007-02-06",25.895
"25","2007-02-07",25.805
"26","2007-02-08",25.809999
"27","2007-02-09",25.584999
"28","2007-02-12",25.275
"29","2007-02-13",25.424999
"30","2007-02-14",25.264999
"31","2007-02-15",25.309999
"32","2007-02-16",25.045
"33","2007-02-20",25.01
"34","2007-02-21",25.07
"35","2007-02-22",25
"36","2007-02-23",24.889999
"37","2007-02-26",24.99
"38","2007-02-27",24.209999
"39","2007-02-28",24.440001
"40","2007-03-01",24.540001
"41","2007-03-02",24.389999
"42","2007-03-05",23.870001
"43","2007-03-06",24.25
"44","2007-03-07",24.120001
"45","2007-03-08",24.4
"46","2007-03-09",24.57
"47","2007-03-12",24.59
"48","2007-03-13",23.85
"49","2007-03-14",23.85
"50","2007-03-15",23.68
"51","2007-03-16",23.530001
"52","2007-03-19",23.690001
"53","2007-03-20",24.02
"54","2007-03-21",24.610001
"55","2007-03-22",24.67
"56","2007-03-23",24.809999
"57","2007-03-26",25.110001
"58","2007-03-27",24.91
"59","2007-03-28",24.85
"60","2007-03-29",25.25
"61","2007-03-30",25.459999
"62","2007-04-02",25.51
"63","2007-04-03",25.75
"64","2007-04-04",25.77
"65","2007-04-05",25.719999
"66","2007-04-09",25.73
"67","2007-04-10",25.74
"68","2007-04-11",25.610001
"69","2007-04-12",25.799999
"70","2007-04-13",26.040001
"71","2007-04-16",26.370001
"72","2007-04-17",26.02
"73","2007-04-18",26.129999
"74","2007-04-19",25.940001
"75","2007-04-20",26.690001
"76","2007-04-23",26.530001
"77","2007-04-24",26.5
"78","2007-04-25",26.76
"79","2007-04-26",26.780001
"80","2007-04-27",26.459999
"81","2007-04-30",26.08
"82","2007-05-01",26.08
"83","2007-05-02",26.35
"84","2007-05-03",26.33
"85","2007-05-04",26.450001
"86","2007-05-07",26.809999
"87","2007-05-08",26.709999
"88","2007-05-09",26.639999
"89","2007-05-10",26.34
"90","2007-05-11",26.68
"91","2007-05-14",26.209999
"92","2007-05-15",26.01
"93","2007-05-16",26.34
"94","2007-05-17",25.98
"95","2007-05-18",26
"96","2007-05-21",26.32
"97","2007-05-22",26.700001
"98","2007-05-23",27.209999
"99","2007-05-24",26.780001
"100","2007-05-25",27.040001
"101","2007-05-29",27.219999
"102","2007-05-30",27.389999
"103","2007-05-31",27.370001
"104","2007-06-01",27.33
"105","2007-06-04",27.459999
"106","2007-06-05",27.09
"107","2007-06-06",26.9
"108","2007-06-07",26.48
"109","2007-06-08",26.549999
"110","2007-06-11",26.68
"111","2007-06-12",26.09
"112","2007-06-13",26.35
"113","2007-06-14",26.309999
"114","2007-06-15",26.59
"115","2007-06-18",26.33
"116","2007-06-19",26.74
"117","2007-06-20",26.25
"118","2007-06-21",26.360001
"119","2007-06-22",26.09
"120","2007-06-25",25.950001
"121","2007-06-26",25.969999
"122","2007-06-27",26.379999
"123","2007-06-28",26.6
"124","2007-06-29",26.879999
"125","2007-07-02",27.190001
"126","2007-07-03",27.1
"127","2007-07-05",26.85
"128","2007-07-06",24.530001
"129","2007-07-09",23.950001
"130","2007-07-10",23.389999
"131","2007-07-11",23.15
"132","2007-07-12",23.68
"133","2007-07-13",23.67
