"","date","ALLY"
"1","2014-01-28",25.967741
"2","2014-01-29",25.967741
"3","2014-01-30",25.645161
"4","2014-01-31",25.645161
"5","2014-02-03",25.645161
"6","2014-02-04",25.870968
"7","2014-02-05",25.838709
"8","2014-02-06",26.129032
"9","2014-02-07",26.129032
"10","2014-02-10",26.129032
"11","2014-02-11",26.129032
"12","2014-02-12",26.129032
"13","2014-02-13",26.129032
"14","2014-02-14",26.129032
"15","2014-02-18",26.129032
"16","2014-02-19",26.129032
"17","2014-02-20",26.129032
"18","2014-02-21",26.129032
"19","2014-02-24",26.129032
"20","2014-02-25",26.129032
"21","2014-02-26",26.129032
"22","2014-02-27",26.129032
"23","2014-02-28",26.129032
"24","2014-03-03",26.129032
"25","2014-03-04",26.129032
"26","2014-03-05",26.129032
"27","2014-03-06",26.129032
"28","2014-03-07",26.129032
"29","2014-03-10",27.338709
"30","2014-03-11",27.338709
"31","2014-03-12",27.338709
"32","2014-03-13",27.338709
"33","2014-03-14",27.338709
"34","2014-03-17",27.338709
"35","2014-03-18",27.338709
"36","2014-03-19",27.338709
"37","2014-03-20",27.338709
"38","2014-03-21",27.338709
"39","2014-03-24",27.338709
"40","2014-03-25",27.338709
"41","2014-03-26",27.338709
"42","2014-03-27",27.338709
"43","2014-03-28",27.903225
"44","2014-03-31",27.903225
"45","2014-04-01",27.903225
"46","2014-04-02",27.903225
"47","2014-04-03",27.903225
"48","2014-04-04",27.903225
"49","2014-04-07",27.903225
"50","2014-04-08",27.903225
"51","2014-04-09",27.903225
"52","2014-04-10",23.98
"53","2014-04-11",24.200001
"54","2014-04-14",24.049999
"55","2014-04-15",23.93
"56","2014-04-16",24.139999
"57","2014-04-17",23.879999
"58","2014-04-21",23.98
"59","2014-04-22",24.040001
"60","2014-04-23",24.280001
"61","2014-04-24",24.379999
"62","2014-04-25",24.389999
"63","2014-04-28",24.030001
"64","2014-04-29",24
"65","2014-04-30",24.15
"66","2014-05-01",24.01
"67","2014-05-02",24.049999
"68","2014-05-05",24.15
"69","2014-05-06",24.17
"70","2014-05-07",24.43
"71","2014-05-08",25.209999
"72","2014-05-09",25.190001
"73","2014-05-12",24.98
"74","2014-05-13",24.809999
"75","2014-05-14",24.77
"76","2014-05-15",24.299999
"77","2014-05-16",24.209999
"78","2014-05-19",24.450001
"79","2014-05-20",24.24
"80","2014-05-21",24.299999
"81","2014-05-22",24.24
"82","2014-05-23",24.08
"83","2014-05-27",24.049999
"84","2014-05-28",23.719999
"85","2014-05-29",23.68
"86","2014-05-30",23.559999
"87","2014-06-02",23.52
"88","2014-06-03",23.459999
"89","2014-06-04",23.51
"90","2014-06-05",23.51
"91","2014-06-06",23.6
"92","2014-06-09",24.440001
"93","2014-06-10",24.58
"94","2014-06-11",24.629999
"95","2014-06-12",24.950001
"96","2014-06-13",24.959999
"97","2014-06-16",24.73
"98","2014-06-17",24.68
"99","2014-06-18",24.639999
