"","date","QADB"
"1","2007-01-03",83.199997
"2","2007-01-04",84.400002
"3","2007-01-05",80.400002
"4","2007-01-08",80.5
"5","2007-01-09",80.900002
"6","2007-01-10",80.800003
"7","2007-01-11",81.599998
"8","2007-01-12",80.900002
"9","2007-01-16",80.900002
"10","2007-01-17",80.5
"11","2007-01-18",80
"12","2007-01-19",81.199997
"13","2007-01-22",80.599998
"14","2007-01-23",80.800003
"15","2007-01-24",80.900002
"16","2007-01-25",80.099998
"17","2007-01-26",81
"18","2007-01-29",81.199997
"19","2007-01-30",80.800003
"20","2007-01-31",81
"21","2007-02-01",80.699997
"22","2007-02-02",81.699997
"23","2007-02-05",81.599998
"24","2007-02-06",80.900002
"25","2007-02-07",82
"26","2007-02-08",82.400002
"27","2007-02-09",81.599998
"28","2007-02-12",82
"29","2007-02-13",81.900002
"30","2007-02-14",81.5
"31","2007-02-15",80.699997
"32","2007-02-16",80.699997
"33","2007-02-20",81.300003
"34","2007-02-21",81.5
"35","2007-02-22",81.800003
"36","2007-02-23",85.300003
"37","2007-02-26",85
"38","2007-02-27",82.199997
"39","2007-02-28",83.699997
"40","2007-03-01",82.099998
"41","2007-03-02",80.699997
"42","2007-03-05",81.099998
"43","2007-03-06",82.300003
"44","2007-03-07",83.699997
"45","2007-03-08",83.400002
"46","2007-03-09",84.599998
"47","2007-03-12",83.800003
"48","2007-03-13",82.599998
"49","2007-03-14",83.400002
"50","2007-03-15",83.099998
"51","2007-03-16",86.099998
"52","2007-03-19",85.900002
"53","2007-03-20",89
"54","2007-03-21",91.900002
"55","2007-03-22",94.699997
"56","2007-03-23",92.699997
"57","2007-03-26",94.900002
"58","2007-03-27",92.900002
"59","2007-03-28",91.699997
"60","2007-03-29",92.199997
"61","2007-03-30",91
"62","2007-04-02",93
"63","2007-04-03",95
"64","2007-04-04",92.800003
"65","2007-04-05",92.900002
"66","2007-04-09",92.5
"67","2007-04-10",96.699997
"68","2007-04-11",99.300003
"69","2007-04-12",100.199997
"70","2007-04-13",100.5
