"","date","PTEN"
"1","2007-01-03",21.950001
"2","2007-01-04",21.74
"3","2007-01-05",21.93
"4","2007-01-08",21.77
"5","2007-01-09",22.08
"6","2007-01-10",22.07
"7","2007-01-11",22.209999
"8","2007-01-12",23.27
"9","2007-01-16",23.059999
"10","2007-01-17",23
"11","2007-01-18",22.73
"12","2007-01-19",23.610001
"13","2007-01-22",23.76
"14","2007-01-23",24.139999
"15","2007-01-24",23.959999
"16","2007-01-25",23.219999
"17","2007-01-26",23.209999
"18","2007-01-29",23.49
"19","2007-01-30",24.17
"20","2007-01-31",24.15
"21","2007-02-01",24.1
"22","2007-02-02",24.299999
"23","2007-02-05",24.299999
"24","2007-02-06",23.92
"25","2007-02-07",23.700001
"26","2007-02-08",23.66
"27","2007-02-09",23.43
"28","2007-02-12",23.23
"29","2007-02-13",23.42
"30","2007-02-14",23.42
"31","2007-02-15",23.200001
"32","2007-02-16",23.49
"33","2007-02-20",23.209999
"34","2007-02-21",23.52
"35","2007-02-22",23.530001
"36","2007-02-23",23.5
"37","2007-02-26",24.01
"38","2007-02-27",22.870001
"39","2007-02-28",22.290001
"40","2007-03-01",22.26
"41","2007-03-02",21.780001
"42","2007-03-05",21.389999
"43","2007-03-06",21.85
"44","2007-03-07",22.23
"45","2007-03-08",22.280001
"46","2007-03-09",22.18
"47","2007-03-12",22.040001
"48","2007-03-13",21.6
"49","2007-03-14",21.450001
"50","2007-03-15",21.610001
"51","2007-03-16",21.52
"52","2007-03-19",22.27
"53","2007-03-20",22.040001
"54","2007-03-21",22.65
"55","2007-03-22",23.23
"56","2007-03-23",23.15
"57","2007-03-26",23.66
"58","2007-03-27",23.280001
"59","2007-03-28",22.77
"60","2007-03-29",22.6
"61","2007-03-30",22.440001
"62","2007-04-02",22.58
"63","2007-04-03",22.43
"64","2007-04-04",22.32
"65","2007-04-05",22.959999
"66","2007-04-09",22.719999
"67","2007-04-10",22.889999
"68","2007-04-11",23.370001
"69","2007-04-12",24.219999
"70","2007-04-13",24.209999
"71","2007-04-16",24.84
"72","2007-04-17",24.200001
"73","2007-04-18",24.200001
"74","2007-04-19",23.83
"75","2007-04-20",24.309999
"76","2007-04-23",24.17
"77","2007-04-24",24.200001
"78","2007-04-25",24.780001
"79","2007-04-26",24.799999
"80","2007-04-27",25.040001
