"","date","CATO"
"1","2007-01-03",23.280001
"2","2007-01-04",22.6
"3","2007-01-05",22.42
"4","2007-01-08",21.84
"5","2007-01-09",22.059999
"6","2007-01-10",21.76
"7","2007-01-11",22.6
"8","2007-01-12",22.68
"9","2007-01-16",22.379999
"10","2007-01-17",21.91
"11","2007-01-18",21.82
"12","2007-01-19",21.84
"13","2007-01-22",22.1
"14","2007-01-23",22.02
"15","2007-01-24",22.200001
"16","2007-01-25",22.219999
"17","2007-01-26",22.4
"18","2007-01-29",22.93
"19","2007-01-30",22.469999
"20","2007-01-31",22.57
"21","2007-02-01",22.92
"22","2007-02-02",22.809999
"23","2007-02-05",22.58
"24","2007-02-06",22.99
"25","2007-02-07",22.940001
"26","2007-02-08",22.92
"27","2007-02-09",22.75
"28","2007-02-12",22.75
"29","2007-02-13",22.629999
"30","2007-02-14",22.530001
"31","2007-02-15",22.57
"32","2007-02-16",22.709999
"33","2007-02-20",22.9
"34","2007-02-21",22.68
"35","2007-02-22",22.790001
"36","2007-02-23",22.67
"37","2007-02-26",22.799999
"38","2007-02-27",21.82
"39","2007-02-28",21.799999
"40","2007-03-01",21.33
"41","2007-03-02",21.27
"42","2007-03-05",20.379999
"43","2007-03-06",21.200001
"44","2007-03-07",20.75
"45","2007-03-08",21.469999
"46","2007-03-09",21.68
"47","2007-03-12",21.549999
"48","2007-03-13",21.049999
"49","2007-03-14",21.379999
"50","2007-03-15",21.66
"51","2007-03-16",21.73
"52","2007-03-19",22.57
"53","2007-03-20",23.370001
"54","2007-03-21",23.9
"55","2007-03-22",24.190001
"56","2007-03-23",23.99
"57","2007-03-26",24.02
"58","2007-03-27",23.790001
"59","2007-03-28",23.6
"60","2007-03-29",23.17
"61","2007-03-30",23.389999
"62","2007-04-02",23.280001
"63","2007-04-03",23.360001
"64","2007-04-04",23.01
"65","2007-04-05",23
"66","2007-04-09",23.110001
"67","2007-04-10",22.77
"68","2007-04-11",22.610001
"69","2007-04-12",22.08
"70","2007-04-13",22.040001
"71","2007-04-16",22.559999
"72","2007-04-17",22.49
"73","2007-04-18",22.440001
"74","2007-04-19",22.33
"75","2007-04-20",22.82
"76","2007-04-23",22.57
"77","2007-04-24",22.059999
"78","2007-04-25",22.620001
"79","2007-04-26",22.620001
"80","2007-04-27",22.32
"81","2007-04-30",21.610001
"82","2007-05-01",21.98
"83","2007-05-02",22.209999
"84","2007-05-03",21.85
"85","2007-05-04",21.92
"86","2007-05-07",22.15
"87","2007-05-08",22.059999
"88","2007-05-09",22.49
"89","2007-05-10",21.66
"90","2007-05-11",21.76
"91","2007-05-14",21.700001
"92","2007-05-15",21.49
"93","2007-05-16",21.84
"94","2007-05-17",21.83
"95","2007-05-18",21.959999
"96","2007-05-21",22.200001
"97","2007-05-22",21.809999
"98","2007-05-23",22.1
"99","2007-05-24",21.219999
"100","2007-05-25",21.48
"101","2007-05-29",21.469999
"102","2007-05-30",21.4
"103","2007-05-31",21.75
"104","2007-06-01",21.85
"105","2007-06-04",22.190001
"106","2007-06-05",22.02
"107","2007-06-06",22.059999
"108","2007-06-07",21.459999
