"","date","FRTA"
"1","2016-10-20",16.5
"2","2016-10-21",17
"3","2016-10-24",17.1
"4","2016-10-25",16.870001
"5","2016-10-26",16.790001
"6","2016-10-27",16.809999
"7","2016-10-28",16.93
"8","2016-10-31",17.200001
"9","2016-11-01",17.120001
"10","2016-11-02",16.99
"11","2016-11-03",16.84
"12","2016-11-04",17.01
"13","2016-11-07",17.059999
"14","2016-11-08",16.92
"15","2016-11-09",17.73
"16","2016-11-10",18.01
"17","2016-11-11",18.41
"18","2016-11-14",18.98
"19","2016-11-15",18.33
"20","2016-11-16",18.200001
"21","2016-11-17",17.85
"22","2016-11-18",18.1
"23","2016-11-21",19
"24","2016-11-22",18.879999
"25","2016-11-23",19.07
"26","2016-11-25",19.85
"27","2016-11-28",19.08
"28","2016-11-29",19.139999
"29","2016-11-30",19.809999
"30","2016-12-01",20.01
"31","2016-12-02",19.530001
"32","2016-12-05",19.549999
"33","2016-12-06",19.459999
"34","2016-12-07",19.379999
"35","2016-12-08",19.07
"36","2016-12-09",19.610001
"37","2016-12-12",20.030001
"38","2016-12-13",19.83
"39","2016-12-14",18.25
"40","2016-12-15",19.299999
"41","2016-12-16",19.52
"42","2016-12-19",19.870001
"43","2016-12-20",20.639999
"44","2016-12-21",21.040001
"45","2016-12-22",21.82
"46","2016-12-23",22.09
"47","2016-12-27",22.4
"48","2016-12-28",22
"49","2016-12-29",22
"50","2016-12-30",21.66
"51","2017-01-03",21.98
"52","2017-01-04",21.209999
"53","2017-01-05",20.209999
"54","2017-01-06",20.33
"55","2017-01-09",19.74
"56","2017-01-10",19.5
"57","2017-01-11",19.75
"58","2017-01-12",18.99
"59","2017-01-13",19.73
"60","2017-01-17",19.57
"61","2017-01-18",19.15
"62","2017-01-19",19.27
"63","2017-01-20",19.469999
"64","2017-01-23",18.719999
"65","2017-01-24",19.4
"66","2017-01-25",19.629999
"67","2017-01-26",19.68
"68","2017-01-27",19.639999
"69","2017-01-30",19.27
"70","2017-01-31",19.24
"71","2017-02-01",19.25
"72","2017-02-02",19.01
"73","2017-02-03",19.01
"74","2017-02-06",19.01
"75","2017-02-07",19.01
"76","2017-02-08",19
"77","2017-02-09",18.950001
"78","2017-02-10",18.98
"79","2017-02-13",19.15
"80","2017-02-14",18.92
"81","2017-02-15",19.030001
"82","2017-02-16",18.629999
"83","2017-02-17",18.76
"84","2017-02-21",18.66
"85","2017-02-22",18.52
"86","2017-02-23",18.75
"87","2017-02-24",19.280001
"88","2017-02-27",20.190001
"89","2017-02-28",19.83
"90","2017-03-01",20.5
"91","2017-03-02",20.33
"92","2017-03-03",20.1
"93","2017-03-06",19.870001
"94","2017-03-07",19.43
"95","2017-03-08",19.209999
"96","2017-03-09",19.200001
"97","2017-03-10",19.35
"98","2017-03-13",19.299999
"99","2017-03-14",18.959999
"100","2017-03-15",18.889999
"101","2017-03-16",18.809999
"102","2017-03-17",19.32
"103","2017-03-20",18.959999
"104","2017-03-21",18.35
"105","2017-03-22",17.5
"106","2017-03-23",18.120001
"107","2017-03-24",17.879999
"108","2017-03-27",17.690001
"109","2017-03-28",17.98
"110","2017-03-29",18.67
"111","2017-03-30",19.629999
"112","2017-03-31",19.5
"113","2017-04-03",18.5
"114","2017-04-04",18.41
"115","2017-04-05",17.870001
"116","2017-04-06",17.85
"117","2017-04-07",17.59
"118","2017-04-10",17.959999
"119","2017-04-11",18.379999
"120","2017-04-12",18.02
"121","2017-04-13",17.73
"122","2017-04-17",17.73
"123","2017-04-18",17.690001
"124","2017-04-19",18.280001
"125","2017-04-20",17.940001
"126","2017-04-21",18.34
"127","2017-04-24",18.59
"128","2017-04-25",18.700001
"129","2017-04-26",19.1
"130","2017-04-27",19.540001
"131","2017-04-28",19.24
"132","2017-05-01",19.209999
"133","2017-05-02",19.66
"134","2017-05-03",19.65
"135","2017-05-04",19.790001
"136","2017-05-05",20.26
"137","2017-05-08",19.84
"138","2017-05-09",19.879999
"139","2017-05-10",19.84
"140","2017-05-11",19.75
"141","2017-05-12",19.719999
"142","2017-05-15",14.93
"143","2017-05-16",12.99
"144","2017-05-17",11.34
"145","2017-05-18",10.69
"146","2017-05-19",10.54
"147","2017-05-22",8.91
"148","2017-05-23",8.44
"149","2017-05-24",7.94
"150","2017-05-25",8.2
