"","date","BAP"
"187","2007-09-28",65.158806
"188","2007-10-01",65.447548
"189","2007-10-02",66.053902
"190","2007-10-03",65.43792
"191","2007-10-04",65.630417
"192","2007-10-05",66.920113
"193","2007-10-08",68.883545
"194","2007-10-09",68.142448
"195","2007-10-10",67.853706
"196","2007-10-11",67.256981
"197","2007-10-12",68.960541
"198","2007-10-15",67.651588
"199","2007-10-16",67.497597
"200","2007-10-17",68.565926
"201","2007-10-18",68.113571
"202","2007-10-19",67.478348
"203","2007-10-22",67.978828
"204","2007-10-23",70.173241
"205","2007-10-24",68.575554
"206","2007-10-25",68.98941
"207","2007-10-26",70.596725
"208","2007-10-29",73.060638
"209","2007-10-30",71.770935
"210","2007-10-31",71.53994
"211","2007-11-01",71.077957
"212","2007-11-02",70.365738
"213","2007-11-05",71.17421
"214","2007-11-06",72.367661
"215","2007-11-07",70.423485
"216","2007-11-08",68.719925
"217","2007-11-09",66.073151
"218","2007-11-12",63.936478
"219","2007-11-13",67.815208
"220","2007-11-14",68.440811
"221","2007-11-15",67.439842
"222","2007-11-16",67.632339
"223","2007-11-19",67.353226
"224","2007-11-20",68.81617
"225","2007-11-21",66.583252
"226","2007-11-23",67.526466
"227","2007-11-26",64.735321
"228","2007-11-27",64.927818
"229","2007-11-28",68.209816
"230","2007-11-29",68.142448
"231","2007-11-30",68.517807
"232","2007-12-03",70.346489
"233","2007-12-04",70.288742
"234","2007-12-05",70.413857
"235","2007-12-06",70.904716
"236","2007-12-07",71.049088
"237","2007-12-10",73.253128
"238","2007-12-11",71.742058
"239","2007-12-12",74.254089
"240","2007-12-13",73.869102
"241","2007-12-14",74.985565
"242","2007-12-17",73.426369
"243","2007-12-18",75.389801
"244","2007-12-19",73.05101
"245","2007-12-20",71.905678
"246","2007-12-21",73.118385
"247","2007-12-24",75.072182
"248","2007-12-26",74.39846
"249","2007-12-27",72.954765
"250","2007-12-28",72.579407
"251","2007-12-31",73.435997
"252","2008-01-02",72.348412
"253","2008-01-03",72.974014
"254","2008-01-04",71.742058
"255","2008-01-07",72.386909
"256","2008-01-08",72.810394
"257","2008-01-09",74.051971
"258","2008-01-10",73.676613
"259","2008-01-11",73.974976
"260","2008-01-14",77.237732
"261","2008-01-15",75.351303
"262","2008-01-16",74.109718
"263","2008-01-17",72.694901
"264","2008-01-18",72.232918
"265","2008-01-22",69.210777
"266","2008-01-23",67.362846
"267","2008-01-24",69.50914
"268","2008-01-25",69.008659
"269","2008-01-28",69.489891
"270","2008-01-29",69.114532
"271","2008-01-30",70.067375
"272","2008-01-31",69.027908
"273","2008-02-01",70.202118
"274","2008-02-04",70.433105
"275","2008-02-05",68.13282
"276","2008-02-06",68.277191
"277","2008-02-07",70.673721
"278","2008-02-08",71.799805
"279","2008-02-11",71.424446
"280","2008-02-12",72.069298
"281","2008-02-13",71.462944
"282","2008-02-14",71.684311
"283","2008-02-15",70.798843
"284","2008-02-19",69.874878
"285","2008-02-20",69.422523
"286","2008-02-21",69.470642
"287","2008-02-22",72.088547
"288","2008-02-25",72.232918
"289","2008-02-26",72.733398
"290","2008-02-27",72.839272
"291","2008-02-28",72.300285
"292","2008-02-29",71.53994
"293","2008-03-03",72.309914
"294","2008-03-04",71.434074
"295","2008-03-05",72.223289
"296","2008-03-06",71.655441
"297","2008-03-07",69.83638
"298","2008-03-10",68.575554
"299","2008-03-11",71.607315
"300","2008-03-12",70.885468
"301","2008-03-13",70.808472
"302","2008-03-14",71.395576
"303","2008-03-17",69.759384
"304","2008-03-18",71.626564
"305","2008-03-19",69.528389
"306","2008-03-20",70.625603
"307","2008-03-24",71.029839
"308","2008-03-25",70.558228
"309","2008-03-26",70.625603
"310","2008-03-27",70.279114
"311","2008-03-28",69.008659
"312","2008-03-31",69.047157
"313","2008-04-01",72.19442
"314","2008-04-02",76.275261
"315","2008-04-03",73.387871
"316","2008-04-04",73.638115
"317","2008-04-07",74.023102
"318","2008-04-08",74.542831
"319","2008-04-09",74.003853
"320","2008-04-10",73.503372
"321","2008-04-11",74.485085
"322","2008-04-14",72.993263
"323","2008-04-15",74.292587
"324","2008-04-16",75.620789
"325","2008-04-17",75.688164
"326","2008-04-18",76.862366
"327","2008-04-21",76.640999
"328","2008-04-22",76.323387
"329","2008-04-23",76.217514
"330","2008-04-24",75.861404
"331","2008-04-25",76.852745
"332","2008-04-28",77.189606
"333","2008-04-29",76.660248
"334","2008-04-30",77.343597
"335","2008-05-01",78.931664
"336","2008-05-02",80.115494
"337","2008-05-05",79.557266
"338","2008-05-06",79.056786
"339","2008-05-07",80.067375
"340","2008-05-08",77.853706
"341","2008-05-09",77.863327
"342","2008-05-12",77.584213
"343","2008-05-13",77.863327
"344","2008-05-14",77.468719
"345","2008-05-15",78.046196
"346","2008-05-16",79.384026
"347","2008-05-19",78.614052
"348","2008-05-20",78.142448
"349","2008-05-21",77.9692
"350","2008-05-22",77.844078
"351","2008-05-23",77.978828
"352","2008-05-27",77.844078
"353","2008-05-28",78.922043
"354","2008-05-29",80.19249
"355","2008-05-30",80.32724
"356","2008-06-02",80.750725
"357","2008-06-03",81.443695
"358","2008-06-04",80.712227
"359","2008-06-05",82.069298
"360","2008-06-06",79.990372
"361","2008-06-09",81.770935
"362","2008-06-10",82.155922
"363","2008-06-11",81.405197
"364","2008-06-12",80.32724
"365","2008-06-13",80.644852
"366","2008-06-16",82.954765
"367","2008-06-17",81.665062
"368","2008-06-18",81.222328
"369","2008-06-19",81.366699
"370","2008-06-20",80.394608
"371","2008-06-23",80.028877
"372","2008-06-24",79.441772
"373","2008-06-25",80.68335
"374","2008-06-26",77.940331
"375","2008-06-27",77.054863
"376","2008-06-30",79.037537
"377","2008-07-01",78.277191
"378","2008-07-02",77.545715
"379","2008-07-03",76.746872
"380","2008-07-07",74.282967
"381","2008-07-08",70.086624
"382","2008-07-09",72.396538
"383","2008-07-10",72.964386
"384","2008-07-11",69.711258
"385","2008-07-14",72.377289
"386","2008-07-15",70
"387","2008-07-16",71.982674
"388","2008-07-17",72.666023
"389","2008-07-18",72.406158
"390","2008-07-21",71.520691
"391","2008-07-22",71.616936
"392","2008-07-23",71.251205
"393","2008-07-24",70.250244
"394","2008-07-25",70.644852
"395","2008-07-28",70.952843
"396","2008-07-29",71.222328
"397","2008-07-30",70.914337
"398","2008-07-31",71.231956
"399","2008-08-01",70.51973
"400","2008-08-04",68.642929
"401","2008-08-05",68.123192
"402","2008-08-06",66.891243
"403","2008-08-07",71.01059
"404","2008-08-08",71.097206
"405","2008-08-11",71.116455
"406","2008-08-12",69.499519
"407","2008-08-13",69.441772
"408","2008-08-14",71.097206
"409","2008-08-15",68.671799
"410","2008-08-18",68.171318
"411","2008-08-19",66.689125
"412","2008-08-20",67.507217
"413","2008-08-21",66.823868
"414","2008-08-22",67.006737
"415","2008-08-25",65.303177
"416","2008-08-26",64.764198
"417","2008-08-27",67.324348
"418","2008-08-28",67.574593
"419","2008-08-29",67.690086
"420","2008-09-02",69.345528
"421","2008-09-03",68.864296
"422","2008-09-04",67.295479
"423","2008-09-05",68.479309
"424","2008-09-08",68.344559
"425","2008-09-09",69.923004
"426","2008-09-10",70.750725
"427","2008-09-11",70.153992
"428","2008-09-12",70.654472
"429","2008-09-15",68.055824
"430","2008-09-16",65.486046
"431","2008-09-17",60.808468
"432","2008-09-18",62.473534
"433","2008-09-19",67.285851
"434","2008-09-22",61.934551
"435","2008-09-23",61.34745
"436","2008-09-24",60.009624
"437","2008-09-25",62.675652
"438","2008-09-26",60.93359
"439","2008-09-29",53.551491
"440","2008-09-30",59.91338
"441","2008-10-01",58.402309
"442","2008-10-02",55.418671
"443","2008-10-03",52.406158
"444","2008-10-06",48.094322
"445","2008-10-07",44.75457
"446","2008-10-08",43.166508
"447","2008-10-09",43.541866
"448","2008-10-10",39.23003
"449","2008-10-13",43.330124
"450","2008-10-14",45.226177
"451","2008-10-15",37.988449
"452","2008-10-16",36.467758
"453","2008-10-17",36.111645
"454","2008-10-20",38.017323
"455","2008-10-21",37.805584
"456","2008-10-22",35.052937
"457","2008-10-23",34.157845
"458","2008-10-24",32.743023
"459","2008-10-27",29.095284
"460","2008-10-28",30.972088
"461","2008-10-29",33.012512
"462","2008-10-30",35.871029
"463","2008-10-31",37.795959
"464","2008-11-03",38.248314
"465","2008-11-04",41.674686
"466","2008-11-05",41.193455
"467","2008-11-06",41.366699
"468","2008-11-07",42.589027
"469","2008-11-10",42.367661
"470","2008-11-11",40.548603
"471","2008-11-12",38.931664
"472","2008-11-13",41.318577
"473","2008-11-14",38.325314
"474","2008-11-17",37.680462
"475","2008-11-18",38.354187
"476","2008-11-19",36.958614
"477","2008-11-20",34.898941
"478","2008-11-21",37.795959
"479","2008-11-24",39.865253
"480","2008-11-25",39.278152
"481","2008-11-26",41.087585
"482","2008-11-28",42.059673
"483","2008-12-01",39.124157
"484","2008-12-02",38.671799
"485","2008-12-03",38.719921
"486","2008-12-04",38.209816
"487","2008-12-05",38.835419
"488","2008-12-08",40.866219
"489","2008-12-09",40.875843
"490","2008-12-10",40.712223
"491","2008-12-11",40.192493
"492","2008-12-12",41.819057
"493","2008-12-15",41.684311
"494","2008-12-16",45.774784
"495","2008-12-17",44.985561
"496","2008-12-18",43.840233
"497","2008-12-19",44.937439
"498","2008-12-22",45.717037
"499","2008-12-23",45.514919
"500","2008-12-24",46.467758
"501","2008-12-26",46.053898
"502","2008-12-29",45.514919
"503","2008-12-30",46.689125
"504","2008-12-31",48.084698
"505","2009-01-02",48.729549
"506","2009-01-05",50.038498
"507","2009-01-06",51.029835
"508","2009-01-07",49.663139
"509","2009-01-08",48.941288
"510","2009-01-09",47.892204
"511","2009-01-12",47.834457
"512","2009-01-13",47.574593
"513","2009-01-14",44.812321
"514","2009-01-15",44.157845
"515","2009-01-16",43.455246
"516","2009-01-20",41.751686
"517","2009-01-21",43.638115
"518","2009-01-22",42.791145
"519","2009-01-23",41.915302
"520","2009-01-26",41.164581
"521","2009-01-27",41.212704
"522","2009-01-28",42.521656
"523","2009-01-29",41.434071
