"","date","BGCP"
"1","2007-01-03",5.421222
"2","2007-01-04",5.254019
"3","2007-01-05",5.337621
"4","2007-01-08",5.318328
"5","2007-01-09",5.369775
"6","2007-01-10",5.241158
"7","2007-01-11",5.344051
"8","2007-01-12",5.459807
"9","2007-01-16",5.292604
"10","2007-01-17",5.151125
"11","2007-01-18",5.176849
"12","2007-01-19",5.286174
"13","2007-01-22",5.144694
"14","2007-01-23",5.311897
"15","2007-01-24",5.26045
"16","2007-01-25",5.106109
"17","2007-01-26",5.247589
"18","2007-01-29",5.18328
"19","2007-01-30",5.228296
"20","2007-01-31",5.144694
"21","2007-02-01",5.209003
"22","2007-02-02",5.228296
"23","2007-02-05",5.163987
"24","2007-02-06",5.151125
"25","2007-02-07",5.279743
"26","2007-02-08",5.241158
"27","2007-02-09",5.18328
"28","2007-02-12",5.157556
"29","2007-02-13",5.247589
"30","2007-02-14",5.215434
"31","2007-02-15",5.18328
"32","2007-02-16",5.305466
"33","2007-02-20",5.376206
"34","2007-02-21",5.395498
"35","2007-02-22",5.414791
"36","2007-02-23",5.440515
"37","2007-02-26",5.466238
"38","2007-02-27",5.466238
"39","2007-02-28",5.472669
"40","2007-03-01",5.414791
"41","2007-03-02",5.324759
"42","2007-03-05",5.350482
"43","2007-03-06",5.466238
"44","2007-03-07",5.401929
"45","2007-03-08",5.401929
"46","2007-03-09",5.588424
"47","2007-03-12",5.935691
"48","2007-03-13",5.614148
"49","2007-03-14",5.942122
"50","2007-03-15",5.832798
"51","2007-03-16",5.92926
"52","2007-03-19",5.890675
"53","2007-03-20",6.045016
"54","2007-03-21",6.154341
"55","2007-03-22",6.102894
"56","2007-03-23",6.102894
"57","2007-03-26",6.045016
"58","2007-03-27",6.045016
"59","2007-03-28",5.935691
"60","2007-03-29",5.909968
"61","2007-03-30",6.109325
"62","2007-04-02",6.102894
"63","2007-04-03",6.173634
"64","2007-04-04",6.22508
"65","2007-04-05",6.22508
"66","2007-04-09",6.102894
"67","2007-04-10",6.128617
