"","date","INMB"
"1","2019-02-04",7.99
"2","2019-02-05",7.781
"3","2019-02-06",7.751
"4","2019-02-07",7.563
"5","2019-02-08",7.918
"6","2019-02-11",7.69
"7","2019-02-12",7.7
"8","2019-02-13",7.38
"9","2019-02-14",7.353
"10","2019-02-15",7.248
"11","2019-02-19",7.43
"12","2019-02-20",7.88
"13","2019-02-21",7.9
"14","2019-02-22",8.2
"15","2019-02-25",8.14
"16","2019-02-26",7.96
"17","2019-02-27",7.8
"18","2019-02-28",7.98
"19","2019-03-01",7.8
"20","2019-03-04",7.55
"21","2019-03-05",7.58
"22","2019-03-06",7.5
"23","2019-03-07",7.55
"24","2019-03-08",7.55
"25","2019-03-11",7.5
"26","2019-03-12",7.51
"27","2019-03-13",7.5
"28","2019-03-14",7.8
"29","2019-03-15",7.08
"30","2019-03-18",7.73
"31","2019-03-19",7.95
"32","2019-03-20",7.91
"33","2019-03-21",7.926
"34","2019-03-22",7.995
"35","2019-03-25",8.119
"36","2019-03-26",8
"37","2019-03-27",8
"38","2019-03-28",7.95
"39","2019-03-29",7.85
"40","2019-04-01",7.45
"41","2019-04-02",7.529
"42","2019-04-03",7.797
"43","2019-04-04",7.65
"44","2019-04-05",7.81
"45","2019-04-08",8.6
"46","2019-04-09",10.44
"47","2019-04-10",10.499
"48","2019-04-11",10.199
"49","2019-04-12",9.596
"50","2019-04-15",10.362
"51","2019-04-16",10.45
"52","2019-04-17",10.13
"53","2019-04-18",10.058
"54","2019-04-22",10.748
"55","2019-04-23",10.697
"56","2019-04-24",10.349
"57","2019-04-25",10.6
"58","2019-04-26",10.4
"59","2019-04-29",10.303
"60","2019-04-30",10.615
"61","2019-05-01",10.78
"62","2019-05-02",10.95
"63","2019-05-03",10.71
"64","2019-05-06",10.5
"65","2019-05-07",10.75
"66","2019-05-08",10.653
"67","2019-05-09",11
"68","2019-05-10",10.93
"69","2019-05-13",10.92
"70","2019-05-14",10.99
"71","2019-05-15",10.86
"72","2019-05-16",10.75
"73","2019-05-17",10.82
"74","2019-05-20",9.49
"75","2019-05-21",9.644
"76","2019-05-22",10.7
"77","2019-05-23",10.541
"78","2019-05-24",10.801
"79","2019-05-28",10.59
"80","2019-05-29",10.48
"81","2019-05-30",10.4
"82","2019-05-31",10.25
"83","2019-06-03",10.35
"84","2019-06-04",10.271
"85","2019-06-05",10.46
"86","2019-06-06",10.3
"87","2019-06-07",10.27
"88","2019-06-10",10.21
"89","2019-06-11",10.73
"90","2019-06-12",10.37
"91","2019-06-13",10.48
"92","2019-06-14",10.42
"93","2019-06-17",10.35
"94","2019-06-18",10.419
"95","2019-06-19",10.37
"96","2019-06-20",10
"97","2019-06-21",9.85
"98","2019-06-24",9.205
"99","2019-06-25",8.9
"100","2019-06-26",9.23
"101","2019-06-27",9.72
"102","2019-06-28",9.75
"103","2019-07-01",9.7
"104","2019-07-02",9.75
"105","2019-07-03",9.89
"106","2019-07-05",9.56
"107","2019-07-08",9.95
"108","2019-07-09",9.53
"109","2019-07-10",10
"110","2019-07-11",9.8
"111","2019-07-12",9.63
"112","2019-07-15",9.52
"113","2019-07-16",9.5
"114","2019-07-17",9.09
"115","2019-07-18",9.21
"116","2019-07-19",9.35
"117","2019-07-22",9.45
"118","2019-07-23",9.461
"119","2019-07-24",9.35
"120","2019-07-25",9.269
"121","2019-07-26",9.22
"122","2019-07-29",9
"123","2019-07-30",9.105
"124","2019-07-31",9.05
"125","2019-08-01",8.82
"126","2019-08-02",8.82
"127","2019-08-05",8.9
"128","2019-08-06",8.55
"129","2019-08-07",7.73
"130","2019-08-08",7.12
"131","2019-08-09",6.63
"132","2019-08-12",6.11
"133","2019-08-13",6.1
"134","2019-08-14",5.8
"135","2019-08-15",5.89
"136","2019-08-16",5.323
"137","2019-08-19",5.72
"138","2019-08-20",5.94
"139","2019-08-21",5.51
"140","2019-08-22",6.01
"141","2019-08-23",6.03
"142","2019-08-26",6.048
"143","2019-08-27",6.002
"144","2019-08-28",6.38
"145","2019-08-29",6.23
"146","2019-08-30",6
"147","2019-09-03",5.98
"148","2019-09-04",6.43
"149","2019-09-05",6.29
"150","2019-09-06",6.31
"151","2019-09-09",6.34
"152","2019-09-10",6.15
"153","2019-09-11",6.14
"154","2019-09-12",6.19
"155","2019-09-13",6.02
"156","2019-09-16",6
"157","2019-09-17",6.1
"158","2019-09-18",5.91
"159","2019-09-19",5.87
"160","2019-09-20",5.74
"161","2019-09-23",5.55
"162","2019-09-24",5.64
"163","2019-09-25",5.6
"164","2019-09-26",5.77
"165","2019-09-27",5.75
"166","2019-09-30",5.9
"167","2019-10-01",5.57
"168","2019-10-02",5.5
"169","2019-10-03",5.18
"170","2019-10-04",5.1
"171","2019-10-07",5.03
"172","2019-10-08",4.7
"173","2019-10-09",4.08
"174","2019-10-10",4.14
"175","2019-10-11",4.073
"176","2019-10-14",3.9
"177","2019-10-15",3.56
"178","2019-10-16",3.76
"179","2019-10-17",4.22
"180","2019-10-18",4.35
"181","2019-10-21",4.95
"182","2019-10-22",5.1
"183","2019-10-23",4.93
"184","2019-10-24",4.89
"185","2019-10-25",4.9
"186","2019-10-28",4.94
"187","2019-10-29",4.79
"188","2019-10-30",5.34
"189","2019-10-31",4.908
"190","2019-11-01",5.03
"191","2019-11-04",4.884
"192","2019-11-05",4.86
"193","2019-11-06",4.67
"194","2019-11-07",4.68
"195","2019-11-08",4.52
"196","2019-11-11",4.58
"197","2019-11-12",4.45
"198","2019-11-13",4.5
"199","2019-11-14",4.31
"200","2019-11-15",4.405
"201","2019-11-18",4.307
"202","2019-11-19",4.47
"203","2019-11-20",4.26
"204","2019-11-21",4
"205","2019-11-22",3.906
"206","2019-11-25",4.03
"207","2019-11-26",4.31
"208","2019-11-27",4.784
"209","2019-11-29",4.87
"210","2019-12-02",4.85
"211","2019-12-03",4.93
"212","2019-12-04",5.05
"213","2019-12-05",5.209
"214","2019-12-06",5.2
"215","2019-12-09",4.91
"216","2019-12-10",4.774
"217","2019-12-11",4.7
"218","2019-12-12",4.7
"219","2019-12-13",4.93
"220","2019-12-16",5.118
"221","2019-12-17",5.72
"222","2019-12-18",5.72
"223","2019-12-19",5.9
"224","2019-12-20",6.1
"225","2019-12-23",5.76
"226","2019-12-24",5.51
"227","2019-12-26",5.39
"228","2019-12-27",5.35
"229","2019-12-30",5.318
"230","2019-12-31",5.8
"231","2020-01-02",6.153
"232","2020-01-03",5.7
"233","2020-01-06",5.999
"234","2020-01-07",5.878
"235","2020-01-08",5.671
"236","2020-01-09",5.736
"237","2020-01-10",5.775
"238","2020-01-13",5.706
"239","2020-01-14",5.672
"240","2020-01-15",5.55
"241","2020-01-16",5.68
"242","2020-01-17",5.66
"243","2020-01-21",5.6
"244","2020-01-22",5.25
"245","2020-01-23",4.95
"246","2020-01-24",4.995
"247","2020-01-27",4.82
"248","2020-01-28",5.135
"249","2020-01-29",4.92
"250","2020-01-30",4.78
"251","2020-01-31",4.93
"252","2020-02-03",4.75
"253","2020-02-04",4.781
"254","2020-02-05",4.9
"255","2020-02-06",5.027
"256","2020-02-07",4.985
"257","2020-02-10",5.075
"258","2020-02-11",4.89
"259","2020-02-12",5.05
"260","2020-02-13",5.17
"261","2020-02-14",5.09
"262","2020-02-18",5.11
"263","2020-02-19",5.077
"264","2020-02-20",5.29
"265","2020-02-21",5.215
"266","2020-02-24",5
"267","2020-02-25",4.77
"268","2020-02-26",4.65
"269","2020-02-27",4.59
"270","2020-02-28",4.46
"271","2020-03-02",4.05
"272","2020-03-03",3.99
"273","2020-03-04",4
"274","2020-03-05",4.1
"275","2020-03-06",3.92
"276","2020-03-09",3.75
"277","2020-03-10",3.8
"278","2020-03-11",4.8
"279","2020-03-12",3.37
"280","2020-03-13",3.1
"281","2020-03-16",2.74
"282","2020-03-17",2.88
"283","2020-03-18",2.21
"284","2020-03-19",2.47
"285","2020-03-20",2.79
"286","2020-03-23",2.41
"287","2020-03-24",2.52
"288","2020-03-25",2.65
"289","2020-03-26",2.72
"290","2020-03-27",2.9
"291","2020-03-30",3.04
"292","2020-03-31",3.33
"293","2020-04-01",3.215
"294","2020-04-02",3.27
"295","2020-04-03",3.1
"296","2020-04-06",3.28
"297","2020-04-07",3.3
"298","2020-04-08",3.357
"299","2020-04-09",3.6
"300","2020-04-13",3.57
"301","2020-04-14",4.26
"302","2020-04-15",4.22
"303","2020-04-16",4.33
"304","2020-04-17",4.39
"305","2020-04-20",4.73
"306","2020-04-21",4.27
"307","2020-04-22",4.3
"308","2020-04-23",4.338
"309","2020-04-24",4.3
"310","2020-04-27",5.2
"311","2020-04-28",5.03
"312","2020-04-29",5.045
"313","2020-04-30",5.07
"314","2020-05-01",4.75
"315","2020-05-04",4.95
"316","2020-05-05",5.01
"317","2020-05-06",5.18
"318","2020-05-07",5.06
"319","2020-05-08",4.99
"320","2020-05-11",5.05
"321","2020-05-12",5.31
"322","2020-05-13",4.8
"323","2020-05-14",5.36
"324","2020-05-15",5.51
"325","2020-05-18",5.54
"326","2020-05-19",5.769
"327","2020-05-20",6.09
"328","2020-05-21",5.9
"329","2020-05-22",6.05
"330","2020-05-26",6.01
"331","2020-05-27",5.72
"332","2020-05-28",5.46
"333","2020-05-29",5.7
