"","date","NEW"
"1","2018-06-15",21
"2","2018-06-18",28.799999
"3","2018-06-19",30
"4","2018-06-20",26.110001
"5","2018-06-21",21.360001
"6","2018-06-22",18.75
"7","2018-06-25",20.43
"8","2018-06-26",22.620001
"9","2018-06-27",20.82
"10","2018-06-28",21.23
"11","2018-06-29",21.4
"12","2018-07-02",20.610001
"13","2018-07-03",20.02
"14","2018-07-05",19.01
"15","2018-07-06",19.040001
"16","2018-07-09",18.959999
"17","2018-07-10",19.5
"18","2018-07-11",19.01
"19","2018-07-12",20.23
"20","2018-07-13",20.24
"21","2018-07-16",19.030001
"22","2018-07-17",19.02
"23","2018-07-18",19.139999
"24","2018-07-19",19.08
"25","2018-07-20",18.93
"26","2018-07-23",19
"27","2018-07-24",19.389999
"28","2018-07-25",19.85
"29","2018-07-26",19
"30","2018-07-27",18.93
"31","2018-07-30",18.629999
"32","2018-07-31",16.780001
"33","2018-08-01",17
"34","2018-08-02",16.43
"35","2018-08-03",16.030001
"36","2018-08-06",15.8
"37","2018-08-07",16.24
"38","2018-08-08",15.76
"39","2018-08-09",15.7
"40","2018-08-10",15.48
"41","2018-08-13",15.25
"42","2018-08-14",14.67
"43","2018-08-15",13.86
"44","2018-08-16",14.18
"45","2018-08-17",14.15
"46","2018-08-20",14.07
"47","2018-08-21",13
"48","2018-08-22",15.9
"49","2018-08-23",14.5
"50","2018-08-24",14.5
"51","2018-08-27",13.92
"52","2018-08-28",14
"53","2018-08-29",13.2
"54","2018-08-30",13.01
"55","2018-08-31",13.05
"56","2018-09-04",12.48
"57","2018-09-05",12.21
"58","2018-09-06",11.75
"59","2018-09-07",11.6
"60","2018-09-10",11.02
"61","2018-09-11",10.34
"62","2018-09-12",10.2
"63","2018-09-13",9.99
"64","2018-09-14",9.75
"65","2018-09-17",9.03
"66","2018-09-18",8.3
"67","2018-09-19",7.53
"68","2018-09-20",8.31
"69","2018-09-21",9.1
"70","2018-09-24",9.36
"71","2018-09-25",8.59
"72","2018-09-26",8.25
"73","2018-09-27",8.72
"74","2018-09-28",8.74
"75","2018-10-01",8.83
"76","2018-10-02",8.86
"77","2018-10-03",9
"78","2018-10-04",9
"79","2018-10-05",9.09
"80","2018-10-08",8.6
"81","2018-10-09",8.8
"82","2018-10-10",8
"83","2018-10-11",7.15
"84","2018-10-12",7.74
"85","2018-10-15",7.8
"86","2018-10-16",8.42
"87","2018-10-17",8.43
"88","2018-10-18",8.36
"89","2018-10-19",9.1
"90","2018-10-22",9.25
"91","2018-10-23",8.95
"92","2018-10-24",8.55
"93","2018-10-25",8.82
"94","2018-10-26",8.7
"95","2018-10-29",8.32
"96","2018-10-30",7.38
"97","2018-10-31",7.36
"98","2018-11-01",7.57
