"","date","TRU"
"1","2015-06-25",25.4
"2","2015-06-26",24.85
"3","2015-06-29",24.370001
"4","2015-06-30",25.1
"5","2015-07-01",24.950001
"6","2015-07-02",25
"7","2015-07-06",24.77
"8","2015-07-07",24.59
"9","2015-07-08",24.42
"10","2015-07-09",24.33
"11","2015-07-10",24.450001
"12","2015-07-13",25.26
"13","2015-07-14",25.049999
"14","2015-07-15",24.75
"15","2015-07-16",24.780001
"16","2015-07-17",24.92
"17","2015-07-20",24.719999
"18","2015-07-21",24.870001
"19","2015-07-22",24.889999
"20","2015-07-23",25.25
"21","2015-07-24",24.85
"22","2015-07-27",24.389999
"23","2015-07-28",24.6
"24","2015-07-29",25.18
"25","2015-07-30",25.110001
"26","2015-07-31",25.1
"27","2015-08-03",25.27
"28","2015-08-04",25.74
"29","2015-08-05",26.65
"30","2015-08-06",26.57
"31","2015-08-07",26.24
"32","2015-08-10",26.35
"33","2015-08-11",26.15
"34","2015-08-12",26.139999
"35","2015-08-13",26
"36","2015-08-14",26.85
"37","2015-08-17",26.75
"38","2015-08-18",25.73
"39","2015-08-19",26.23
"40","2015-08-20",25.940001
"41","2015-08-21",25.41
"42","2015-08-24",24.129999
"43","2015-08-25",24.290001
"44","2015-08-26",24.99
"45","2015-08-27",25.52
"46","2015-08-28",25.76
"47","2015-08-31",25.860001
"48","2015-09-01",24.93
"49","2015-09-02",25.5
"50","2015-09-03",25.9
"51","2015-09-04",25.370001
"52","2015-09-08",25.780001
"53","2015-09-09",25.719999
"54","2015-09-10",25.610001
"55","2015-09-11",25.639999
"56","2015-09-14",25.35
"57","2015-09-15",25.780001
"58","2015-09-16",25.91
"59","2015-09-17",25.940001
"60","2015-09-18",24.700001
"61","2015-09-21",25.43
"62","2015-09-22",24.940001
"63","2015-09-23",25.18
"64","2015-09-24",25.15
"65","2015-09-25",25.559999
"66","2015-09-28",24.65
"67","2015-09-29",24.08
"68","2015-09-30",25.120001
"69","2015-10-01",24.540001
"70","2015-10-02",24.66
"71","2015-10-05",24.620001
"72","2015-10-06",24.530001
"73","2015-10-07",25.01
"74","2015-10-08",24.950001
"75","2015-10-09",25
"76","2015-10-12",24.85
"77","2015-10-13",24.809999
"78","2015-10-14",24.34
"79","2015-10-15",24.34
"80","2015-10-16",24.4
"81","2015-10-19",24.1
"82","2015-10-20",24.540001
"83","2015-10-21",24.08
"84","2015-10-22",23.190001
"85","2015-10-23",23.709999
"86","2015-10-26",24.110001
