"","date","RFP"
"1","2010-12-10",21.75
"2","2010-12-13",21.75
"3","2010-12-14",21.75
"4","2010-12-15",21.799999
"5","2010-12-16",21.75
"6","2010-12-17",22.200001
"7","2010-12-20",22.950001
"8","2010-12-21",23.799999
"9","2010-12-22",23.75
"10","2010-12-23",23.85
"11","2010-12-27",23.530001
"12","2010-12-28",23.48
"13","2010-12-29",23.559999
"14","2010-12-30",23.459999
"15","2010-12-31",23.67
"16","2011-01-03",23.450001
"17","2011-01-04",23.290001
"18","2011-01-05",23.440001
"19","2011-01-06",23.85
"20","2011-01-07",24
"21","2011-01-10",24.07
"22","2011-01-11",24.6
"23","2011-01-12",25.5
"24","2011-01-13",25.690001
"25","2011-01-14",25.35
"26","2011-01-18",26.65
"27","2011-01-19",26.76
"28","2011-01-20",26.440001
"29","2011-01-21",27.4
"30","2011-01-24",28.9
"31","2011-01-25",28.99
"32","2011-01-26",29.27
"33","2011-01-27",28.76
"34","2011-01-28",27.68
"35","2011-01-31",27.02
"36","2011-02-01",26.83
"37","2011-02-02",26.799999
"38","2011-02-03",26.549999
"39","2011-02-04",27.370001
"40","2011-02-07",28.290001
"41","2011-02-08",28.57
"42","2011-02-09",29.209999
"43","2011-02-10",29
"44","2011-02-11",29.49
"45","2011-02-14",30
"46","2011-02-15",29.200001
"47","2011-02-16",29.459999
"48","2011-02-17",29.49
"49","2011-02-18",29.530001
"50","2011-02-22",28.059999
"51","2011-02-23",27.23
"52","2011-02-24",27.790001
"53","2011-02-25",27.959999
"54","2011-02-28",27.99
"55","2011-03-01",27.08
"56","2011-03-02",27.719999
"57","2011-03-03",28.43
"58","2011-03-04",28.32
"59","2011-03-07",28.389999
"60","2011-03-08",28.639999
"61","2011-03-09",28.23
"62","2011-03-10",26.83
"63","2011-03-11",27.120001
"64","2011-03-14",27.120001
"65","2011-03-15",26.9
"66","2011-03-16",26.040001
"67","2011-03-17",25.889999
"68","2011-03-18",26.610001
"69","2011-03-21",27.190001
"70","2011-03-22",27.030001
"71","2011-03-23",27
"72","2011-03-24",26.959999
"73","2011-03-25",27.049999
"74","2011-03-28",26.9
"75","2011-03-29",27
"76","2011-03-30",27.049999
"77","2011-03-31",26.870001
"78","2011-04-01",26.959999
"79","2011-04-04",26.99
"80","2011-04-05",27.02
"81","2011-04-06",27.59
"82","2011-04-07",27.5
"83","2011-04-08",27.040001
"84","2011-04-11",26.620001
"85","2011-04-12",25.83
"86","2011-04-13",26.049999
"87","2011-04-14",26.08
"88","2011-04-15",25.940001
"89","2011-04-18",25.58
"90","2011-04-19",25.68
"91","2011-04-20",26
"92","2011-04-21",25.99
"93","2011-04-25",25.65
"94","2011-04-26",25.66
"95","2011-04-27",26.290001
"96","2011-04-28",27.07
"97","2011-04-29",26.719999
"98","2011-05-02",26.76
"99","2011-05-03",26.459999
"100","2011-05-04",26.139999
"101","2011-05-05",26.129999
"102","2011-05-06",26.290001
"103","2011-05-09",26.57
"104","2011-05-10",26.9
"105","2011-05-11",26.48
"106","2011-05-12",25.879999
"107","2011-05-13",25.75
"108","2011-05-16",26.200001
"109","2011-05-17",24.6
"110","2011-05-18",24.48
"111","2011-05-19",24.83
"112","2011-05-20",24.809999
"113","2011-05-23",23.25
"114","2011-05-24",24.15
"115","2011-05-25",23.6
"116","2011-05-26",23.9
"117","2011-05-27",24.32
"118","2011-05-31",24.799999
"119","2011-06-01",23.99
"120","2011-06-02",23.82
"121","2011-06-03",23.68
"122","2011-06-06",23.530001
"123","2011-06-07",23.610001
"124","2011-06-08",23.299999
"125","2011-06-09",23.41
"126","2011-06-10",22.629999
"127","2011-06-13",22.549999
"128","2011-06-14",22.799999
"129","2011-06-15",21.799999
"130","2011-06-16",21.389999
"131","2011-06-17",21.4
"132","2011-06-20",21.799999
"133","2011-06-21",22
"134","2011-06-22",22.09
"135","2011-06-23",21.879999
"136","2011-06-24",21.76
"137","2011-06-27",21.9
"138","2011-06-28",20.41
"139","2011-06-29",20.040001
"140","2011-06-30",20.299999
"141","2011-07-01",20.530001
"142","2011-07-05",20.540001
"143","2011-07-06",20.52
"144","2011-07-07",21.02
"145","2011-07-08",21
