"","date","FET"
"1","2012-04-12",435
"2","2012-04-13",430
"3","2012-04-16",434.799988
"4","2012-04-17",445
"5","2012-04-18",434
"6","2012-04-19",439.200012
"7","2012-04-20",441
"8","2012-04-23",440.200012
"9","2012-04-24",433.200012
"10","2012-04-25",429
"11","2012-04-26",436
"12","2012-04-27",447
"13","2012-04-30",462.399994
"14","2012-05-01",461.799988
"15","2012-05-02",465.799988
"16","2012-05-03",461.600006
"17","2012-05-04",455.799988
"18","2012-05-07",454.600006
"19","2012-05-08",444
"20","2012-05-09",439.799988
"21","2012-05-10",437
"22","2012-05-11",435.200012
"23","2012-05-14",431.200012
"24","2012-05-15",430.200012
"25","2012-05-16",428.600006
"26","2012-05-17",420
"27","2012-05-18",418.399994
"28","2012-05-21",432.799988
"29","2012-05-22",434.399994
"30","2012-05-23",426.799988
"31","2012-05-24",427.399994
"32","2012-05-25",427.600006
"33","2012-05-29",442.200012
"34","2012-05-30",432
"35","2012-05-31",429.600006
"36","2012-06-01",420.600006
"37","2012-06-04",401.399994
"38","2012-06-05",399.799988
"39","2012-06-06",400
"40","2012-06-07",415
"41","2012-06-08",416.600006
"42","2012-06-11",400
"43","2012-06-12",399.600006
"44","2012-06-13",398.399994
"45","2012-06-14",401.200012
"46","2012-06-15",401.600006
"47","2012-06-18",409.600006
"48","2012-06-19",415.399994
"49","2012-06-20",411.600006
"50","2012-06-21",395.799988
"51","2012-06-22",397.799988
"52","2012-06-25",393.600006
"53","2012-06-26",385
"54","2012-06-27",382.799988
"55","2012-06-28",386.200012
"56","2012-06-29",393.799988
"57","2012-07-02",393.200012
"58","2012-07-03",410
"59","2012-07-05",408.600006
"60","2012-07-06",400.200012
"61","2012-07-09",406
"62","2012-07-10",392
"63","2012-07-11",392.600006
"64","2012-07-12",388.200012
"65","2012-07-13",396.600006
"66","2012-07-16",391.200012
"67","2012-07-17",391.200012
"68","2012-07-18",389
"69","2012-07-19",391.799988
"70","2012-07-20",395.799988
"71","2012-07-23",395
"72","2012-07-24",387.600006
"73","2012-07-25",390.399994
"74","2012-07-26",416
"75","2012-07-27",408.600006
"76","2012-07-30",412
"77","2012-07-31",416.799988
"78","2012-08-01",422.200012
"79","2012-08-02",420
"80","2012-08-03",435.600006
"81","2012-08-06",441.799988
"82","2012-08-07",440.399994
"83","2012-08-08",439
"84","2012-08-09",428.200012
"85","2012-08-10",433.399994
"86","2012-08-13",432.799988
"87","2012-08-14",441.399994
"88","2012-08-15",445.200012
"89","2012-08-16",448
"90","2012-08-17",458
"91","2012-08-20",456
"92","2012-08-21",452.200012
"93","2012-08-22",438.399994
"94","2012-08-23",442.799988
"95","2012-08-24",459.600006
"96","2012-08-27",456.799988
"97","2012-08-28",468.399994
"98","2012-08-29",470.799988
"99","2012-08-30",468.399994
"100","2012-08-31",473.399994
"101","2012-09-04",471.399994
"102","2012-09-05",464.200012
"103","2012-09-06",479
"104","2012-09-07",482.799988
