"","date","WAFU"
"1","2019-04-30",4.1
"2","2019-05-01",4.63
"3","2019-05-02",4.6
"4","2019-05-03",4.51
"5","2019-05-06",4.35
"6","2019-05-07",3.95
"7","2019-05-08",4
"8","2019-05-09",3.95
"9","2019-05-10",3.8
"10","2019-05-13",3.8
"11","2019-05-14",3.88
"12","2019-05-15",3.9
"13","2019-05-16",3.99
"14","2019-05-17",3.51
"15","2019-05-20",3.71
"16","2019-05-21",3.56
"17","2019-05-22",3.7
"18","2019-05-23",3
"19","2019-05-24",3.24
"20","2019-05-28",3.35
"21","2019-05-29",3.5
"22","2019-05-30",2.86
"23","2019-05-31",3.55
"24","2019-06-03",3.15
"25","2019-06-04",2.67
"26","2019-06-05",3
"27","2019-06-06",3.08
"28","2019-06-07",2.67
"29","2019-06-10",3.1
"30","2019-06-11",2.75
"31","2019-06-12",2.84
"32","2019-06-13",2.6
"33","2019-06-14",2.45
"34","2019-06-17",2.59
"35","2019-06-18",3
"36","2019-06-19",2.74
"37","2019-06-20",3
"38","2019-06-21",2.71
"39","2019-06-24",2.85
"40","2019-06-25",2.55
"41","2019-06-26",2.95
"42","2019-06-27",2.937
"43","2019-06-28",2.93
"44","2019-07-01",3.12
"45","2019-07-02",2.8
"46","2019-07-03",3.12
"47","2019-07-05",3.05
"48","2019-07-08",3.29
"49","2019-07-09",3.42
"50","2019-07-10",3
"51","2019-07-11",2.99
"52","2019-07-12",3.2
"53","2019-07-15",3.01
"54","2019-07-16",3
"55","2019-07-17",3.06
"56","2019-07-18",3.156
"57","2019-07-19",3.32
"58","2019-07-22",3.124
"59","2019-07-23",3.14
"60","2019-07-24",3.11
"61","2019-07-25",3.04
"62","2019-07-26",2.98
"63","2019-07-29",2.91
"64","2019-07-30",2.96
"65","2019-07-31",3.17
"66","2019-08-01",3
"67","2019-08-02",2.97
"68","2019-08-05",3.095
"69","2019-08-06",3.1
"70","2019-08-07",2.68
"71","2019-08-08",2.68
"72","2019-08-09",2.48
"73","2019-08-12",2.389
"74","2019-08-13",2.34
"75","2019-08-14",2.34
"76","2019-08-15",2.325
"77","2019-08-16",2.45
"78","2019-08-19",2.24
"79","2019-08-20",2.439
"80","2019-08-21",2.22
"81","2019-08-22",2.67
"82","2019-08-23",2.472
"83","2019-08-26",2.703
"84","2019-08-27",2.799
"85","2019-08-28",2.75
"86","2019-08-29",2.65
"87","2019-08-30",2.82
"88","2019-09-03",2.84
"89","2019-09-04",2.8
"90","2019-09-05",2.82
"91","2019-09-06",2.83
"92","2019-09-09",2.82
"93","2019-09-10",2.952
"94","2019-09-11",3.4
"95","2019-09-12",3.56
"96","2019-09-13",4.09
"97","2019-09-16",4.102
"98","2019-09-17",4
"99","2019-09-18",3.4
"100","2019-09-19",3.31
"101","2019-09-20",3.42
"102","2019-09-23",3.42
"103","2019-09-24",3.2
"104","2019-09-25",3.31
"105","2019-09-26",3.356
"106","2019-09-27",2.96
"107","2019-09-30",3
"108","2019-10-01",2.82
"109","2019-10-02",2.8
"110","2019-10-03",2.8
"111","2019-10-04",2.59
"112","2019-10-07",2.36
"113","2019-10-08",2.4
"114","2019-10-09",2.768
"115","2019-10-10",2.8
"116","2019-10-11",2.462
"117","2019-10-14",2.297
"118","2019-10-15",2.41
"119","2019-10-16",2.41
"120","2019-10-17",2.51
"121","2019-10-18",2.73
"122","2019-10-21",2.73
"123","2019-10-22",2.58
"124","2019-10-23",2.58
"125","2019-10-24",2.6
"126","2019-10-25",2.611
"127","2019-10-28",2.77
"128","2019-10-29",2.429
"129","2019-10-30",2.6
"130","2019-10-31",2.3
"131","2019-11-01",2.253
"132","2019-11-04",2.2
"133","2019-11-05",2.29
"134","2019-11-06",2.2
"135","2019-11-07",2.17
"136","2019-11-08",2.165
"137","2019-11-11",1.454
"138","2019-11-12",1.43
"139","2019-11-13",1.51
"140","2019-11-14",1.494
"141","2019-11-15",1.428
"142","2019-11-18",1.415
"143","2019-11-19",1.415
"144","2019-11-20",1.26
"145","2019-11-21",2.75
"146","2019-11-22",2.76
"147","2019-11-25",2.45
"148","2019-11-26",2.21
"149","2019-11-27",1.98
"150","2019-11-29",1.98
"151","2019-12-02",1.83
"152","2019-12-03",1.73
"153","2019-12-04",1.72
"154","2019-12-05",1.65
"155","2019-12-06",1.839
"156","2019-12-09",1.77
"157","2019-12-10",1.663
"158","2019-12-11",1.77
"159","2019-12-12",1.753
"160","2019-12-13",1.77
"161","2019-12-16",1.77
"162","2019-12-17",1.751
"163","2019-12-18",1.68
"164","2019-12-19",1.68
"165","2019-12-20",1.771
"166","2019-12-23",1.72
"167","2019-12-24",1.7
"168","2019-12-26",1.708
"169","2019-12-27",1.65
"170","2019-12-30",1.64
"171","2019-12-31",1.5
"172","2020-01-02",1.5
"173","2020-01-03",1.63
"174","2020-01-06",1.6
"175","2020-01-07",1.691
"176","2020-01-08",2.27
"177","2020-01-09",2.56
"178","2020-01-10",2.51
"179","2020-01-13",2.5
"180","2020-01-14",2.33
"181","2020-01-15",2.54
"182","2020-01-16",2.42
"183","2020-01-17",2.45
"184","2020-01-21",2.44
"185","2020-01-22",2.15
"186","2020-01-23",2.05
"187","2020-01-24",2
"188","2020-01-27",1.96
"189","2020-01-28",1.97
"190","2020-01-29",1.94
"191","2020-01-30",1.89
"192","2020-01-31",1.86
"193","2020-02-03",1.869
"194","2020-02-04",1.83
"195","2020-02-05",2.47
"196","2020-02-06",2.2
"197","2020-02-07",2.2
"198","2020-02-10",2.32
"199","2020-02-11",2.29
"200","2020-02-12",2.29
"201","2020-02-13",2.226
"202","2020-02-14",2.16
"203","2020-02-18",2.131
"204","2020-02-19",2.3
"205","2020-02-20",2.333
"206","2020-02-21",2.28
"207","2020-02-24",2.24
"208","2020-02-25",2.17
"209","2020-02-26",2.34
"210","2020-02-27",2.57
"211","2020-02-28",2.4
"212","2020-03-02",2.22
"213","2020-03-03",2.3
"214","2020-03-04",2.64
"215","2020-03-05",2.46
