"","date","ADTX"
"1","2020-06-30",5.06
"2","2020-07-01",4.55
"3","2020-07-02",4.02
"4","2020-07-06",3.7
"5","2020-07-07",3.85
"6","2020-07-08",3.77
"7","2020-07-09",3.62
"8","2020-07-10",3.2
"9","2020-07-13",3.4
"10","2020-07-14",3.1
"11","2020-07-15",3.07
"12","2020-07-16",3.48
"13","2020-07-17",3.54
"14","2020-07-20",3.97
"15","2020-07-21",4.32
"16","2020-07-22",4.25
"17","2020-07-23",3.8
"18","2020-07-24",4.01
"19","2020-07-27",4.6
"20","2020-07-28",3.99
"21","2020-07-29",3.83
"22","2020-07-30",3.8
"23","2020-07-31",3.76
"24","2020-08-03",4.09
"25","2020-08-04",4.08
"26","2020-08-05",3.93
"27","2020-08-06",7.6
"28","2020-08-07",5.85
"29","2020-08-10",5.94
"30","2020-08-11",5.03
"31","2020-08-12",4.69
"32","2020-08-13",4.54
"33","2020-08-14",4.56
"34","2020-08-17",4.59
"35","2020-08-18",4.48
"36","2020-08-19",4.45
"37","2020-08-20",4.14
"38","2020-08-21",4.07
"39","2020-08-24",3.69
"40","2020-08-25",3.74
"41","2020-08-26",3.78
"42","2020-08-27",3.84
"43","2020-08-28",3.88
"44","2020-08-31",3.21
"45","2020-09-01",3.19
"46","2020-09-02",2.67
"47","2020-09-03",2.5
"48","2020-09-04",2.36
"49","2020-09-08",2.16
"50","2020-09-09",2.14
"51","2020-09-10",2
"52","2020-09-11",1.87
"53","2020-09-14",2.1
"54","2020-09-15",2.01
"55","2020-09-16",1.96
"56","2020-09-17",1.98
"57","2020-09-18",1.94
"58","2020-09-21",1.99
"59","2020-09-22",2.11
"60","2020-09-23",1.92
"61","2020-09-24",1.705
"62","2020-09-25",1.83
"63","2020-09-28",1.79
"64","2020-09-29",1.86
"65","2020-09-30",1.95
"66","2020-10-01",1.97
"67","2020-10-02",1.98
"68","2020-10-05",2.02
"69","2020-10-06",1.99
"70","2020-10-07",1.965
"71","2020-10-08",1.93
"72","2020-10-09",1.9
"73","2020-10-12",1.92
"74","2020-10-13",1.94
"75","2020-10-14",1.95
"76","2020-10-15",1.95
"77","2020-10-16",2.2
"78","2020-10-19",2.18
"79","2020-10-20",2.01
"80","2020-10-21",2.15
"81","2020-10-22",2.28
"82","2020-10-23",2.21
"83","2020-10-26",2.15
"84","2020-10-27",2.11
"85","2020-10-28",1.966
"86","2020-10-29",2
"87","2020-10-30",1.92
"88","2020-11-02",1.92
"89","2020-11-03",1.95
"90","2020-11-04",1.94
"91","2020-11-05",2.08
"92","2020-11-06",2
"93","2020-11-09",1.89
"94","2020-11-10",1.91
"95","2020-11-11",1.91
"96","2020-11-12",1.92
"97","2020-11-13",1.97
"98","2020-11-16",1.95
"99","2020-11-17",1.89
"100","2020-11-18",1.93
"101","2020-11-19",2.04
"102","2020-11-20",1.95
"103","2020-11-23",1.91
"104","2020-11-24",1.91
"105","2020-11-25",1.95
"106","2020-11-27",1.97
