"","date","LEVL"
"1","2018-04-20",29.26
"2","2018-04-23",28.5
"3","2018-04-24",28.51
"4","2018-04-25",28.549999
"5","2018-04-26",28.870001
"6","2018-04-27",28.76
"7","2018-04-30",29
"8","2018-05-01",28.98
"9","2018-05-02",28.99
"10","2018-05-03",28.889999
"11","2018-05-04",28.76
"12","2018-05-07",28.799999
"13","2018-05-08",28.98
"14","2018-05-09",28.91
"15","2018-05-10",28.799999
"16","2018-05-11",28.93
"17","2018-05-14",28.85
"18","2018-05-15",28.870001
"19","2018-05-16",28.76
"20","2018-05-17",28.709999
"21","2018-05-18",28.65
"22","2018-05-21",28.775
"23","2018-05-22",28.799999
"24","2018-05-23",28.76
"25","2018-05-24",28.75
"26","2018-05-25",28.43
"27","2018-05-29",28.59
"28","2018-05-30",28.75
"29","2018-05-31",28.42
"30","2018-06-01",28.52
"31","2018-06-04",28.52
"32","2018-06-05",28.25
"33","2018-06-06",28.530001
"34","2018-06-07",28.07
"35","2018-06-08",27.6
"36","2018-06-11",27.75
"37","2018-06-12",27.629999
"38","2018-06-13",27.74
"39","2018-06-14",27.629999
"40","2018-06-15",27.1
"41","2018-06-18",27.1
"42","2018-06-19",27.299999
"43","2018-06-20",27.32
"44","2018-06-21",27.17
"45","2018-06-22",27.549999
"46","2018-06-25",27.6
"47","2018-06-26",27.32
"48","2018-06-27",27.030001
"49","2018-06-28",27.02
"50","2018-06-29",27.18
"51","2018-07-02",27.129999
"52","2018-07-03",26.959999
"53","2018-07-05",27.469999
"54","2018-07-06",27.15
"55","2018-07-09",27.299999
"56","2018-07-10",27.559999
"57","2018-07-11",27.780001
"58","2018-07-12",27.879999
"59","2018-07-13",27.709999
"60","2018-07-16",27.799999
"61","2018-07-17",28.15
"62","2018-07-18",28.120001
"63","2018-07-19",27.93
"64","2018-07-20",27.5
"65","2018-07-23",27.84
"66","2018-07-24",27.700001
"67","2018-07-25",27.549999
"68","2018-07-26",27.75
"69","2018-07-27",27.57
"70","2018-07-30",27.6
"71","2018-07-31",27.5
"72","2018-08-01",27.65
"73","2018-08-02",27.719999
"74","2018-08-03",27.75
"75","2018-08-06",27.73
"76","2018-08-07",27.68
