"","date","IRWD"
"187","2010-10-28",9.472362
"188","2010-10-29",9.37186
"189","2010-11-01",8.852596
"190","2010-11-02",8.9866
"191","2010-11-03",8.953099
"192","2010-11-04",8.944724
"193","2010-11-05",9.053601
"194","2010-11-08",9.070352
"195","2010-11-09",8.978225
"196","2010-11-10",9.036851
"197","2010-11-11",9.078727
"198","2010-11-12",9.112227
"199","2010-11-15",9.204355
"200","2010-11-16",9.145729
"201","2010-11-17",9.19598
"202","2010-11-18",9.103852
"203","2010-11-19",9.028476
"204","2010-11-22",9.095477
"205","2010-11-23",9.087102
"206","2010-11-24",9.078727
"207","2010-11-26",9.112227
"208","2010-11-29",9.053601
"209","2010-11-30",8.953099
"210","2010-12-01",9.028476
"211","2010-12-02",8.96985
"212","2010-12-03",9.112227
"213","2010-12-06",9.128978
"214","2010-12-07",9.112227
"215","2010-12-08",8.994975
"216","2010-12-09",8.9866
"217","2010-12-10",9.078727
"218","2010-12-13",9.095477
"219","2010-12-14",8.994975
"220","2010-12-15",9.078727
"221","2010-12-16",9.020101
"222","2010-12-17",9.070352
"223","2010-12-20",9.078727
"224","2010-12-21",9.070352
"225","2010-12-22",9.112227
"226","2010-12-23",8.953099
"227","2010-12-27",9.020101
"228","2010-12-28",8.802345
"229","2010-12-29",8.509212
"230","2010-12-30",8.668342
"231","2010-12-31",8.668342
"232","2011-01-03",8.726968
"233","2011-01-04",8.894472
"234","2011-01-05",9.095477
"235","2011-01-06",8.944724
"236","2011-01-07",9.011725
"237","2011-01-10",9.053601
"238","2011-01-11",9.137354
"239","2011-01-12",9.103852
"240","2011-01-13",9.078727
"241","2011-01-14",9.489112
"242","2011-01-18",9.58124
"243","2011-01-19",9.321608
"244","2011-01-20",9.396985
"245","2011-01-21",9.447236
"246","2011-01-24",9.438861
"247","2011-01-25",9.162479
"248","2011-01-26",9.338359
"249","2011-01-27",9.304857
"250","2011-01-28",9.21273
"251","2011-01-31",9.036851
"252","2011-02-01",9.304857
"253","2011-02-02",9.329984
"254","2011-02-03",9.572865
"255","2011-02-04",9.514237
"256","2011-02-07",9.514237
"257","2011-02-08",9.681742
"258","2011-02-09",9.673367
"259","2011-02-10",9.798995
"260","2011-02-11",10.025126
"261","2011-02-14",10.033501
"262","2011-02-15",9.924623
"263","2011-02-16",10.041876
"264","2011-02-17",10.201005
"265","2011-02-18",10.259631
"266","2011-02-22",9.941374
"267","2011-02-23",9.857621
"268","2011-02-24",9.941374
"269","2011-02-25",10.22613
"270","2011-02-28",10.242881
"271","2011-03-01",10.259631
"272","2011-03-02",10.284757
"273","2011-03-03",10.502513
"274","2011-03-04",10.301508
"275","2011-03-07",10.041876
"276","2011-03-08",10.259631
"277","2011-03-09",10.20938
"278","2011-03-10",9.966499
"279","2011-03-11",10.20938
"280","2011-03-14",10.251256
"281","2011-03-15",10.083752
"282","2011-03-16",10.259631
"283","2011-03-17",10.485763
"284","2011-03-18",11.365159
"285","2011-03-21",11.122278
"286","2011-03-22",11.18928
