"","date","PIXY"
"1","2017-06-30",308
"2","2017-07-03",360
"3","2017-07-05",345.600006
"4","2017-07-06",326.399994
"5","2017-07-07",407.200012
"6","2017-07-10",390.399994
"7","2017-07-11",380.399994
"8","2017-07-12",370.880005
"9","2017-07-13",412.799988
"10","2017-07-14",408
"11","2017-07-17",391.600006
"12","2017-07-18",309.600006
"13","2017-07-19",280.399994
"14","2017-07-20",265.600006
"15","2017-07-21",258.399994
"16","2017-07-24",251.199997
"17","2017-07-25",260.799988
"18","2017-07-26",254.399994
"19","2017-07-27",249.600006
"20","2017-07-28",253.600006
"21","2017-07-31",229.600006
"22","2017-08-01",189.199997
"23","2017-08-02",172
"24","2017-08-03",196.800003
"25","2017-08-04",183.199997
"26","2017-08-07",168.399994
"27","2017-08-08",180.399994
"28","2017-08-09",180
"29","2017-08-10",164
"30","2017-08-11",155.199997
"31","2017-08-14",145.199997
"32","2017-08-15",149.600006
"33","2017-08-16",146
"34","2017-08-17",159.199997
"35","2017-08-18",164
"36","2017-08-21",157.199997
"37","2017-08-22",148.399994
"38","2017-08-23",151.199997
"39","2017-08-24",152
"40","2017-08-25",158.399994
"41","2017-08-28",160
"42","2017-08-29",154.800003
"43","2017-08-30",157.600006
"44","2017-08-31",164.399994
"45","2017-09-01",167.199997
"46","2017-09-05",154.399994
"47","2017-09-06",163.600006
"48","2017-09-07",160.800003
"49","2017-09-08",160.399994
"50","2017-09-11",166.800003
"51","2017-09-12",166
"52","2017-09-13",170.800003
"53","2017-09-14",161.600006
"54","2017-09-15",155.199997
"55","2017-09-18",150.399994
"56","2017-09-19",148.399994
"57","2017-09-20",148.399994
"58","2017-09-21",149.600006
"59","2017-09-22",148.399994
"60","2017-09-25",127.199997
"61","2017-09-26",112.800003
"62","2017-09-27",111.599998
"63","2017-09-28",114
"64","2017-09-29",118
"65","2017-10-02",129.600006
"66","2017-10-03",128.399994
"67","2017-10-04",124
"68","2017-10-05",127.199997
"69","2017-10-06",123.599998
"70","2017-10-09",120
"71","2017-10-10",116.400002
"72","2017-10-11",116.400002
"73","2017-10-12",108.400002
"74","2017-10-13",101.599998
"75","2017-10-16",93.599998
"76","2017-10-17",91.599998
"77","2017-10-18",98.800003
"78","2017-10-19",105.199997
"79","2017-10-20",115.599998
"80","2017-10-23",107.599998
"81","2017-10-24",108
"82","2017-10-25",99.199997
"83","2017-10-26",101.199997
"84","2017-10-27",127.199997
"85","2017-10-30",126.400002
"86","2017-10-31",128.399994
"87","2017-11-01",124
"88","2017-11-02",100.800003
"89","2017-11-03",95.199997
"90","2017-11-06",106
"91","2017-11-07",130
"92","2017-11-08",127.199997
"93","2017-11-09",122.400002
"94","2017-11-10",114.800003
"95","2017-11-13",115.599998
"96","2017-11-14",111.199997
"97","2017-11-15",116.400002
"98","2017-11-16",112.400002
"99","2017-11-17",120
"100","2017-11-20",121.199997
"101","2017-11-21",121.599998
"102","2017-11-22",120
"103","2017-11-24",120.400002
"104","2017-11-27",112.400002
"105","2017-11-28",112
"106","2017-11-29",115.599998
"107","2017-11-30",106.400002
"108","2017-12-01",99.199997
"109","2017-12-04",92
"110","2017-12-05",87.199997
"111","2017-12-06",80
"112","2017-12-07",84.800003
"113","2017-12-08",82
"114","2017-12-11",85.199997
"115","2017-12-12",99.599998
"116","2017-12-13",94.800003
"117","2017-12-14",88.360001
"118","2017-12-15",156
"119","2017-12-18",166.800003
"120","2017-12-19",147.199997
"121","2017-12-20",130.800003
"122","2017-12-21",139.600006
"123","2017-12-22",139.600006
"124","2017-12-26",134.399994
"125","2017-12-27",131.199997
"126","2017-12-28",122.800003
"127","2017-12-29",115.199997
"128","2018-01-02",127.199997
"129","2018-01-03",124.800003
"130","2018-01-04",126
"131","2018-01-05",124.400002
"132","2018-01-08",124.800003
"133","2018-01-09",140
"134","2018-01-10",132
"135","2018-01-11",131.600006
"136","2018-01-12",134.800003
"137","2018-01-16",130.399994
"138","2018-01-17",134
"139","2018-01-18",135.600006
"140","2018-01-19",153.199997
