"","date","LFC"
"1","2007-01-03",18.583334
"2","2007-01-04",17.616667
"3","2007-01-05",16.023333
"4","2007-01-08",17.969999
"5","2007-01-09",16.120001
"6","2007-01-10",15.5
"7","2007-01-11",15.15
"8","2007-01-12",15.62
"9","2007-01-16",16.309999
"10","2007-01-17",16.206667
"11","2007-01-18",15.896667
"12","2007-01-19",15.563334
"13","2007-01-22",15.703333
"14","2007-01-23",15.566667
"15","2007-01-24",15.546667
"16","2007-01-25",14.506667
"17","2007-01-26",15.146667
"18","2007-01-29",14.8
"19","2007-01-30",15.276667
"20","2007-01-31",14.726666
"21","2007-02-01",14.506667
"22","2007-02-02",14.426666
"23","2007-02-05",14.616667
"24","2007-02-06",15.016666
"25","2007-02-07",15.12
"26","2007-02-08",15.35
"27","2007-02-09",15.15
"28","2007-02-12",15.116667
"29","2007-02-13",15.013333
"30","2007-02-14",14.996667
"31","2007-02-15",14.833333
"32","2007-02-16",14.956667
"33","2007-02-20",14.966666
"34","2007-02-21",14.803333
"35","2007-02-22",14.65
"36","2007-02-23",14.426666
"37","2007-02-26",14.066667
"38","2007-02-27",12.826667
"39","2007-02-28",13.22
"40","2007-03-01",12.766666
"41","2007-03-02",12.586667
"42","2007-03-05",12.233334
"43","2007-03-06",13.13
"44","2007-03-07",13.113334
"45","2007-03-08",13.76
"46","2007-03-09",13.826667
"47","2007-03-12",13.92
"48","2007-03-13",13.15
"49","2007-03-14",13.406667
"50","2007-03-15",13.316667
"51","2007-03-16",13.386666
"52","2007-03-19",14
"53","2007-03-20",14.14
"54","2007-03-21",14.496667
"55","2007-03-22",14.31
"56","2007-03-23",14.22
"57","2007-03-26",14.36
"58","2007-03-27",14.14
"59","2007-03-28",14.02
"60","2007-03-29",14.54
"61","2007-03-30",14.296667
"62","2007-04-02",14.4
"63","2007-04-03",14.64
"64","2007-04-04",14.623333
"65","2007-04-05",14.5
"66","2007-04-09",14.743333
"67","2007-04-10",14.923333
"68","2007-04-11",15.196667
"69","2007-04-12",15.94
"70","2007-04-13",16.286667
"71","2007-04-16",16.51
"72","2007-04-17",16.003334
"73","2007-04-18",16
"74","2007-04-19",15.623333
"75","2007-04-20",16.036667
"76","2007-04-23",16.036667
"77","2007-04-24",16.129999
"78","2007-04-25",16.223333
"79","2007-04-26",16.086666
"80","2007-04-27",15.833333
"81","2007-04-30",15.446667
"82","2007-05-01",15.443334
"83","2007-05-02",15.57
"84","2007-05-03",15.683333
"85","2007-05-04",15.9
