"","date","UFI"
"1","2007-01-03",7.17
"2","2007-01-04",6.87
"3","2007-01-05",6.93
"4","2007-01-08",6.81
"5","2007-01-09",7.14
"6","2007-01-10",6.78
"7","2007-01-11",5.58
"8","2007-01-12",6.03
"9","2007-01-16",5.97
"10","2007-01-17",5.88
"11","2007-01-18",5.85
"12","2007-01-19",5.79
"13","2007-01-22",5.85
"14","2007-01-23",5.76
"15","2007-01-24",5.73
"16","2007-01-25",6.99
"17","2007-01-26",7.38
"18","2007-01-29",7.29
"19","2007-01-30",7.47
"20","2007-01-31",8.13
"21","2007-02-01",8.34
"22","2007-02-02",8.58
"23","2007-02-05",8.82
"24","2007-02-06",8.76
"25","2007-02-07",8.88
"26","2007-02-08",8.67
"27","2007-02-09",8.67
"28","2007-02-12",8.64
"29","2007-02-13",8.7
"30","2007-02-14",8.49
"31","2007-02-15",8.52
"32","2007-02-16",8.49
"33","2007-02-20",8.13
"34","2007-02-21",8.4
"35","2007-02-22",8.37
"36","2007-02-23",8.55
"37","2007-02-26",8.37
"38","2007-02-27",8.1
"39","2007-02-28",8.19
"40","2007-03-01",8.25
"41","2007-03-02",8.1
"42","2007-03-05",8.1
"43","2007-03-06",8.22
"44","2007-03-07",8.31
"45","2007-03-08",8.46
"46","2007-03-09",8.37
"47","2007-03-12",8.31
"48","2007-03-13",8.31
"49","2007-03-14",8.13
"50","2007-03-15",8.13
"51","2007-03-16",8.1
"52","2007-03-19",8.28
"53","2007-03-20",8.31
"54","2007-03-21",8.28
"55","2007-03-22",8.61
"56","2007-03-23",8.58
"57","2007-03-26",8.43
"58","2007-03-27",8.58
"59","2007-03-28",8.43
"60","2007-03-29",8.58
"61","2007-03-30",8.64
"62","2007-04-02",8.64
"63","2007-04-03",8.67
"64","2007-04-04",8.82
"65","2007-04-05",9.03
"66","2007-04-09",9.03
"67","2007-04-10",9.03
"68","2007-04-11",9.15
"69","2007-04-12",9.15
"70","2007-04-13",9.21
"71","2007-04-16",9
"72","2007-04-17",9.03
"73","2007-04-18",8.88
"74","2007-04-19",8.94
"75","2007-04-20",8.94
"76","2007-04-23",8.94
"77","2007-04-24",9
"78","2007-04-25",8.94
"79","2007-04-26",8.85
"80","2007-04-27",8.25
"81","2007-04-30",8.34
"82","2007-05-01",7.98
"83","2007-05-02",7.95
"84","2007-05-03",7.92
"85","2007-05-04",7.65
"86","2007-05-07",7.95
"87","2007-05-08",7.47
"88","2007-05-09",7.65
"89","2007-05-10",7.95
"90","2007-05-11",7.98
"91","2007-05-14",7.98
"92","2007-05-15",8.34
"93","2007-05-16",8.28
"94","2007-05-17",8.22
"95","2007-05-18",8.01
"96","2007-05-21",8.76
"97","2007-05-22",8.4
"98","2007-05-23",8.34
"99","2007-05-24",8.43
"100","2007-05-25",8.16
"101","2007-05-29",8.73
"102","2007-05-30",8.94
"103","2007-05-31",9.03
"104","2007-06-01",8.97
"105","2007-06-04",8.97
"106","2007-06-05",8.58
"107","2007-06-06",8.82
"108","2007-06-07",8.52
"109","2007-06-08",8.7
"110","2007-06-11",8.07
"111","2007-06-12",7.89
"112","2007-06-13",8.16
"113","2007-06-14",8.25
"114","2007-06-15",8.43
"115","2007-06-18",8.55
"116","2007-06-19",8.22
"117","2007-06-20",8.34
"118","2007-06-21",8.25
"119","2007-06-22",8.37
"120","2007-06-25",8.1
"121","2007-06-26",7.86
"122","2007-06-27",7.95
"123","2007-06-28",7.8
"124","2007-06-29",7.86
"125","2007-07-02",7.74
"126","2007-07-03",7.68
"127","2007-07-05",7.59
"128","2007-07-06",7.59
"129","2007-07-09",7.62
"130","2007-07-10",7.62
"131","2007-07-11",7.5
"132","2007-07-12",7.47
"133","2007-07-13",7.44
"134","2007-07-16",7.35
"135","2007-07-17",7.47
"136","2007-07-18",7.44
"137","2007-07-19",7.35
"138","2007-07-20",7.23
"139","2007-07-23",7.2
"140","2007-07-24",7.2
"141","2007-07-25",7.26
"142","2007-07-26",7.05
"143","2007-07-27",6.81
"144","2007-07-30",6.93
"145","2007-07-31",6.81
"146","2007-08-01",6.03
"147","2007-08-02",6.39
"148","2007-08-03",6.33
"149","2007-08-06",6
"150","2007-08-07",6.15
"151","2007-08-08",6.48
"152","2007-08-09",6.3
"153","2007-08-10",6
"154","2007-08-13",6.18
"155","2007-08-14",5.91
"156","2007-08-15",6
"157","2007-08-16",6.15
"158","2007-08-17",6.72
"159","2007-08-20",6.45
"160","2007-08-21",6.36
"161","2007-08-22",6.45
"162","2007-08-23",6.78
"163","2007-08-24",7.05
"164","2007-08-27",7.05
"165","2007-08-28",6.96
"166","2007-08-29",7.08
"167","2007-08-30",7.11
"168","2007-08-31",7.26
"169","2007-09-04",7.32
"170","2007-09-05",7.26
"171","2007-09-06",7.2
"172","2007-09-07",7.29
"173","2007-09-10",6.93
"174","2007-09-11",6.36
"175","2007-09-12",6.81
"176","2007-09-13",6.27
"177","2007-09-14",6.54
"178","2007-09-17",6.69
"179","2007-09-18",6.9
"180","2007-09-19",7.17
"181","2007-09-20",7.47
"182","2007-09-21",7.65
"183","2007-09-24",7.86
"184","2007-09-25",7.98
"185","2007-09-26",7.8
"186","2007-09-27",8.04
"187","2007-09-28",8.25
"188","2007-10-01",7.62
