"","date","SYPR"
"1","2007-01-03",6.98
"2","2007-01-04",7.01
"3","2007-01-05",6.99
"4","2007-01-08",6.97
"5","2007-01-09",6.98
"6","2007-01-10",6.97
"7","2007-01-11",6.81
"8","2007-01-12",6.8
"9","2007-01-16",6.54
"10","2007-01-17",6.56
"11","2007-01-18",6.62
"12","2007-01-19",6.52
"13","2007-01-22",6.48
"14","2007-01-23",6.78
"15","2007-01-24",7
"16","2007-01-25",6.72
"17","2007-01-26",6.77
"18","2007-01-29",6.55
"19","2007-01-30",6.32
"20","2007-01-31",6.29
"21","2007-02-01",6.28
"22","2007-02-02",6.3
"23","2007-02-05",6.25
"24","2007-02-06",6.21
"25","2007-02-07",6.18
"26","2007-02-08",6.19
"27","2007-02-09",6.06
"28","2007-02-12",6.05
"29","2007-02-13",6.04
"30","2007-02-14",6.18
"31","2007-02-15",6.03
"32","2007-02-16",6.05
"33","2007-02-20",6.13
"34","2007-02-21",6.33
"35","2007-02-22",6.05
"36","2007-02-23",6.2
"37","2007-02-26",6.05
"38","2007-02-27",6.11
"39","2007-02-28",6.09
"40","2007-03-01",6.11
"41","2007-03-02",6.18
"42","2007-03-05",6.18
"43","2007-03-06",6.09
"44","2007-03-07",6.18
"45","2007-03-08",6.82
"46","2007-03-09",6.61
"47","2007-03-12",6.71
"48","2007-03-13",6.56
"49","2007-03-14",6.53
"50","2007-03-15",6.35
"51","2007-03-16",6.4
"52","2007-03-19",6.27
"53","2007-03-20",6.25
"54","2007-03-21",6.21
"55","2007-03-22",6.22
"56","2007-03-23",6.2
"57","2007-03-26",6.21
"58","2007-03-27",6.2
"59","2007-03-28",7.14
"60","2007-03-29",6.73
"61","2007-03-30",6.47
"62","2007-04-02",6.69
"63","2007-04-03",6.62
"64","2007-04-04",6.94
"65","2007-04-05",6.75
"66","2007-04-09",6.55
"67","2007-04-10",6.46
"68","2007-04-11",6.73
"69","2007-04-12",6.65
"70","2007-04-13",6.67
"71","2007-04-16",6.68
"72","2007-04-17",6.66
"73","2007-04-18",6.62
"74","2007-04-19",6.9
