"","date","DPHC"
"1","2019-04-17",9.74
"2","2019-04-18",9.74
"3","2019-04-22",9.74
"4","2019-04-23",9.74
"5","2019-04-24",9.74
"6","2019-04-25",9.74
"7","2019-04-26",9.74
"8","2019-04-29",9.74
"9","2019-04-30",9.74
"10","2019-05-01",9.74
"11","2019-05-02",9.74
"12","2019-05-03",9.74
"13","2019-05-06",9.81
"14","2019-05-07",9.81
"15","2019-05-08",9.81
"16","2019-05-09",9.81
"17","2019-05-10",9.81
"18","2019-05-13",9.81
"19","2019-05-14",9.81
"20","2019-05-15",9.81
"21","2019-05-16",9.81
"22","2019-05-17",9.81
"23","2019-05-20",9.81
"24","2019-05-21",9.81
"25","2019-05-22",9.81
"26","2019-05-23",9.81
"27","2019-05-24",9.81
"28","2019-05-28",9.81
"29","2019-05-29",9.81
"30","2019-05-30",9.81
"31","2019-05-31",9.81
"32","2019-06-03",9.81
"33","2019-06-04",9.81
"34","2019-06-05",9.81
"35","2019-06-06",9.81
"36","2019-06-07",9.81
"37","2019-06-10",9.81
"38","2019-06-11",9.81
"39","2019-06-12",9.81
"40","2019-06-13",9.81
"41","2019-06-14",9.81
"42","2019-06-17",9.81
"43","2019-06-18",9.71
"44","2019-06-19",9.72
"45","2019-06-20",9.72
"46","2019-06-21",9.72
"47","2019-06-24",9.72
"48","2019-06-25",9.72
"49","2019-06-26",9.72
"50","2019-06-27",9.72
"51","2019-06-28",9.72
"52","2019-07-01",9.72
"53","2019-07-02",9.72
"54","2019-07-03",9.72
"55","2019-07-05",9.72
"56","2019-07-08",9.72
"57","2019-07-09",9.72
"58","2019-07-10",9.72
"59","2019-07-11",9.72
"60","2019-07-12",9.72
"61","2019-07-15",9.72
"62","2019-07-16",9.77
"63","2019-07-17",9.77
"64","2019-07-18",9.77
"65","2019-07-19",9.77
"66","2019-07-22",9.77
"67","2019-07-23",9.77
"68","2019-07-24",9.77
"69","2019-07-25",9.77
"70","2019-07-26",9.77
"71","2019-07-29",9.77
"72","2019-07-30",9.77
"73","2019-07-31",9.77
"74","2019-08-01",9.77
"75","2019-08-02",9.82
"76","2019-08-05",9.82
"77","2019-08-06",9.82
"78","2019-08-07",9.78
"79","2019-08-08",9.78
"80","2019-08-09",9.78
"81","2019-08-12",9.78
"82","2019-08-13",9.78
"83","2019-08-14",9.78
"84","2019-08-15",9.78
"85","2019-08-16",9.78
"86","2019-08-19",9.79
"87","2019-08-20",9.9
"88","2019-08-21",9.9
"89","2019-08-22",9.9
"90","2019-08-23",9.9
"91","2019-08-26",9.9
"92","2019-08-27",9.9
"93","2019-08-28",9.9
"94","2019-08-29",9.9
"95","2019-08-30",9.9
"96","2019-09-03",9.9
"97","2019-09-04",9.9
"98","2019-09-05",9.9
"99","2019-09-06",9.9
"100","2019-09-09",9.9
"101","2019-09-10",9.9
"102","2019-09-11",9.9
"103","2019-09-12",9.9
"104","2019-09-13",9.9
"105","2019-09-16",9.9
"106","2019-09-17",9.9
"107","2019-09-18",9.9
