"","date","ECHO"
"1","2009-10-02",14.06
"2","2009-10-05",14
"3","2009-10-06",14
"4","2009-10-07",13.51
"5","2009-10-08",12.98
"6","2009-10-09",12.87
"7","2009-10-12",12.38
"8","2009-10-13",12.1
"9","2009-10-14",12.05
"10","2009-10-15",12.27
"11","2009-10-16",12.5
"12","2009-10-19",12.61
"13","2009-10-20",12.62
"14","2009-10-21",12.68
"15","2009-10-22",12.88
"16","2009-10-23",12.87
"17","2009-10-26",12.83
"18","2009-10-27",12.96
"19","2009-10-28",12.9
"20","2009-10-29",13.12
"21","2009-10-30",13.05
"22","2009-11-02",13.24
"23","2009-11-03",13.65
"24","2009-11-04",14.18
"25","2009-11-05",14.27
"26","2009-11-06",14.06
"27","2009-11-09",14.36
"28","2009-11-10",14.28
"29","2009-11-11",15.18
"30","2009-11-12",14.6
"31","2009-11-13",14.46
"32","2009-11-16",13.45
"33","2009-11-17",13.21
"34","2009-11-18",12.53
"35","2009-11-19",12.68
"36","2009-11-20",12.76
"37","2009-11-23",13.07
"38","2009-11-24",12.8
"39","2009-11-25",12.8
"40","2009-11-27",12.69
"41","2009-11-30",12.68
"42","2009-12-01",12.99
"43","2009-12-02",12.89
"44","2009-12-03",13.13
"45","2009-12-04",13.95
"46","2009-12-07",13.77
"47","2009-12-08",13.38
"48","2009-12-09",13.4
"49","2009-12-10",13.21
"50","2009-12-11",13.31
"51","2009-12-14",12.94
"52","2009-12-15",13.11
"53","2009-12-16",12.35
"54","2009-12-17",12.08
"55","2009-12-18",12.4
"56","2009-12-21",12.85
"57","2009-12-22",12.51
"58","2009-12-23",12.56
"59","2009-12-24",12.58
"60","2009-12-28",12.49
"61","2009-12-29",12.44
"62","2009-12-30",12.65
"63","2009-12-31",12.69
"64","2010-01-04",12.39
"65","2010-01-05",12.32
"66","2010-01-06",12.93
"67","2010-01-07",13.66
"68","2010-01-08",13.6
"69","2010-01-11",13.46
"70","2010-01-12",13.3
"71","2010-01-13",13.31
"72","2010-01-14",13.3
"73","2010-01-15",13.2
"74","2010-01-19",13.1
"75","2010-01-20",13.05
"76","2010-01-21",12.85
"77","2010-01-22",12.53
"78","2010-01-25",12.61
"79","2010-01-26",12.37
"80","2010-01-27",12.51
"81","2010-01-28",12.24
"82","2010-01-29",12.07
"83","2010-02-01",12.1
"84","2010-02-02",11.9
"85","2010-02-03",11.28
"86","2010-02-04",10.79
"87","2010-02-05",10.55
"88","2010-02-08",10.67
"89","2010-02-09",10.62
"90","2010-02-10",10.31
"91","2010-02-11",10.66
"92","2010-02-12",10.49
"93","2010-02-16",10.49
"94","2010-02-17",10.54
"95","2010-02-18",10.9
"96","2010-02-19",11.36
"97","2010-02-22",11.41
"98","2010-02-23",11.02
"99","2010-02-24",10.99
"100","2010-02-25",11.15
"101","2010-02-26",11.31
"102","2010-03-01",11.81
"103","2010-03-02",12.35
"104","2010-03-03",12.51
"105","2010-03-04",12.52
"106","2010-03-05",12.76
"107","2010-03-08",12.53
"108","2010-03-09",12.66
"109","2010-03-10",12.79
"110","2010-03-11",12.87
"111","2010-03-12",12.86
"112","2010-03-15",12.69
"113","2010-03-16",12.81
"114","2010-03-17",12.87
"115","2010-03-18",12.8
"116","2010-03-19",12.86
"117","2010-03-22",12.99
"118","2010-03-23",13.19
"119","2010-03-24",13.26
"120","2010-03-25",13.1
"121","2010-03-26",13.01
"122","2010-03-29",13.25
"123","2010-03-30",13.4
"124","2010-03-31",12.91
"125","2010-04-01",12.75
"126","2010-04-05",13
"127","2010-04-06",13.22
"128","2010-04-07",13.05
"129","2010-04-08",13.24
"130","2010-04-09",13.32
"131","2010-04-12",13.44
"132","2010-04-13",13.66
"133","2010-04-14",13.55
"134","2010-04-15",13.57
"135","2010-04-16",13.35
"136","2010-04-19",12.95
"137","2010-04-20",13.05
"138","2010-04-21",13.1
"139","2010-04-22",13.15
"140","2010-04-23",13.7
"141","2010-04-26",13.69
"142","2010-04-27",13.46
"143","2010-04-28",13.37
"144","2010-04-29",13.54
"145","2010-04-30",13.49
"146","2010-05-03",13.6
"147","2010-05-04",13.54
"148","2010-05-05",13.42
"149","2010-05-06",13.05
"150","2010-05-07",13.18
"151","2010-05-10",13.59
"152","2010-05-11",13.51
"153","2010-05-12",13.28
"154","2010-05-13",13.28
"155","2010-05-14",13.07
"156","2010-05-17",13.31
"157","2010-05-18",13.28
"158","2010-05-19",13.56
"159","2010-05-20",13.16
"160","2010-05-21",13.18
"161","2010-05-24",12.91
"162","2010-05-25",13
"163","2010-05-26",13
"164","2010-05-27",13.28
"165","2010-05-28",13.12
"166","2010-06-01",13.02
"167","2010-06-02",13.32
"168","2010-06-03",13.36
"169","2010-06-04",13.05
"170","2010-06-07",12.85
"171","2010-06-08",12.29
"172","2010-06-09",12.18
"173","2010-06-10",11.98
"174","2010-06-11",11.96
"175","2010-06-14",12.38
"176","2010-06-15",12.79
"177","2010-06-16",12.95
"178","2010-06-17",13.02
"179","2010-06-18",13.1
"180","2010-06-21",13.33
"181","2010-06-22",13.25
"182","2010-06-23",13.03
"183","2010-06-24",12.86
"184","2010-06-25",13.31
"185","2010-06-28",13.27
"186","2010-06-29",12.53
"187","2010-06-30",12.21
"188","2010-07-01",12.65
"189","2010-07-02",12.65
"190","2010-07-06",12.84
"191","2010-07-07",13.28
"192","2010-07-08",13.43
"193","2010-07-09",13.3
"194","2010-07-12",13.13
"195","2010-07-13",13.45
"196","2010-07-14",13.44
"197","2010-07-15",12.69
"198","2010-07-16",12.33
"199","2010-07-19",11.95
"200","2010-07-20",11.82
"201","2010-07-21",11.28
"202","2010-07-22",11.53
"203","2010-07-23",11.75
"204","2010-07-26",11.68
"205","2010-07-27",11.37
"206","2010-07-28",11.75
"207","2010-07-29",11.61
"208","2010-07-30",11.96
"209","2010-08-02",11.83
"210","2010-08-03",11.84
"211","2010-08-04",12.86
"212","2010-08-05",13
"213","2010-08-06",13
"214","2010-08-09",13.14
"215","2010-08-10",13.19
"216","2010-08-11",12.82
"217","2010-08-12",12.75
"218","2010-08-13",12.66
"219","2010-08-16",12.44
"220","2010-08-17",12.62
"221","2010-08-18",12.51
"222","2010-08-19",11.93
"223","2010-08-20",12.28
"224","2010-08-23",12.13
"225","2010-08-24",12.19
"226","2010-08-25",12.26
"227","2010-08-26",12.66
"228","2010-08-27",13.06
"229","2010-08-30",12.55
"230","2010-08-31",12.49
"231","2010-09-01",12.63
"232","2010-09-02",12.43
"233","2010-09-03",12.82
"234","2010-09-07",12.38
"235","2010-09-08",12.88
"236","2010-09-09",13.01
"237","2010-09-10",12.87
"238","2010-09-13",12.91
"239","2010-09-14",12.78
"240","2010-09-15",12.8
"241","2010-09-16",12.34
"242","2010-09-17",12.61
"243","2010-09-20",12.86
"244","2010-09-21",12.58
"245","2010-09-22",12.17
"246","2010-09-23",11.87
"247","2010-09-24",12.25
"248","2010-09-27",12.75
"249","2010-09-28",12.66
"250","2010-09-29",12.97
"251","2010-09-30",12.77
"252","2010-10-01",12.99
"253","2010-10-04",12.76
"254","2010-10-05",12.75
"255","2010-10-06",12.01
"256","2010-10-07",12.23
"257","2010-10-08",12.69
"258","2010-10-11",12.66
"259","2010-10-12",12.72
"260","2010-10-13",13.31
"261","2010-10-14",13.71
"262","2010-10-15",14.01
"263","2010-10-18",14.08
"264","2010-10-19",14.09
"265","2010-10-20",14.45
"266","2010-10-21",14.53
"267","2010-10-22",14.74
"268","2010-10-25",15.81
"269","2010-10-26",15.17
"270","2010-10-27",14.33
"271","2010-10-28",14.27
"272","2010-10-29",14.2
"273","2010-11-01",14.13
"274","2010-11-02",14.11
"275","2010-11-03",14.76
"276","2010-11-04",12
"277","2010-11-05",11.9
"278","2010-11-08",11.26
"279","2010-11-09",10.8
"280","2010-11-10",10.6
"281","2010-11-11",10.04
"282","2010-11-12",10.21
"283","2010-11-15",10.51
"284","2010-11-16",10.15
"285","2010-11-17",10.46
"286","2010-11-18",10.48
"287","2010-11-19",10.47
"288","2010-11-22",10.52
"289","2010-11-23",10.86
"290","2010-11-24",11.34
"291","2010-11-26",11.1
"292","2010-11-29",11.44
"293","2010-11-30",11.45
"294","2010-12-01",11.43
"295","2010-12-02",11.5
"296","2010-12-03",11.37
"297","2010-12-06",11.35
"298","2010-12-07",11.63
"299","2010-12-08",11.64
"300","2010-12-09",11.91
"301","2010-12-10",12
"302","2010-12-13",11.91
"303","2010-12-14",12.04
"304","2010-12-15",11.86
"305","2010-12-16",12.03
"306","2010-12-17",11.67
"307","2010-12-20",11.01
"308","2010-12-21",11.29
"309","2010-12-22",11.67
"310","2010-12-23",11.59
"311","2010-12-27",11.42
"312","2010-12-28",11.36
"313","2010-12-29",11.63
"314","2010-12-30",11.81
"315","2010-12-31",12.04
"316","2011-01-03",11.92
"317","2011-01-04",11.93
"318","2011-01-05",12.03
"319","2011-01-06",12.21
"320","2011-01-07",12.01
"321","2011-01-10",11.78
"322","2011-01-11",12.08
"323","2011-01-12",12.06
"324","2011-01-13",12.34
"325","2011-01-14",12.38
"326","2011-01-18",12.74
"327","2011-01-19",12.51
"328","2011-01-20",11.87
"329","2011-01-21",11.91
"330","2011-01-24",11.89
"331","2011-01-25",12.02
"332","2011-01-26",12.25
"333","2011-01-27",12.14
"334","2011-01-28",11.51
"335","2011-01-31",11.62
"336","2011-02-01",11.94
"337","2011-02-02",12.24
"338","2011-02-03",12.09
"339","2011-02-04",12.14
"340","2011-02-07",12.54
"341","2011-02-08",12.5
"342","2011-02-09",12.37
"343","2011-02-10",12.41
"344","2011-02-11",12.85
"345","2011-02-14",12.61
"346","2011-02-15",12.72
"347","2011-02-16",13.38
"348","2011-02-17",13.49
"349","2011-02-18",13.35
"350","2011-02-22",13.3
"351","2011-02-23",13.23
"352","2011-02-24",12
"353","2011-02-25",11.95
"354","2011-02-28",11.82
"355","2011-03-01",11.75
