"","date","USM"
"1","2007-01-03",71.620003
"2","2007-01-04",71.610001
"3","2007-01-05",70.809998
"4","2007-01-08",71.699997
"5","2007-01-09",70.849998
"6","2007-01-10",71.900002
"7","2007-01-11",72.75
"8","2007-01-12",72.839996
"9","2007-01-16",72.309998
"10","2007-01-17",71.980003
"11","2007-01-18",70.800003
"12","2007-01-19",70.970001
"13","2007-01-22",71.07
"14","2007-01-23",70.93
"15","2007-01-24",73.099998
"16","2007-01-25",72.330002
"17","2007-01-26",71.940002
"18","2007-01-29",71.709999
"19","2007-01-30",72.800003
"20","2007-01-31",72.099998
"21","2007-02-01",73.809998
"22","2007-02-02",74.32
"23","2007-02-05",72.769997
"24","2007-02-06",73.099998
"25","2007-02-07",74.82
"26","2007-02-08",73.769997
"27","2007-02-09",72.5
"28","2007-02-12",72.940002
"29","2007-02-13",73.209999
"30","2007-02-14",73.699997
"31","2007-02-15",74.650002
"32","2007-02-16",72.919998
"33","2007-02-20",72
"34","2007-02-21",71.349998
"35","2007-02-22",71.660004
"36","2007-02-23",71.300003
"37","2007-02-26",71.650002
"38","2007-02-27",70.849998
"39","2007-02-28",71.75
"40","2007-03-01",70.830002
"41","2007-03-02",71.300003
"42","2007-03-05",69.599998
"43","2007-03-06",71.300003
"44","2007-03-07",70.739998
"45","2007-03-08",70.519997
"46","2007-03-09",72.25
"47","2007-03-12",72.07
"48","2007-03-13",71.25
"49","2007-03-14",69.699997
"50","2007-03-15",70.550003
"51","2007-03-16",68.5
"52","2007-03-19",69.800003
"53","2007-03-20",70.089996
"54","2007-03-21",71.730003
"55","2007-03-22",72.110001
"56","2007-03-23",72.599998
"57","2007-03-26",72.379997
"58","2007-03-27",71.639999
"59","2007-03-28",71.949997
"60","2007-03-29",73.339996
"61","2007-03-30",73.449997
"62","2007-04-02",73.839996
"63","2007-04-03",73.599998
"64","2007-04-04",73.82
"65","2007-04-05",73.480003
"66","2007-04-09",73.400002
"67","2007-04-10",73.349998
"68","2007-04-11",72.620003
"69","2007-04-12",73.559998
"70","2007-04-13",74.5
"71","2007-04-16",74.589996
"72","2007-04-17",74.550003
"73","2007-04-18",74.040001
"74","2007-04-19",74.25
"75","2007-04-20",74.309998
"76","2007-04-23",74.900002
"77","2007-04-24",73.839996
"78","2007-04-25",74.690002
"79","2007-04-26",73.419998
"80","2007-04-27",73.959999
"81","2007-04-30",72.5
"82","2007-05-01",71.900002
"83","2007-05-02",73.199997
"84","2007-05-03",73.099998
"85","2007-05-04",72.949997
"86","2007-05-07",74.18
"87","2007-05-08",74.5
"88","2007-05-09",74.099998
"89","2007-05-10",73.690002
"90","2007-05-11",73.730003
