"","date","LTHM"
"1","2018-10-11",16.969999
"2","2018-10-12",16.25
"3","2018-10-15",16
"4","2018-10-16",16.049999
"5","2018-10-17",16.4
"6","2018-10-18",16.379999
"7","2018-10-19",16.34
"8","2018-10-22",16.440001
"9","2018-10-23",15.57
"10","2018-10-24",14.35
"11","2018-10-25",15.2
"12","2018-10-26",15.68
"13","2018-10-29",15.55
"14","2018-10-30",15.25
"15","2018-10-31",15.6
"16","2018-11-01",16.6
"17","2018-11-02",16.860001
"18","2018-11-05",16.93
"19","2018-11-06",17.219999
"20","2018-11-07",17.9
"21","2018-11-08",17.9
"22","2018-11-09",18.66
"23","2018-11-12",18.35
"24","2018-11-13",17.860001
"25","2018-11-14",18.6
"26","2018-11-15",18.76
"27","2018-11-16",17.959999
"28","2018-11-19",17.379999
"29","2018-11-20",16.82
"30","2018-11-21",16.66
"31","2018-11-23",17.139999
"32","2018-11-26",17.799999
"33","2018-11-27",17.629999
"34","2018-11-28",18.17
"35","2018-11-29",19
"36","2018-11-30",18.440001
"37","2018-12-03",19.17
"38","2018-12-04",17.59
"39","2018-12-06",17.26
"40","2018-12-07",16.799999
"41","2018-12-10",16.66
"42","2018-12-11",16.190001
"43","2018-12-12",16.219999
"44","2018-12-13",16.040001
"45","2018-12-14",15.35
"46","2018-12-17",14.59
"47","2018-12-18",14.54
"48","2018-12-19",14.22
"49","2018-12-20",12.85
"50","2018-12-21",12.91
"51","2018-12-24",12.3
"52","2018-12-26",13.06
"53","2018-12-27",13.51
"54","2018-12-28",14.09
"55","2018-12-31",13.8
"56","2019-01-02",13.99
"57","2019-01-03",13.59
"58","2019-01-04",14.26
"59","2019-01-07",14.4
"60","2019-01-08",14.35
"61","2019-01-09",14.3
"62","2019-01-10",14.56
"63","2019-01-11",14.18
"64","2019-01-14",14.06
"65","2019-01-15",13.42
"66","2019-01-16",13.23
"67","2019-01-17",13
"68","2019-01-18",13.06
"69","2019-01-22",12.85
"70","2019-01-23",12.78
"71","2019-01-24",12.52
"72","2019-01-25",13.42
"73","2019-01-28",13.2
"74","2019-01-29",12.87
"75","2019-01-30",12.7
"76","2019-01-31",12.66
"77","2019-02-01",12.49
"78","2019-02-04",12.59
"79","2019-02-05",12.72
"80","2019-02-06",12.84
"81","2019-02-07",12.55
"82","2019-02-08",12.67
"83","2019-02-11",13.12
"84","2019-02-12",12.55
"85","2019-02-13",13.09
"86","2019-02-14",12.52
"87","2019-02-15",12.85
"88","2019-02-19",12.67
"89","2019-02-20",13.26
"90","2019-02-21",13.39
"91","2019-02-22",13.72
"92","2019-02-25",13.93
"93","2019-02-26",12.94
"94","2019-02-27",12.48
"95","2019-02-28",12.8
"96","2019-03-01",12.9
"97","2019-03-04",12.58
"98","2019-03-05",13.22
"99","2019-03-06",13.05
"100","2019-03-07",12.1
"101","2019-03-08",12.77
"102","2019-03-11",13.07
"103","2019-03-12",12.58
"104","2019-03-13",12.66
"105","2019-03-14",12.09
"106","2019-03-15",12.59
"107","2019-03-18",12.91
"108","2019-03-19",13.09
"109","2019-03-20",12.67
"110","2019-03-21",13.29
"111","2019-03-22",12.92
"112","2019-03-25",12.71
"113","2019-03-26",12.4
"114","2019-03-27",12.32
"115","2019-03-28",12.27
"116","2019-03-29",12.28
"117","2019-04-01",12.25
"118","2019-04-02",12.01
"119","2019-04-03",12.02
"120","2019-04-04",12.11
"121","2019-04-05",12.09
"122","2019-04-08",12.8
"123","2019-04-09",12.5
"124","2019-04-10",12.57
"125","2019-04-11",12.23
"126","2019-04-12",12.36
"127","2019-04-15",12.2
"128","2019-04-16",12.16
"129","2019-04-17",12
"130","2019-04-18",12.05
