"","date","MT"
"1","2007-01-03",122.400002
"2","2007-01-04",120
"3","2007-01-05",120.029999
"4","2007-01-08",120.959999
"5","2007-01-09",121.050003
"6","2007-01-10",120.599998
"7","2007-01-11",119.639999
"8","2007-01-12",121.68
"9","2007-01-16",124.529999
"10","2007-01-17",123.419998
"11","2007-01-18",122.849998
"12","2007-01-19",125.309998
"13","2007-01-22",126.330002
"14","2007-01-23",130.770004
"15","2007-01-24",137.130005
"16","2007-01-25",136.350006
"17","2007-01-26",136.860001
"18","2007-01-29",137.580002
"19","2007-01-30",140.669998
"20","2007-01-31",142.710007
"21","2007-02-01",145.199997
"22","2007-02-02",142.679993
"23","2007-02-05",142.770004
"24","2007-02-06",141.990005
"25","2007-02-07",143.759995
"26","2007-02-08",142.589996
"27","2007-02-09",139.979996
"28","2007-02-12",140.130005
"29","2007-02-13",141.389999
"30","2007-02-14",147.660004
"31","2007-02-15",150.300003
"32","2007-02-16",152.850006
"33","2007-02-20",151.949997
"34","2007-02-21",154.320007
"35","2007-02-22",155.820007
"36","2007-02-23",156.419998
"37","2007-02-26",160.440002
"38","2007-02-27",147.389999
"39","2007-02-28",152.580002
"40","2007-03-01",156.75
"41","2007-03-02",153.869995
"42","2007-03-05",147.240005
"43","2007-03-06",152.520004
"44","2007-03-07",154.619995
"45","2007-03-08",157.5
"46","2007-03-09",156.509995
"47","2007-03-12",155.639999
"48","2007-03-13",150.630005
"49","2007-03-14",151.710007
"50","2007-03-15",151.050003
"51","2007-03-16",150.149994
"52","2007-03-19",149.550003
"53","2007-03-20",149.610001
"54","2007-03-21",159.270004
"55","2007-03-22",156.360001
"56","2007-03-23",157.949997
"57","2007-03-26",161.070007
"58","2007-03-27",157.320007
"59","2007-03-28",153
"60","2007-03-29",159.360001
"61","2007-03-30",158.669998
"62","2007-04-02",160.800003
"63","2007-04-03",160.800003
"64","2007-04-04",165.119995
"65","2007-04-05",164.460007
"66","2007-04-09",163.710007
"67","2007-04-10",166.020004
"68","2007-04-11",163.050003
"69","2007-04-12",163.050003
"70","2007-04-13",163.080002
"71","2007-04-16",164.309998
"72","2007-04-17",160.5
"73","2007-04-18",159.630005
"74","2007-04-19",160.199997
"75","2007-04-20",164.639999
