"","date","ADXS"
"1","2007-01-03",375
"2","2007-01-04",345
"3","2007-01-05",318.75
"4","2007-01-08",318.75
"5","2007-01-09",305.625
"6","2007-01-10",296.25
"7","2007-01-11",300
"8","2007-01-12",303.75
"9","2007-01-16",305.625
"10","2007-01-17",318.75
"11","2007-01-18",300
"12","2007-01-19",318.75
"13","2007-01-22",318.75
"14","2007-01-23",328.125
"15","2007-01-24",326.25
"16","2007-01-25",337.5
"17","2007-01-26",365.625
"18","2007-01-29",339.375
"19","2007-01-30",318.75
"20","2007-01-31",290.625
"21","2007-02-01",300
"22","2007-02-02",300
"23","2007-02-05",309.375
"24","2007-02-06",301.875
"25","2007-02-07",309.375
"26","2007-02-08",309.375
"27","2007-02-09",309.375
"28","2007-02-12",290.625
"29","2007-02-13",300
"30","2007-02-14",300
"31","2007-02-15",309.375
"32","2007-02-16",300
"33","2007-02-20",309.375
"34","2007-02-21",281.25
"35","2007-02-22",300
"36","2007-02-23",300
"37","2007-02-26",300
"38","2007-02-27",300
"39","2007-02-28",300
"40","2007-03-01",365.625
"41","2007-03-02",365.625
"42","2007-03-05",300
"43","2007-03-06",318.75
"44","2007-03-07",328.125
"45","2007-03-08",356.25
"46","2007-03-09",356.25
"47","2007-03-12",341.25
"48","2007-03-13",328.125
"49","2007-03-14",328.125
"50","2007-03-15",320.625
"51","2007-03-16",337.5
"52","2007-03-19",337.5
"53","2007-03-20",412.5
"54","2007-03-21",421.875
"55","2007-03-22",421.875
"56","2007-03-23",393.75
"57","2007-03-26",412.5
"58","2007-03-27",384.375
"59","2007-03-28",412.5
"60","2007-03-29",412.5
"61","2007-03-30",431.25
"62","2007-04-02",431.25
"63","2007-04-03",450
"64","2007-04-04",450
"65","2007-04-05",431.25
"66","2007-04-09",395.625
"67","2007-04-10",431.25
"68","2007-04-11",601.875
"69","2007-04-12",562.5
"70","2007-04-13",600
"71","2007-04-16",637.5
"72","2007-04-17",675
"73","2007-04-18",750
"74","2007-04-19",731.25
"75","2007-04-20",802.5
"76","2007-04-23",806.25
"77","2007-04-24",750
"78","2007-04-25",750
"79","2007-04-26",693.75
"80","2007-04-27",637.5
"81","2007-04-30",637.5
"82","2007-05-01",637.5
"83","2007-05-02",637.5
"84","2007-05-03",624.375
"85","2007-05-04",637.5
"86","2007-05-07",637.5
"87","2007-05-08",609.375
"88","2007-05-09",616.875
"89","2007-05-10",618.75
"90","2007-05-11",618.75
"91","2007-05-14",581.25
"92","2007-05-15",543.75
"93","2007-05-16",600
"94","2007-05-17",553.125
"95","2007-05-18",562.5
"96","2007-05-21",562.5
"97","2007-05-22",600
"98","2007-05-23",600
"99","2007-05-24",609.375
"100","2007-05-25",564.375
"101","2007-05-29",564.375
"102","2007-05-30",571.875
"103","2007-05-31",637.5
"104","2007-06-01",637.5
"105","2007-06-04",600
"106","2007-06-05",581.25
"107","2007-06-06",562.5
"108","2007-06-07",543.75
"109","2007-06-08",562.5
"110","2007-06-11",581.25
"111","2007-06-12",571.875
"112","2007-06-13",562.5
"113","2007-06-14",600
"114","2007-06-15",600
"115","2007-06-18",562.5
"116","2007-06-19",536.25
"117","2007-06-20",562.5
"118","2007-06-21",538.125
"119","2007-06-22",543.75
"120","2007-06-25",656.25
"121","2007-06-26",618.75
"122","2007-06-27",618.75
"123","2007-06-28",600
"124","2007-06-29",581.25
"125","2007-07-02",600
"126","2007-07-03",600
"127","2007-07-05",600
"128","2007-07-06",543.75
"129","2007-07-09",600
"130","2007-07-10",525
"131","2007-07-11",581.25
"132","2007-07-12",543.75
"133","2007-07-13",543.75
"134","2007-07-16",506.25
"135","2007-07-17",543.75
"136","2007-07-18",525
"137","2007-07-19",506.25
"138","2007-07-20",543.75
"139","2007-07-23",525
"140","2007-07-24",506.25
