"","date","ACAM"
"1","2019-05-09",9.75
"2","2019-05-10",9.75
"3","2019-05-13",9.75
"4","2019-05-14",9.75
"5","2019-05-15",9.75
"6","2019-05-16",9.75
"7","2019-05-17",9.75
"8","2019-05-20",9.75
"9","2019-05-21",9.75
"10","2019-05-22",9.75
"11","2019-05-23",9.75
"12","2019-05-24",9.75
"13","2019-05-28",9.75
"14","2019-05-29",9.75
"15","2019-05-30",9.75
"16","2019-05-31",9.75
"17","2019-06-03",9.75
"18","2019-06-04",9.75
"19","2019-06-05",9.75
"20","2019-06-06",9.75
"21","2019-06-07",9.68
"22","2019-06-10",9.68
"23","2019-06-11",9.68
"24","2019-06-12",9.68
"25","2019-06-13",9.68
"26","2019-06-14",9.8
"27","2019-06-17",9.8
"28","2019-06-18",9.8
"29","2019-06-19",9.8
"30","2019-06-20",9.8
"31","2019-06-21",9.75
"32","2019-06-24",9.75
"33","2019-06-25",9.75
"34","2019-06-26",9.75
"35","2019-06-27",9.75
"36","2019-06-28",9.72
"37","2019-07-01",9.72
"38","2019-07-02",9.75
"39","2019-07-03",9.75
"40","2019-07-05",9.75
"41","2019-07-08",9.75
"42","2019-07-09",9.76
"43","2019-07-10",9.76
"44","2019-07-11",9.76
"45","2019-07-12",9.76
"46","2019-07-15",9.76
"47","2019-07-16",9.8
"48","2019-07-17",9.8
"49","2019-07-18",9.8
"50","2019-07-19",9.75
"51","2019-07-22",9.75
"52","2019-07-23",9.75
"53","2019-07-24",9.75
"54","2019-07-25",9.77
"55","2019-07-26",9.77
"56","2019-07-29",9.77
"57","2019-07-30",9.77
"58","2019-07-31",9.77
"59","2019-08-01",9.77
"60","2019-08-02",9.77
"61","2019-08-05",9.77
"62","2019-08-06",9.77
"63","2019-08-07",9.77
"64","2019-08-08",9.81
"65","2019-08-09",9.81
"66","2019-08-12",9.81
"67","2019-08-13",9.9
"68","2019-08-14",9.9
"69","2019-08-15",9.9
"70","2019-08-16",9.81
"71","2019-08-19",9.81
"72","2019-08-20",9.9
"73","2019-08-21",9.84
"74","2019-08-22",9.84
"75","2019-08-23",9.8
"76","2019-08-26",9.873
"77","2019-08-27",9.873
"78","2019-08-28",9.873
"79","2019-08-29",9.84
