"","date","API"
"1","2020-06-26",50.5
"2","2020-06-29",47
"3","2020-06-30",44.169998
"4","2020-07-01",48.790001
"5","2020-07-02",56.490002
"6","2020-07-06",58.98
"7","2020-07-07",58.299999
"8","2020-07-08",53.93
"9","2020-07-09",50.82
"10","2020-07-10",52.279999
"11","2020-07-13",45.110001
"12","2020-07-14",46.59
"13","2020-07-15",50.709999
"14","2020-07-16",46.669998
"15","2020-07-17",49.369999
"16","2020-07-20",49.709999
"17","2020-07-21",47.740002
"18","2020-07-22",46.860001
"19","2020-07-23",46.09
"20","2020-07-24",43.080002
"21","2020-07-27",38.740002
"22","2020-07-28",36.32
"23","2020-07-29",41.669998
"24","2020-07-30",41.34
"25","2020-07-31",43.540001
"26","2020-08-03",40.889999
"27","2020-08-04",40.77
"28","2020-08-05",41.740002
"29","2020-08-06",39.84
"30","2020-08-07",38
"31","2020-08-10",37.5
"32","2020-08-11",40
"33","2020-08-12",39.77
"34","2020-08-13",37.75
"35","2020-08-14",38.209999
"36","2020-08-17",42.799999
"37","2020-08-18",42.060001
"38","2020-08-19",43.330002
"39","2020-08-20",46.509998
"40","2020-08-21",45.5
"41","2020-08-24",45.400002
"42","2020-08-25",44.189999
"43","2020-08-26",47.200001
"44","2020-08-27",46.549999
"45","2020-08-28",48.66
"46","2020-08-31",47.779999
"47","2020-09-01",52.860001
"48","2020-09-02",56.939999
"49","2020-09-03",51.900002
"50","2020-09-04",52.759998
"51","2020-09-08",49.130001
"52","2020-09-09",50.25
"53","2020-09-10",50.689999
"54","2020-09-11",48.400002
"55","2020-09-14",50.700001
"56","2020-09-15",48.23
"57","2020-09-16",49.950001
"58","2020-09-17",49.439999
"59","2020-09-18",47.860001
"60","2020-09-21",46.950001
"61","2020-09-22",48.490002
"62","2020-09-23",46.540001
"63","2020-09-24",47.82
"64","2020-09-25",46.48
"65","2020-09-28",46.380001
"66","2020-09-29",45.32
"67","2020-09-30",42.98
"68","2020-10-01",41.77
"69","2020-10-02",43.990002
"70","2020-10-05",44.080002
"71","2020-10-06",42.389999
"72","2020-10-07",40.5
"73","2020-10-08",40.91
"74","2020-10-09",45.049999
"75","2020-10-12",46.02
"76","2020-10-13",45.639999
"77","2020-10-14",45
"78","2020-10-15",43.5
"79","2020-10-16",42
"80","2020-10-19",43.459999
"81","2020-10-20",43.459999
"82","2020-10-21",41.950001
"83","2020-10-22",41.16
"84","2020-10-23",42.150002
"85","2020-10-26",41.709999
"86","2020-10-27",42.599998
"87","2020-10-28",40.91
"88","2020-10-29",42.07
"89","2020-10-30",38.5
"90","2020-11-02",37.82
"91","2020-11-03",38.669998
"92","2020-11-04",43.189999
"93","2020-11-05",43.900002
"94","2020-11-06",43.25
"95","2020-11-09",42.709999
"96","2020-11-10",39.060001
"97","2020-11-11",39.110001
"98","2020-11-12",39.240002
"99","2020-11-13",39
"100","2020-11-16",41.470001
"101","2020-11-17",36.98
"102","2020-11-18",35.130001
"103","2020-11-19",35.990002
"104","2020-11-20",36.650002
"105","2020-11-23",36.09
"106","2020-11-24",36.610001
"107","2020-11-25",38.209999
"108","2020-11-27",40.650002
