"","date","INZY"
"1","2020-07-24",17.540001
"2","2020-07-27",18.4
"3","2020-07-28",18.16
"4","2020-07-29",18.799999
"5","2020-07-30",19.879999
"6","2020-07-31",19.549999
"7","2020-08-03",22.049999
"8","2020-08-04",24.73
"9","2020-08-05",22.43
"10","2020-08-06",22.49
"11","2020-08-07",22.41
"12","2020-08-10",24.209999
"13","2020-08-11",24.9
"14","2020-08-12",27.040001
"15","2020-08-13",26.75
"16","2020-08-14",26.35
"17","2020-08-17",29
"18","2020-08-18",28.799999
"19","2020-08-19",28.41
"20","2020-08-20",28.32
"21","2020-08-21",28.309999
"22","2020-08-24",28.540001
"23","2020-08-25",27.73
"24","2020-08-26",28.639999
"25","2020-08-27",28.49
"26","2020-08-28",28.719999
"27","2020-08-31",29.98
"28","2020-09-01",30.200001
"29","2020-09-02",29.290001
"30","2020-09-03",29.200001
"31","2020-09-04",27.629999
"32","2020-09-08",28.6
"33","2020-09-09",25.459999
"34","2020-09-10",24.950001
"35","2020-09-11",24.23
"36","2020-09-14",24.23
"37","2020-09-15",23.530001
"38","2020-09-16",22.459999
"39","2020-09-17",24.4
"40","2020-09-18",23.969999
"41","2020-09-21",20.799999
"42","2020-09-22",22.65
"43","2020-09-23",21.690001
"44","2020-09-24",22.25
"45","2020-09-25",22
"46","2020-09-28",23.879999
"47","2020-09-29",23.91
"48","2020-09-30",26.290001
"49","2020-10-01",24.33
"50","2020-10-02",21
"51","2020-10-05",19.950001
"52","2020-10-06",20.1
"53","2020-10-07",21.629999
"54","2020-10-08",23.58
"55","2020-10-09",22.1
"56","2020-10-12",24.049999
"57","2020-10-13",21.700001
"58","2020-10-14",22
"59","2020-10-15",22.120001
"60","2020-10-16",23.190001
"61","2020-10-19",23.57
"62","2020-10-20",23.23
"63","2020-10-21",23.23
"64","2020-10-22",23.540001
"65","2020-10-23",23.75
"66","2020-10-26",23.610001
"67","2020-10-27",23.360001
"68","2020-10-28",23.219999
"69","2020-10-29",24.15
"70","2020-10-30",22.969999
"71","2020-11-02",23.65
"72","2020-11-03",23.98
"73","2020-11-04",24.059999
"74","2020-11-05",24.639999
"75","2020-11-06",23.700001
"76","2020-11-09",23.66
"77","2020-11-10",24.24
"78","2020-11-11",24.030001
"79","2020-11-12",24.059999
"80","2020-11-13",24.66
"81","2020-11-16",25.26
"82","2020-11-17",26.530001
"83","2020-11-18",26.84
"84","2020-11-19",27.549999
"85","2020-11-20",26.98
"86","2020-11-23",25.84
"87","2020-11-24",26.450001
"88","2020-11-25",26.110001
"89","2020-11-27",26.23
