"","date","GLMD"
"1","2014-03-13",14.31
"2","2014-03-14",14.65
"3","2014-03-17",15.15
"4","2014-03-18",15.24
"5","2014-03-19",14.71
"6","2014-03-20",13.43
"7","2014-03-21",13.55
"8","2014-03-24",11.97
"9","2014-03-25",11.53
"10","2014-03-26",11.1
"11","2014-03-27",10.925
"12","2014-03-28",11.14
"13","2014-03-31",11.47
"14","2014-04-01",11.55
"15","2014-04-02",12.01
"16","2014-04-03",11.22
"17","2014-04-04",10.75
"18","2014-04-07",10.04
"19","2014-04-08",9.1
"20","2014-04-09",9.52
"21","2014-04-10",9.022
"22","2014-04-11",9.51
"23","2014-04-14",9.99
"24","2014-04-15",9.46
"25","2014-04-16",8.89
"26","2014-04-17",8.58
"27","2014-04-21",8.87
"28","2014-04-22",9.11
"29","2014-04-23",9.62
"30","2014-04-24",9.25
"31","2014-04-25",9
"32","2014-04-28",8.61
"33","2014-04-29",8.14
"34","2014-04-30",8.05
"35","2014-05-01",8.26
"36","2014-05-02",8.16
"37","2014-05-05",8.1
"38","2014-05-06",7.8
"39","2014-05-07",7.42
"40","2014-05-08",6.867
"41","2014-05-09",7.01
"42","2014-05-12",7.13
"43","2014-05-13",7.12
"44","2014-05-14",7.04
"45","2014-05-15",6.71
"46","2014-05-16",6.45
"47","2014-05-19",6.99
"48","2014-05-20",6.65
"49","2014-05-21",6.97
"50","2014-05-22",6.72
"51","2014-05-23",6.51
"52","2014-05-27",6.65
"53","2014-05-28",6.66
"54","2014-05-29",6.81
"55","2014-05-30",6.74
"56","2014-06-02",7
"57","2014-06-03",7.22
"58","2014-06-04",7.3
"59","2014-06-05",7.5
"60","2014-06-06",7.64
"61","2014-06-09",7.4
"62","2014-06-10",8.64
"63","2014-06-11",9.99
"64","2014-06-12",9.97
"65","2014-06-13",10.29
"66","2014-06-16",9.95
"67","2014-06-17",10.02
"68","2014-06-18",9.7
"69","2014-06-19",9.2
"70","2014-06-20",8.8
"71","2014-06-23",9.3
"72","2014-06-24",9.49
"73","2014-06-25",9.51
"74","2014-06-26",9.8
"75","2014-06-27",9.89
"76","2014-06-30",9.74
"77","2014-07-01",9.84
"78","2014-07-02",9.7
"79","2014-07-03",9.03
"80","2014-07-07",8.72
"81","2014-07-08",7.79
"82","2014-07-09",7.92
"83","2014-07-10",8.01
"84","2014-07-11",8.27
"85","2014-07-14",8.35
"86","2014-07-15",8.55
"87","2014-07-16",8.34
"88","2014-07-17",7.77
"89","2014-07-18",7.61
"90","2014-07-21",7.31
"91","2014-07-22",7.52
"92","2014-07-23",7.6
"93","2014-07-24",7.25
"94","2014-07-25",7.63
"95","2014-07-28",8.18
"96","2014-07-29",8.04
"97","2014-07-30",7.93
"98","2014-07-31",7.92
"99","2014-08-01",7.52
"100","2014-08-04",7.25
"101","2014-08-05",7.28
"102","2014-08-06",7.152
"103","2014-08-07",7.4
"104","2014-08-08",7.223
"105","2014-08-11",7.77
"106","2014-08-12",7.46
"107","2014-08-13",7.46
"108","2014-08-14",7.43
"109","2014-08-15",7.62
"110","2014-08-18",7.51
"111","2014-08-19",7.24
"112","2014-08-20",7.26
"113","2014-08-21",7.18
"114","2014-08-22",6.955
"115","2014-08-25",6.83
"116","2014-08-26",6.8
"117","2014-08-27",6.88
"118","2014-08-28",6.83
"119","2014-08-29",6.82
"120","2014-09-02",6.73
"121","2014-09-03",6.76
"122","2014-09-04",6.74
"123","2014-09-05",6.77
"124","2014-09-08",6.85
"125","2014-09-09",6.78
"126","2014-09-10",6.73
"127","2014-09-11",7.16
"128","2014-09-12",7.01
"129","2014-09-15",6.83
"130","2014-09-16",6.97
"131","2014-09-17",6.94
"132","2014-09-18",6.87
"133","2014-09-19",6.59
"134","2014-09-22",6.48
"135","2014-09-23",8.93
"136","2014-09-24",8.59
"137","2014-09-25",8.79
"138","2014-09-26",8.95
"139","2014-09-29",8.94
"140","2014-09-30",8.6
"141","2014-10-01",7.91
"142","2014-10-02",7.6
"143","2014-10-03",7.7
"144","2014-10-06",7.43
"145","2014-10-07",6.94
"146","2014-10-08",6.92
"147","2014-10-09",6.74
"148","2014-10-10",6.525
"149","2014-10-13",6.65
"150","2014-10-14",6.15
"151","2014-10-15",6.36
"152","2014-10-16",6.43
"153","2014-10-17",6.56
"154","2014-10-20",6.76
"155","2014-10-21",6.49
"156","2014-10-22",6.54
"157","2014-10-23",6.89
"158","2014-10-24",6.66
"159","2014-10-27",6.9
"160","2014-10-28",6.78
