"","date","BATRK"
"1","2016-04-18",19.139999
"2","2016-04-19",17.5
"3","2016-04-20",17.280001
"4","2016-04-21",17.52
"5","2016-04-22",16.950001
"6","2016-04-25",15.32
"7","2016-04-26",14.4
"8","2016-04-27",14.11
"9","2016-04-28",14.91
"10","2016-04-29",14.92
"11","2016-05-02",15.03
"12","2016-05-03",15.46
"13","2016-05-04",15.4
"14","2016-05-05",15.3
"15","2016-05-06",15.5
"16","2016-05-09",15.86
"17","2016-05-10",16.200001
"18","2016-05-11",16.33
"19","2016-05-12",16.219999
"20","2016-05-13",16.530001
"21","2016-05-16",16.85
"22","2016-05-17",16.9
"23","2016-05-18",16.950001
"24","2016-05-19",15.74
"25","2016-05-20",15.29
"26","2016-05-23",15.24
"27","2016-05-24",15.34
"28","2016-05-25",15.34
"29","2016-05-26",15.13
"30","2016-05-27",15.05
"31","2016-05-31",15
"32","2016-06-01",15.11
"33","2016-06-02",15.14
"34","2016-06-03",14.93
"35","2016-06-06",14.84
"36","2016-06-07",14.81
"37","2016-06-08",14.9
"38","2016-06-09",14.88
"39","2016-06-10",14.93
"40","2016-06-13",14.5
"41","2016-06-14",14.37
"42","2016-06-15",14.7
"43","2016-06-16",15.16
"44","2016-06-17",14.8
"45","2016-06-20",15
"46","2016-06-21",15.15
"47","2016-06-22",15.58
"48","2016-06-23",15.59
"49","2016-06-24",15.13
"50","2016-06-27",14.35
"51","2016-06-28",14.03
"52","2016-06-29",14.03
"53","2016-06-30",14.66
"54","2016-07-01",14.95
"55","2016-07-05",14.82
"56","2016-07-06",14.52
"57","2016-07-07",14.64
"58","2016-07-08",14.87
"59","2016-07-11",15.45
"60","2016-07-12",15.48
"61","2016-07-13",15.33
"62","2016-07-14",15.46
"63","2016-07-15",15.47
"64","2016-07-18",15.47
"65","2016-07-19",15.5
"66","2016-07-20",15.58
"67","2016-07-21",15.62
"68","2016-07-22",15.71
"69","2016-07-25",15.71
"70","2016-07-26",15.84
"71","2016-07-27",15.99
"72","2016-07-28",16.049999
"73","2016-07-29",15.98
"74","2016-08-01",16.040001
"75","2016-08-02",15.78
"76","2016-08-03",15.79
"77","2016-08-04",15.66
"78","2016-08-05",15.61
"79","2016-08-08",15.58
"80","2016-08-09",15.51
"81","2016-08-10",15.92
"82","2016-08-11",16.030001
"83","2016-08-12",16.040001
"84","2016-08-15",16.309999
"85","2016-08-16",16.43
"86","2016-08-17",16.43
"87","2016-08-18",16.41
"88","2016-08-19",16.389999
"89","2016-08-22",16.610001
"90","2016-08-23",16.639999
"91","2016-08-24",16.65
