"","date","PLNT"
"1","2015-08-06",16
"2","2015-08-07",18.25
"3","2015-08-10",18.68
"4","2015-08-11",17.379999
"5","2015-08-12",16.790001
"6","2015-08-13",18.559999
"7","2015-08-14",18.780001
"8","2015-08-17",19.1
"9","2015-08-18",19
"10","2015-08-19",17.790001
"11","2015-08-20",16.99
"12","2015-08-21",16.24
"13","2015-08-24",15.05
"14","2015-08-25",15.27
"15","2015-08-26",15.9
"16","2015-08-27",16.049999
"17","2015-08-28",16.780001
"18","2015-08-31",17.809999
"19","2015-09-01",18.24
"20","2015-09-02",18.5
"21","2015-09-03",18.6
"22","2015-09-04",18.59
"23","2015-09-08",18.379999
"24","2015-09-09",17.73
"25","2015-09-10",17.639999
"26","2015-09-11",17.709999
"27","2015-09-14",17.6
"28","2015-09-15",17.6
"29","2015-09-16",18.049999
"30","2015-09-17",18.379999
"31","2015-09-18",17.83
"32","2015-09-21",17.879999
"33","2015-09-22",17.370001
"34","2015-09-23",17.65
"35","2015-09-24",17.719999
"36","2015-09-25",18.1
"37","2015-09-28",17.5
"38","2015-09-29",17.5
"39","2015-09-30",17.139999
"40","2015-10-01",16.190001
"41","2015-10-02",15.94
"42","2015-10-05",16.280001
"43","2015-10-06",16.4
"44","2015-10-07",16.110001
"45","2015-10-08",16.6
"46","2015-10-09",16.530001
"47","2015-10-12",15.93
"48","2015-10-13",16.549999
"49","2015-10-14",16.75
"50","2015-10-15",17.129999
"51","2015-10-16",17.040001
"52","2015-10-19",16.91
"53","2015-10-20",16.75
"54","2015-10-21",16.370001
"55","2015-10-22",16.77
"56","2015-10-23",16.84
"57","2015-10-26",16.57
"58","2015-10-27",16.35
"59","2015-10-28",16.879999
"60","2015-10-29",16.889999
"61","2015-10-30",16.34
"62","2015-11-02",16.26
"63","2015-11-03",16.030001
"64","2015-11-04",15.89
"65","2015-11-05",15.7
"66","2015-11-06",15.36
"67","2015-11-09",14.99
"68","2015-11-10",15.01
"69","2015-11-11",15.13
"70","2015-11-12",15.03
"71","2015-11-13",16.07
"72","2015-11-16",15.87
"73","2015-11-17",16.030001
"74","2015-11-18",16.059999
"75","2015-11-19",15.95
"76","2015-11-20",15.95
"77","2015-11-23",15.8
"78","2015-11-24",15.55
"79","2015-11-25",15.8
"80","2015-11-27",15.81
"81","2015-11-30",15.81
"82","2015-12-01",15.96
"83","2015-12-02",16.110001
"84","2015-12-03",15.77
"85","2015-12-04",15.87
"86","2015-12-07",15.99
"87","2015-12-08",15.93
"88","2015-12-09",15.89
"89","2015-12-10",15.81
"90","2015-12-11",15.66
"91","2015-12-14",15.25
"92","2015-12-15",15.58
"93","2015-12-16",15.71
"94","2015-12-17",15.5
"95","2015-12-18",15.1
"96","2015-12-21",15.27
"97","2015-12-22",15.7
"98","2015-12-23",15.55
"99","2015-12-24",15.85
"100","2015-12-28",15.75
"101","2015-12-29",15.89
"102","2015-12-30",15.63
"103","2015-12-31",15.63
"104","2016-01-04",15.4
"105","2016-01-05",15.68
"106","2016-01-06",15.65
"107","2016-01-07",15.45
"108","2016-01-08",15.36
"109","2016-01-11",15.47
"110","2016-01-12",15.42
"111","2016-01-13",15.22
"112","2016-01-14",14.97
"113","2016-01-15",15.01
"114","2016-01-19",14.67
"115","2016-01-20",14.42
"116","2016-01-21",14.76
"117","2016-01-22",14.82
"118","2016-01-25",14.28
"119","2016-01-26",13.9
"120","2016-01-27",13.57
"121","2016-01-28",14
"122","2016-01-29",14.29
"123","2016-02-01",14.74
"124","2016-02-02",14.78
"125","2016-02-03",14.87
"126","2016-02-04",14.87
"127","2016-02-05",14.59
"128","2016-02-08",14.26
"129","2016-02-09",13.97
"130","2016-02-10",13.86
"131","2016-02-11",13.26
"132","2016-02-12",13.68
"133","2016-02-16",13.84
"134","2016-02-17",14
"135","2016-02-18",14.35
"136","2016-02-19",14.41
"137","2016-02-22",14.35
"138","2016-02-23",14.18
"139","2016-02-24",14.42
"140","2016-02-25",14.39
"141","2016-02-26",14.6
"142","2016-02-29",14.33
"143","2016-03-01",14.25
"144","2016-03-02",14.71
"145","2016-03-03",14.81
"146","2016-03-04",15.61
"147","2016-03-07",15.47
"148","2016-03-08",14.81
"149","2016-03-09",13.8
"150","2016-03-10",14.25
"151","2016-03-11",14.69
