"","date","ENPH"
"1","2012-03-30",7.34
"2","2012-04-02",7.81
"3","2012-04-03",7.64
"4","2012-04-04",7.45
"5","2012-04-05",7.43
"6","2012-04-09",6.98
"7","2012-04-10",7.07
"8","2012-04-11",7.13
"9","2012-04-12",7.3
"10","2012-04-13",7.1
"11","2012-04-16",7.16
"12","2012-04-17",7
"13","2012-04-18",7.29
"14","2012-04-19",7.04
"15","2012-04-20",7.02
"16","2012-04-23",6.98
"17","2012-04-24",6.91
"18","2012-04-25",6.88
"19","2012-04-26",6.86
"20","2012-04-27",6.75
"21","2012-04-30",7.28
"22","2012-05-01",7.92
"23","2012-05-02",8
"24","2012-05-03",8.82
"25","2012-05-04",8.36
"26","2012-05-07",8.34
"27","2012-05-08",8.48
"28","2012-05-09",8.65
"29","2012-05-10",8.6
"30","2012-05-11",8.43
"31","2012-05-14",8.22
"32","2012-05-15",8.4
"33","2012-05-16",8.32
"34","2012-05-17",8.41
"35","2012-05-18",7.99
"36","2012-05-21",8.1
"37","2012-05-22",7.99
"38","2012-05-23",7.9
"39","2012-05-24",7.85
"40","2012-05-25",7.79
"41","2012-05-29",7.8
"42","2012-05-30",7.01
"43","2012-05-31",6.9
"44","2012-06-01",5.95
"45","2012-06-04",4.96
"46","2012-06-05",5.33
"47","2012-06-06",6.69
"48","2012-06-07",6.6
"49","2012-06-08",6.98
"50","2012-06-11",6.45
"51","2012-06-12",7.08
"52","2012-06-13",7.02
"53","2012-06-14",7.24
"54","2012-06-15",7.01
"55","2012-06-18",6.95
"56","2012-06-19",7
"57","2012-06-20",6.8
"58","2012-06-21",6.6
"59","2012-06-22",6.61
"60","2012-06-25",6.28
"61","2012-06-26",5.99
"62","2012-06-27",5.85
"63","2012-06-28",6.29
"64","2012-06-29",6.22
"65","2012-07-02",6.19
"66","2012-07-03",6.19
"67","2012-07-05",6.19
"68","2012-07-06",6.24
"69","2012-07-09",6.2
"70","2012-07-10",5.81
"71","2012-07-11",5.74
"72","2012-07-12",5.49
"73","2012-07-13",6.04
"74","2012-07-16",5.67
"75","2012-07-17",5.65
"76","2012-07-18",5.97
"77","2012-07-19",5.88
"78","2012-07-20",6.1
"79","2012-07-23",6.21
"80","2012-07-24",5.83
"81","2012-07-25",5.76
"82","2012-07-26",5.87
"83","2012-07-27",5.84
"84","2012-07-30",5.9
"85","2012-07-31",5.81
"86","2012-08-01",5.64
"87","2012-08-02",5.78
"88","2012-08-03",6.03
"89","2012-08-06",6.33
"90","2012-08-07",6.67
"91","2012-08-08",5.07
"92","2012-08-09",5.56
"93","2012-08-10",5.63
"94","2012-08-13",5.07
"95","2012-08-14",5.17
"96","2012-08-15",5.04
"97","2012-08-16",5.06
"98","2012-08-17",5.26
"99","2012-08-20",5.23
"100","2012-08-21",5.14
"101","2012-08-22",5
"102","2012-08-23",4.97
"103","2012-08-24",4.94
"104","2012-08-27",5.1
"105","2012-08-28",5.01
"106","2012-08-29",5.11
"107","2012-08-30",4.9
"108","2012-08-31",4.96
"109","2012-09-04",4.96
"110","2012-09-05",5.28
"111","2012-09-06",4.98
"112","2012-09-07",4.53
"113","2012-09-10",4.61
"114","2012-09-11",4.68
"115","2012-09-12",4.84
"116","2012-09-13",4.9
"117","2012-09-14",5.22
"118","2012-09-17",4.99
"119","2012-09-18",4.97
"120","2012-09-19",5.11
"121","2012-09-20",5.12
"122","2012-09-21",5.11
"123","2012-09-24",4.88
"124","2012-09-25",4.75
"125","2012-09-26",4.75
"126","2012-09-27",4.6
"127","2012-09-28",4.14
"128","2012-10-01",3.89
"129","2012-10-02",3.84
"130","2012-10-03",3.94
"131","2012-10-04",3.85
"132","2012-10-05",3.65
"133","2012-10-08",3.64
"134","2012-10-09",3.33
"135","2012-10-10",3.15
"136","2012-10-11",3.32
"137","2012-10-12",3.63
"138","2012-10-15",3.8
"139","2012-10-16",3.62
"140","2012-10-17",3.76
"141","2012-10-18",3.7
"142","2012-10-19",3.7
"143","2012-10-22",3.51
"144","2012-10-23",3.42
"145","2012-10-24",3.49
"146","2012-10-25",3.64
"147","2012-10-26",3.51
"148","2012-10-31",3.67
"149","2012-11-01",3.5
"150","2012-11-02",3.33
"151","2012-11-05",3.43
"152","2012-11-06",3.52
"153","2012-11-07",3.28
"154","2012-11-08",2.45
"155","2012-11-09",2.65
"156","2012-11-12",2.42
"157","2012-11-13",2.21
"158","2012-11-14",2.11
"159","2012-11-15",2
"160","2012-11-16",1.99
"161","2012-11-19",2.22
"162","2012-11-20",2.59
"163","2012-11-21",2.73
"164","2012-11-23",2.58
"165","2012-11-26",2.81
"166","2012-11-27",2.71
"167","2012-11-28",2.58
"168","2012-11-29",2.6
"169","2012-11-30",2.79
"170","2012-12-03",2.98
"171","2012-12-04",2.88
"172","2012-12-05",2.8
"173","2012-12-06",2.72
"174","2012-12-07",2.67
"175","2012-12-10",2.54
"176","2012-12-11",2.91
"177","2012-12-12",3.03
"178","2012-12-13",2.95
"179","2012-12-14",3.22
"180","2012-12-17",3.35
"181","2012-12-18",3.38
"182","2012-12-19",3.18
"183","2012-12-20",3.15
"184","2012-12-21",3.03
"185","2012-12-24",3.09
"186","2012-12-26",3.03
"187","2012-12-27",3.51
"188","2012-12-28",3.6
"189","2012-12-31",3.65
"190","2013-01-02",3.79
"191","2013-01-03",3.73
"192","2013-01-04",3.9
"193","2013-01-07",3.75
"194","2013-01-08",3.71
"195","2013-01-09",3.75
"196","2013-01-10",3.72
"197","2013-01-11",3.78
"198","2013-01-14",3.78
"199","2013-01-15",3.84
"200","2013-01-16",3.85
"201","2013-01-17",3.91
"202","2013-01-18",3.78
"203","2013-01-22",3.78
"204","2013-01-23",3.72
"205","2013-01-24",3.71
"206","2013-01-25",3.68
"207","2013-01-28",3.67
"208","2013-01-29",3.77
"209","2013-01-30",3.79
"210","2013-01-31",3.77
"211","2013-02-01",4.08
"212","2013-02-04",3.91
"213","2013-02-05",4.33
"214","2013-02-06",4.11
"215","2013-02-07",4.24
"216","2013-02-08",4.23
"217","2013-02-11",4.27
"218","2013-02-12",4.48
"219","2013-02-13",4.33
"220","2013-02-14",5.1
"221","2013-02-15",5.03
"222","2013-02-19",5.21
"223","2013-02-20",4.99
"224","2013-02-21",5.24
"225","2013-02-22",5.24
"226","2013-02-25",4.84
"227","2013-02-26",5.05
"228","2013-02-27",4.63
"229","2013-02-28",4.93
"230","2013-03-01",4.75
"231","2013-03-04",4.67
"232","2013-03-05",4.88
"233","2013-03-06",4.92
"234","2013-03-07",4.76
"235","2013-03-08",5.24
"236","2013-03-11",5.2
"237","2013-03-12",5.88
"238","2013-03-13",5.5
"239","2013-03-14",5.92
"240","2013-03-15",5.87
"241","2013-03-18",5.6
"242","2013-03-19",5.8
"243","2013-03-20",6.02
"244","2013-03-21",6.04
"245","2013-03-22",5.96
"246","2013-03-25",6.46
"247","2013-03-26",6.52
"248","2013-03-27",6.42
"249","2013-03-28",6.2
"250","2013-04-01",5.86
"251","2013-04-02",5.9
"252","2013-04-03",5.68
"253","2013-04-04",6.15
"254","2013-04-05",6.1
"255","2013-04-08",5.78
"256","2013-04-09",6.15
"257","2013-04-10",6.1
"258","2013-04-11",5.97
"259","2013-04-12",5.88
"260","2013-04-15",5.24
"261","2013-04-16",5.94
"262","2013-04-17",5.57
"263","2013-04-18",5.47
"264","2013-04-19",5.55
"265","2013-04-22",5.81
"266","2013-04-23",5.97
"267","2013-04-24",6.2
"268","2013-04-25",6.7
"269","2013-04-26",7.25
"270","2013-04-29",7.11
"271","2013-04-30",7.04
"272","2013-05-01",6.95
"273","2013-05-02",7.5
"274","2013-05-03",7.74
"275","2013-05-06",7.85
"276","2013-05-07",7.63
"277","2013-05-08",7.44
"278","2013-05-09",7.89
"279","2013-05-10",7.92
"280","2013-05-13",8.91
"281","2013-05-14",9.66
"282","2013-05-15",9.4
