"","date","EVOL"
"1","2007-01-03",2.42
"2","2007-01-04",2.5
"3","2007-01-05",2.44
"4","2007-01-08",2.4
"5","2007-01-09",2.5
"6","2007-01-10",2.5
"7","2007-01-11",2.7
"8","2007-01-12",3
"9","2007-01-16",3.14
"10","2007-01-17",3.1
"11","2007-01-18",2.8
"12","2007-01-19",2.92
"13","2007-01-22",2.92
"14","2007-01-23",3
"15","2007-01-24",3.06
"16","2007-01-25",3.26
"17","2007-01-26",3.28
"18","2007-01-29",3.2
"19","2007-01-30",3.2
"20","2007-01-31",3.52
"21","2007-02-01",3.7
"22","2007-02-02",3.92
"23","2007-02-05",4.02
"24","2007-02-06",4
"25","2007-02-07",3.98
"26","2007-02-08",3.98
"27","2007-02-09",3.8
"28","2007-02-12",3.64
"29","2007-02-13",3.68
"30","2007-02-14",3.82
"31","2007-02-15",3.8
"32","2007-02-16",3.84
"33","2007-02-20",3.8
"34","2007-02-21",3.7
"35","2007-02-22",3.7
"36","2007-02-23",3.7
"37","2007-02-26",4.2
"38","2007-02-27",3.96
"39","2007-02-28",3.9
"40","2007-03-01",3.74
"41","2007-03-02",3.5
"42","2007-03-05",3.34
"43","2007-03-06",3.62
"44","2007-03-07",3.68
"45","2007-03-08",3.7
"46","2007-03-09",3.54
"47","2007-03-12",3.44
"48","2007-03-13",3.34
"49","2007-03-14",3.92
"50","2007-03-15",3.84
"51","2007-03-16",3.74
"52","2007-03-19",3.86
"53","2007-03-20",3.72
"54","2007-03-21",3.66
"55","2007-03-22",3.64
"56","2007-03-23",3.78
"57","2007-03-26",3.78
"58","2007-03-27",3.78
"59","2007-03-28",3.74
"60","2007-03-29",3.72
"61","2007-03-30",3.94
"62","2007-04-02",3.96
"63","2007-04-03",3.98
"64","2007-04-04",3.84
"65","2007-04-05",3.92
"66","2007-04-09",4.5
"67","2007-04-10",4.28
"68","2007-04-11",4.26
"69","2007-04-12",4.66
"70","2007-04-13",4.88
"71","2007-04-16",4.58
"72","2007-04-17",4.44
"73","2007-04-18",4.5
"74","2007-04-19",4.46
"75","2007-04-20",4.44
"76","2007-04-23",4.46
"77","2007-04-24",4.42
"78","2007-04-25",4.62
"79","2007-04-26",4.4
"80","2007-04-27",4.56
"81","2007-04-30",4.6
"82","2007-05-01",4.5
"83","2007-05-02",4.48
"84","2007-05-03",4.44
"85","2007-05-04",4.26
"86","2007-05-07",4.5
"87","2007-05-08",4.02
"88","2007-05-09",4.1
"89","2007-05-10",4
"90","2007-05-11",4
"91","2007-05-14",3.66
"92","2007-05-15",3.8
"93","2007-05-16",3.66
"94","2007-05-17",3.74
"95","2007-05-18",3.62
"96","2007-05-21",3.5
"97","2007-05-22",3.56
"98","2007-05-23",3.42
"99","2007-05-24",3.4
"100","2007-05-25",3.62
"101","2007-05-29",3.52
"102","2007-05-30",3.88
"103","2007-05-31",4.04
"104","2007-06-01",3.88
"105","2007-06-04",4.06
"106","2007-06-05",4.1
"107","2007-06-06",4.02
"108","2007-06-07",4.02
"109","2007-06-08",4.42
"110","2007-06-11",4.76
"111","2007-06-12",4.78
"112","2007-06-13",4.62
"113","2007-06-14",4.66
"114","2007-06-15",4.72
"115","2007-06-18",4.8
"116","2007-06-19",4.72
"117","2007-06-20",4.62
"118","2007-06-21",4.66
"119","2007-06-22",4.44
"120","2007-06-25",4.48
"121","2007-06-26",4.6
"122","2007-06-27",4.58
"123","2007-06-28",4.56
"124","2007-06-29",4.52
"125","2007-07-02",4.58
"126","2007-07-03",4.42
"127","2007-07-05",4.24
"128","2007-07-06",4.4
"129","2007-07-09",4.34
"130","2007-07-10",4.32
"131","2007-07-11",4.24
"132","2007-07-12",4.28
"133","2007-07-13",4.12
"134","2007-07-16",4.1
"135","2007-07-17",4.02
"136","2007-07-18",4
"137","2007-07-19",3.96
"138","2007-07-20",3.92
"139","2007-07-23",3.98
"140","2007-07-24",3.98
"141","2007-07-25",3.98
"142","2007-07-26",3.66
"143","2007-07-27",3.66
"144","2007-07-30",3.74
"145","2007-07-31",3.66
"146","2007-08-01",3.66
"147","2007-08-02",3.88
"148","2007-08-03",3.7
"149","2007-08-06",3.7
"150","2007-08-07",3.62
"151","2007-08-08",4.06
"152","2007-08-09",3.7
"153","2007-08-10",3.64
"154","2007-08-13",3.54
"155","2007-08-14",3.6
"156","2007-08-15",3.62
"157","2007-08-16",3.76
"158","2007-08-17",3.9
"159","2007-08-20",3.64
"160","2007-08-21",3.58
"161","2007-08-22",3.62
"162","2007-08-23",3.62
"163","2007-08-24",3.68
"164","2007-08-27",3.62
"165","2007-08-28",3.56
"166","2007-08-29",3.5
"167","2007-08-30",3.52
"168","2007-08-31",3.5
"169","2007-09-04",3.62
"170","2007-09-05",3.64
"171","2007-09-06",3.68
"172","2007-09-07",3.54
"173","2007-09-10",3.5
"174","2007-09-11",3.4
"175","2007-09-12",3.48
"176","2007-09-13",3.4
"177","2007-09-14",3.4
"178","2007-09-17",3.4
"179","2007-09-18",3.32
"180","2007-09-19",3.62
"181","2007-09-20",3.36
"182","2007-09-21",3.4
"183","2007-09-24",3.42
"184","2007-09-25",3.42
"185","2007-09-26",3.58
"186","2007-09-27",3.38
"187","2007-09-28",3.4
"188","2007-10-01",3.48
"189","2007-10-02",3.78
"190","2007-10-03",3.74
"191","2007-10-04",3.7
"192","2007-10-05",3.68
"193","2007-10-08",3.68
"194","2007-10-09",3.6
"195","2007-10-10",3.58
"196","2007-10-11",3.6
"197","2007-10-12",3.66
"198","2007-10-15",3.66
"199","2007-10-16",3.52
"200","2007-10-17",3.52
"201","2007-10-18",3.56
"202","2007-10-19",3.52
"203","2007-10-22",3.5
"204","2007-10-23",3.5
"205","2007-10-24",3.52
"206","2007-10-25",3.48
"207","2007-10-26",3.56
"208","2007-10-29",3.54
"209","2007-10-30",3.52
"210","2007-10-31",3.58
"211","2007-11-01",3.56
"212","2007-11-02",3.4
"213","2007-11-05",3.6
"214","2007-11-06",3.7
"215","2007-11-07",3.64
"216","2007-11-08",3.64
"217","2007-11-09",3.62
"218","2007-11-12",3.5
"219","2007-11-13",3.5
"220","2007-11-14",3.5
"221","2007-11-15",3.5
"222","2007-11-16",3.52
"223","2007-11-19",3.48
"224","2007-11-20",3.5
"225","2007-11-21",3.48
"226","2007-11-23",3.54
"227","2007-11-26",3.46
"228","2007-11-27",3.48
"229","2007-11-28",3.46
"230","2007-11-29",3.7
"231","2007-11-30",3.52
"232","2007-12-03",3.62
"233","2007-12-04",3.72
"234","2007-12-05",3.92
"235","2007-12-06",4.08
"236","2007-12-07",4.54
"237","2007-12-10",4.74
"238","2007-12-11",4.5
"239","2007-12-12",4.38
"240","2007-12-13",4.4
"241","2007-12-14",4.38
"242","2007-12-17",4.52
"243","2007-12-18",4.64
"244","2007-12-19",4.42
"245","2007-12-20",4.6
"246","2007-12-21",4.76
"247","2007-12-24",6.12
"248","2007-12-26",6.1
"249","2007-12-27",6.14
"250","2007-12-28",5.56
"251","2007-12-31",5.96
"252","2008-01-02",5.22
"253","2008-01-03",5.24
"254","2008-01-04",5.08
"255","2008-01-07",5.04
"256","2008-01-08",4.86
"257","2008-01-09",4.38
"258","2008-01-10",4.32
"259","2008-01-11",4.5
"260","2008-01-14",4.64
"261","2008-01-15",4.54
"262","2008-01-16",4.5
"263","2008-01-17",4.3
"264","2008-01-18",4.18
"265","2008-01-22",3.96
"266","2008-01-23",4.04
"267","2008-01-24",4.4
"268","2008-01-25",4.32
"269","2008-01-28",4.14
"270","2008-01-29",4.7
"271","2008-01-30",4.9
"272","2008-01-31",4.7
"273","2008-02-01",4.6
"274","2008-02-04",4.76
"275","2008-02-05",4.78
"276","2008-02-06",4.7
"277","2008-02-07",4.6
"278","2008-02-08",4.42
"279","2008-02-11",4.36
"280","2008-02-12",4.58
"281","2008-02-13",4.56
"282","2008-02-14",4.76
"283","2008-02-15",4.62
"284","2008-02-19",4.4
"285","2008-02-20",4.34
"286","2008-02-21",4.56
"287","2008-02-22",4.3
"288","2008-02-25",4.5
"289","2008-02-26",4.8
"290","2008-02-27",5.1
"291","2008-02-28",5.08
"292","2008-02-29",4.66
"293","2008-03-03",4.78
"294","2008-03-04",4.82
"295","2008-03-05",4.7
"296","2008-03-06",4.34
"297","2008-03-07",4.36
"298","2008-03-10",4.52
"299","2008-03-11",4.68
"300","2008-03-12",4.14
"301","2008-03-13",4.62
"302","2008-03-14",4.2
"303","2008-03-17",4.16
"304","2008-03-18",4.24
"305","2008-03-19",4.3
"306","2008-03-20",4.26
"307","2008-03-24",4.24
"308","2008-03-25",4.28
"309","2008-03-26",4.32
"310","2008-03-27",4.28
"311","2008-03-28",3.98
"312","2008-03-31",3.92
"313","2008-04-01",4
"314","2008-04-02",4.02
