"","date","BOMN"
"1","2017-06-13",22
"2","2017-06-14",22
"3","2017-06-15",22
"4","2017-06-16",13.2
"5","2017-06-19",13.56
"6","2017-06-20",13.21
"7","2017-06-21",13.67
"8","2017-06-22",13.41
"9","2017-06-23",13.39
"10","2017-06-26",13.5
"11","2017-06-27",13.2
"12","2017-06-28",13.1
"13","2017-06-29",13.2
"14","2017-06-30",13.185
"15","2017-07-03",13.3
"16","2017-07-05",13.13
"17","2017-07-06",13.33
"18","2017-07-07",13.19
"19","2017-07-10",13.2
"20","2017-07-11",13.19
"21","2017-07-12",13.16
"22","2017-07-13",13.18
"23","2017-07-14",13.17
"24","2017-07-17",13.19
"25","2017-07-18",13.175
"26","2017-07-19",13.16
"27","2017-07-20",13.19
"28","2017-07-21",13.15
"29","2017-07-24",13.19
"30","2017-07-25",13.18
"31","2017-07-26",13.14
"32","2017-07-27",13.15
"33","2017-07-28",13.19
"34","2017-07-31",13.15
"35","2017-08-01",13.15
"36","2017-08-02",13.15
"37","2017-08-03",13.2
"38","2017-08-04",13.45
"39","2017-08-07",13.3
"40","2017-08-08",13.3
"41","2017-08-09",13.34
"42","2017-08-10",13.4
"43","2017-08-11",13.4
"44","2017-08-14",14.45
"45","2017-08-15",14.75
"46","2017-08-16",13.76
"47","2017-08-17",14.3
"48","2017-08-18",13.74
"49","2017-08-21",14.32
"50","2017-08-22",15
"51","2017-08-23",14.94
"52","2017-08-24",15
"53","2017-08-25",14.82
"54","2017-08-28",14.79
"55","2017-08-29",14.97
"56","2017-08-30",14.88
"57","2017-08-31",14.25
"58","2017-09-01",14.48
"59","2017-09-05",14.4
"60","2017-09-06",15.04
"61","2017-09-07",14.85
"62","2017-09-08",14.73
"63","2017-09-11",15.85
"64","2017-09-12",16.1
"65","2017-09-13",16.190001
"66","2017-09-14",17.23
"67","2017-09-15",15.34
"68","2017-09-18",15.56
"69","2017-09-19",15.72
"70","2017-09-20",16.01
"71","2017-09-21",16.360001
"72","2017-09-22",16.209999
"73","2017-09-25",15.45
"74","2017-09-26",15.55
"75","2017-09-27",15.78
"76","2017-09-28",15.52
"77","2017-09-29",15.5
"78","2017-10-02",16.200001
"79","2017-10-03",15.83
"80","2017-10-04",16.059999
"81","2017-10-05",16.209999
"82","2017-10-06",16.379999
"83","2017-10-09",16.559999
