"","date","SELB"
"1","2016-06-22",14
"2","2016-06-23",14.03
"3","2016-06-24",14
"4","2016-06-27",13.99
"5","2016-06-28",14
"6","2016-06-29",13.99
"7","2016-06-30",13.99
"8","2016-07-01",14.02
"9","2016-07-05",14.02
"10","2016-07-06",14.01
"11","2016-07-07",14
"12","2016-07-08",14.05
"13","2016-07-11",14
"14","2016-07-12",14
"15","2016-07-13",14.16
"16","2016-07-14",14
"17","2016-07-15",14
"18","2016-07-18",14
"19","2016-07-19",14
"20","2016-07-20",14.06
"21","2016-07-21",14.01
"22","2016-07-22",13.77
"23","2016-07-25",13.45
"24","2016-07-26",12.63
"25","2016-07-27",11.57
"26","2016-07-28",10.87
"27","2016-07-29",10.991
"28","2016-08-01",11.43
"29","2016-08-02",11.115
"30","2016-08-03",11.1
"31","2016-08-04",10.96
"32","2016-08-05",11.82
"33","2016-08-08",11.165
"34","2016-08-09",11.01
"35","2016-08-10",10.65
"36","2016-08-11",10.85
"37","2016-08-12",10.98
"38","2016-08-15",11.1
"39","2016-08-16",12.42
"40","2016-08-17",12.84
"41","2016-08-18",12.63
"42","2016-08-19",12.87
"43","2016-08-22",12.99
"44","2016-08-23",12.9
"45","2016-08-24",12.88
"46","2016-08-25",12.93
"47","2016-08-26",12.82
"48","2016-08-29",12.39
"49","2016-08-30",12.78
"50","2016-08-31",12.01
"51","2016-09-01",12.049
"52","2016-09-02",11.85
"53","2016-09-06",12.55
"54","2016-09-07",12.97
"55","2016-09-08",14
"56","2016-09-09",14
"57","2016-09-12",13.51
"58","2016-09-13",13.09
"59","2016-09-14",13.1
"60","2016-09-15",13.18
"61","2016-09-16",13.03
"62","2016-09-19",13.08
"63","2016-09-20",13.25
"64","2016-09-21",14.43
"65","2016-09-22",14.07
"66","2016-09-23",15.01
"67","2016-09-26",16.969999
"68","2016-09-27",15.48
"69","2016-09-28",15
"70","2016-09-29",14.62
"71","2016-09-30",14.25
"72","2016-10-03",14.88
"73","2016-10-04",14.95
"74","2016-10-05",14.38
"75","2016-10-06",14.21
"76","2016-10-07",14.98
"77","2016-10-10",14.88
"78","2016-10-11",16
"79","2016-10-12",15.95
"80","2016-10-13",16.209999
"81","2016-10-14",16.530001
"82","2016-10-17",16.6
"83","2016-10-18",17.33
"84","2016-10-19",17.360001
"85","2016-10-20",16.9
"86","2016-10-21",16.690001
"87","2016-10-24",16.41
"88","2016-10-25",16.530001
"89","2016-10-26",16.93
"90","2016-10-27",16.92
"91","2016-10-28",16.59
"92","2016-10-31",17.639999
"93","2016-11-01",18.379999
"94","2016-11-02",18.42
"95","2016-11-03",18.559999
"96","2016-11-04",18.309999
"97","2016-11-07",18.959999
"98","2016-11-08",19.629999
"99","2016-11-09",19.09
"100","2016-11-10",20.68
"101","2016-11-11",24.280001
"102","2016-11-14",23.57
"103","2016-11-15",22.5
"104","2016-11-16",23.02
"105","2016-11-17",22.93
"106","2016-11-18",23.290001
"107","2016-11-21",23.6
"108","2016-11-22",25.129999
"109","2016-11-23",25.790001
"110","2016-11-25",26.33
"111","2016-11-28",26.32
"112","2016-11-29",22.620001
"113","2016-11-30",20.5
"114","2016-12-01",20.41
"115","2016-12-02",19.610001
"116","2016-12-05",23.440001
"117","2016-12-06",23.950001
"118","2016-12-07",23.200001
"119","2016-12-08",23.15
"120","2016-12-09",22.969999
"121","2016-12-12",22.459999
"122","2016-12-13",22.4
"123","2016-12-14",21.92
"124","2016-12-15",21.91
"125","2016-12-16",21.450001
"126","2016-12-19",17.15
"127","2016-12-20",17.9
"128","2016-12-21",18.190001
"129","2016-12-22",18.25
"130","2016-12-23",18.65
"131","2016-12-27",17.77
"132","2016-12-28",17.18
"133","2016-12-29",17.26
"134","2016-12-30",17.15
"135","2017-01-03",17.280001
"136","2017-01-04",17.25
"137","2017-01-05",17.08
"138","2017-01-06",16.389999
"139","2017-01-09",16.549999
"140","2017-01-10",16.07
"141","2017-01-11",15.04
"142","2017-01-12",15.23
"143","2017-01-13",15.17
"144","2017-01-17",14.87
"145","2017-01-18",15.07
"146","2017-01-19",15
"147","2017-01-20",14.93
"148","2017-01-23",14.38
"149","2017-01-24",14.46
"150","2017-01-25",14.48
"151","2017-01-26",14.5
"152","2017-01-27",14.49
"153","2017-01-30",14.27
"154","2017-01-31",14
"155","2017-02-01",14.18
"156","2017-02-02",14.11
"157","2017-02-03",14.28
"158","2017-02-06",14.14
"159","2017-02-07",13.83
"160","2017-02-08",13.81
"161","2017-02-09",13.84
"162","2017-02-10",13.91
"163","2017-02-13",14.05
"164","2017-02-14",14.03
"165","2017-02-15",13.96
"166","2017-02-16",13.87
"167","2017-02-17",13.89
"168","2017-02-21",14.22
"169","2017-02-22",13.74
"170","2017-02-23",12.67
"171","2017-02-24",12.39
"172","2017-02-27",13.2
"173","2017-02-28",13.08
"174","2017-03-01",13.04
"175","2017-03-02",13.41
"176","2017-03-03",13.3
"177","2017-03-06",13.68
"178","2017-03-07",13.43
"179","2017-03-08",13.94
"180","2017-03-09",14.18
