"","date","MYOK"
"1","2015-10-29",10.53
"2","2015-10-30",10.21
"3","2015-11-02",10.44
"4","2015-11-03",10.15
"5","2015-11-04",10.06
"6","2015-11-05",9.89
"7","2015-11-06",9.96
"8","2015-11-09",9.85
"9","2015-11-10",9.89
"10","2015-11-11",10.92
"11","2015-11-12",10.87
"12","2015-11-13",10.64
"13","2015-11-16",10.73
"14","2015-11-17",10.97
"15","2015-11-18",11.21
"16","2015-11-19",12.17
"17","2015-11-20",11.83
"18","2015-11-23",12.6
"19","2015-11-24",12.41
"20","2015-11-25",12.73
"21","2015-11-27",12.4
"22","2015-11-30",12.37
"23","2015-12-01",12.5
"24","2015-12-02",12.37
"25","2015-12-03",12.55
"26","2015-12-04",12.76
"27","2015-12-07",13.59
"28","2015-12-08",13.55
"29","2015-12-09",12.78
"30","2015-12-10",12.82
"31","2015-12-11",12.48
"32","2015-12-14",11.24
"33","2015-12-15",10.86
"34","2015-12-16",11.4
"35","2015-12-17",12.61
"36","2015-12-18",13.52
"37","2015-12-21",14.8
"38","2015-12-22",14.09
"39","2015-12-23",14.73
"40","2015-12-24",15.12
"41","2015-12-28",14.94
"42","2015-12-29",16.040001
"43","2015-12-30",15.93
"44","2015-12-31",14.66
"45","2016-01-04",14.2
"46","2016-01-05",14.37
"47","2016-01-06",14
"48","2016-01-07",13.36
"49","2016-01-08",13.27
"50","2016-01-11",13.11
"51","2016-01-12",12.88
"52","2016-01-13",12.03
"53","2016-01-14",10.89
"54","2016-01-15",10.81
"55","2016-01-19",10.39
"56","2016-01-20",9.83
"57","2016-01-21",9.22
"58","2016-01-22",9.1
"59","2016-01-25",9
"60","2016-01-26",9.39
"61","2016-01-27",9.13
"62","2016-01-28",9
"63","2016-01-29",9
"64","2016-02-01",8.92
"65","2016-02-02",9.08
"66","2016-02-03",8.43
"67","2016-02-04",8.51
"68","2016-02-05",8.26
"69","2016-02-08",7.35
"70","2016-02-09",7.27
"71","2016-02-10",6.86
"72","2016-02-11",6.77
"73","2016-02-12",6.78
"74","2016-02-16",6.73
"75","2016-02-17",6.94
"76","2016-02-18",7.28
"77","2016-02-19",7.56
"78","2016-02-22",7.54
"79","2016-02-23",7.18
"80","2016-02-24",7.16
"81","2016-02-25",7.15
"82","2016-02-26",7.07
"83","2016-02-29",7.1
"84","2016-03-01",7.23
"85","2016-03-02",7.18
"86","2016-03-03",7.52
"87","2016-03-04",7.53
"88","2016-03-07",7.4
"89","2016-03-08",7.56
"90","2016-03-09",7.61
"91","2016-03-10",7.8
"92","2016-03-11",8.65
"93","2016-03-14",9.15
"94","2016-03-15",9.1
"95","2016-03-16",9.07
"96","2016-03-17",9.24
"97","2016-03-18",9.32
"98","2016-03-21",9.73
"99","2016-03-22",9.73
"100","2016-03-23",9.17
"101","2016-03-24",9.13
"102","2016-03-28",9.21
"103","2016-03-29",9.64
"104","2016-03-30",10.29
"105","2016-03-31",10.71
"106","2016-04-01",10.44
"107","2016-04-04",10.65
"108","2016-04-05",10.79
"109","2016-04-06",11.66
"110","2016-04-07",11.79
"111","2016-04-08",12.16
"112","2016-04-11",11.69
"113","2016-04-12",11.99
"114","2016-04-13",12.12
"115","2016-04-14",12.07
"116","2016-04-15",11.69
"117","2016-04-18",11.67
"118","2016-04-19",12.1
"119","2016-04-20",12.43
"120","2016-04-21",12.4
"121","2016-04-22",12.38
"122","2016-04-25",12.24
"123","2016-04-26",12.3
"124","2016-04-27",12.48
"125","2016-04-28",12.16
"126","2016-04-29",11.44
"127","2016-05-02",11.8
"128","2016-05-03",12.32
"129","2016-05-04",12.29
"130","2016-05-05",12.14
"131","2016-05-06",12.05
"132","2016-05-09",11.9
"133","2016-05-10",12.11
"134","2016-05-11",11.88
"135","2016-05-12",11.82
"136","2016-05-13",11.9
